Logudorese	Logudorese	probability
ˈo_ɾ	ˈo_r	1.0
ˈi_ɣ	ˈi_k	1.0
ˈa_ð	ˈa_t	1.0
ʦ	-	1.0
ɾ_b	r_b	1.0
ɾ_a	r_ə	1.0
ɣ_ɛ	k_ə	1.0
ɣ_u_#>	k_#>	1.0
ɛ̆	-	1.0
ɛ_#>	#>	1.0
ŋ	ŋ	1.0
ð	t	1.0
z_ɔ̆_#>	#>	1.0
z_ɔ̆	i	1.0
ŭ	-	1.0
u_#>	#>	1.0
s_k	ʃ_t	1.0
n_ɛ_#>	#>	1.0
n_u_#>	n_#>	1.0
n_t	m_t	1.0
n	n	1.0
l_u_#>	r_#>	1.0
i_s	s	1.0
i_m	i_m	1.0
e	i	1.0
a_#>	#>	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈu	<#_ˈu	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʣ	<#_ʤ	1.0
<#_ɾ	<#_a_r	1.0
<#_t	<#_t	1.0
<#_o	<#_u	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_k	<#_k	1.0
<#_i	<#	1.0
<#	<#_a	1.0
ˈu	ˈu	0.864
ɛ	i	0.836
p	p	0.773
u	u	0.75
nː	n	0.75
s	s	0.741
ɾ	r	0.737
ʣ	ʎ	0.714
ˈo	ˈo	0.7
t	t	0.682
a	ə	0.674
ɡ	ɡ	0.667
ɔ	-	0.667
m	m	0.667
f	f	0.667
ˈa	ˈa	0.651
ɣ	ʦ	0.636
l	l	0.636
j	k_ʎ	0.625
d	d	0.615
β	p	0.6
ɖː	l	0.6
z	-	0.571
ˈi	ˈi	0.556
ɛ_ɾ	i_r	0.545
ˈe	ˈe	0.533
r	r_n	0.5
r	r	0.5
i	i	0.5
i	-	0.5
<#_b	<#_j	0.5
<#_b	<#	0.5
#>	ə_#>	0.5
#>	u_#>	0.5
k	k	0.471
ˈɔ	o̯ˈa	0.458
ɛ_ɾ	r	0.455
z	i	0.429
b	b	0.429
k	ʦ	0.412
β	-	0.4
ɖː	-	0.4
j	j	0.375
ɣ	k	0.364
ˈɛ	e̯ˈa	0.333
ɡ	-	0.333
ɔ	u	0.333
f	ç	0.333
ˈo	ˈu	0.3
ʣ	-	0.286
ˈe	e̯ˈa	0.267
ˈɛ	ˈi	0.25
ˈɔ	ˈu	0.25
ˈi	e̯ˈa	0.25
nː	-	0.25
d	ʣ	0.231
t	p_t	0.227
p	k	0.227
l	r	0.227
b	v	0.214
ˈa	ˈɨ	0.209
ˈɛ	ˈe	0.208
ˈɛ	ˈa	0.208
ˈɔ	ˈo	0.208
ˈe	ˈi	0.2
m	ɲ	0.19
s	ʃ	0.185
d	-	0.154
m	-	0.143
b	ʣ	0.143
ɾ	l	0.14
u	ə	0.139
ˈu	-	0.136
l	ʎ	0.136
k	ʧ	0.118
ˈi	ˈe	0.111
u	i	0.111
a	i	0.109
b	ɡ	0.107
b	-	0.107
ˈa	-	0.093
t	-	0.091
ɾ	-	0.088
a	a	0.087
ˈɔ	-	0.083
ˈi	-	0.083
s	-	0.074
ɛ	-	0.068
