Gothic	German	probability
θ_s_#>	t_#>	1.0
θ_a	d	1.0
θ_#>	t_#>	1.0
β_a	b	1.0
β	b	1.0
ˈɛː_w_s_#>	ˈeː_#>	1.0
ˈɛː	ˈaɪ̯	1.0
ˈɛ_r	ˈɛ_ɐ	1.0
ˈɔ	ˈoː	1.0
ˈuː	ˈaʊ̯	1.0
ˈu_n	ˈʊ_n	1.0
ˈoː	ˈuː	1.0
ˈiː	ˈaɪ̯	1.0
ˈiu̯_f	ˈiː_b̥	1.0
ˈi_n	ˈɪ_n	1.0
ˈi_l	ˈɛ_l	1.0
ˈeː_n	ˈoː_n	1.0
ˈeː	ˈaː	1.0
ˈa_n	ˈa_n	1.0
ɣ_a	ɡ	1.0
ŋ_ɡ	ŋ	1.0
ŋ	-	1.0
ð	t	1.0
z	-	1.0
x_s	ɡ̊	1.0
w	v	1.0
u	-	1.0
t_s_#>	s_#>	1.0
t_a	s	1.0
s_t	s_t	1.0
r_u	ɐ	1.0
r_#>	ɐ_#>	1.0
p_s_#>	f_#>	1.0
p_a	f	1.0
p	f	1.0
oː	-	1.0
nː	n	1.0
n_d	n_d̥	1.0
n_#>	n_#>	1.0
n	n	1.0
m_s_#>	m_#>	1.0
m	m	1.0
lː_s_#>	l_#>	1.0
l_b	l_b̥	1.0
l	l	1.0
k_s_#>	ʃ_#>	1.0
k_#>	ç_#>	1.0
j_a	ə	1.0
iː_#>	#>	1.0
iː	-	1.0
h_t	x_t	1.0
f_#>	f_#>	1.0
d_u	d̥	1.0
aː	-	1.0
<#_θ	<#_d	1.0
<#_ˈɔː	<#_ˈoː	1.0
<#_ˈu	<#	1.0
<#_ˈi	<#_ˈɪ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʍ	<#_v	1.0
<#_ɡ	<#_ɡ	1.0
<#_w	<#_v	1.0
<#_t	<#_ʦ	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_f	<#_f	1.0
<#_d	<#_tʰ	1.0
<#_b	<#_b	1.0
s_#>	#>	0.945
<#_h	<#_h	0.85
i	-	0.75
θ	d̥	0.667
ˈiu̯	ˈiː	0.667
s	-	0.667
j	-	0.667
h	-	0.667
r	ʁ	0.625
ˈɔ_r	ˈɔ_ɐ	0.6
ɡ	ɡ	0.6
oː_#>	ə_#>	0.6
#>	ɐ_#>	0.6
a	-	0.583
ˈi	ˈɪ	0.56
<#_s	<#_ʃ	0.56
ˈa	ˈa	0.519
ˈɛ	ˈɛ	0.5
ˈɛ	ˈeː	0.5
d	d	0.5
d	-	0.5
ˈu	ˈɔ	0.455
k	-	0.455
a_#>	#>	0.444
<#_s	<#_z	0.44
a	ə	0.417
ˈɔ_r	ˈʊ_ɐ	0.4
ɡ	ɡ̊	0.4
oː_#>	#>	0.4
#>	d̥_#>	0.4
ˈɔː	ˈoː	0.375
ˈɔː	ˈaʊ̯	0.375
t	t	0.375
r	ɐ	0.375
ˈu	ˈʊ	0.364
k	ç	0.364
θ	d	0.333
ˈiu̯	ˈɔʏ̯	0.333
s	ʁ	0.333
j	j	0.333
h	ŋ	0.333
a_#>	ə_#>	0.333
t	ʦ	0.312
t	s	0.312
ˈɔː	ˈøː	0.25
i	ˈɔʏ̯	0.25
ˈa	ˈaː	0.222
a_#>	ɐ_#>	0.222
ˈu	ˈoː	0.182
k	x	0.182
ˈi	ˈiː	0.16
<#_h	<#	0.15
ˈa	ˈɛ	0.148
ˈi	ˈeː	0.12
ˈa	ˈeː	0.111
ˈi	ˈɔ	0.08
ˈi	-	0.08
s_#>	s_#>	0.055
