Spanish	Spanish	probability
θ_ˈe	ʃ	1.0
θ_#>	ʦ_#>	1.0
β_ɾ	β	1.0
β_o_#>	p_#>	1.0
β_e_#>	w_#>	1.0
ˈu_ɾ	ˈy	1.0
ˈo_k	w_k	1.0
ˈi_ʝ	ˈɛ_t	1.0
ˈi_ɾ	e	1.0
ˈa_ɾ_#>	ˈa_#>	1.0
ˈa	ˈa	1.0
ʝ_a	l_ɔ	1.0
ɾ_o	e	1.0
ɾ_n_o_#>	r_#>	1.0
ɣ_o_#>	k_#>	1.0
ɣ	ɣ	1.0
ŋ	ŋ	1.0
ð_ɾ	j	1.0
ð_o	t	1.0
t_o_#>	#>	1.0
t_a	t_ɔ	1.0
t	t	1.0
s_e	s_e	1.0
s_#>	s_#>	1.0
r	a_r	1.0
p_o	s	1.0
p	p	1.0
o_l	u_l	1.0
o_#>	#>	1.0
n_t_e_#>	n_#>	1.0
n_o	ŋ	1.0
n_#>	ŋ_#>	1.0
l_o_#>	w_#>	1.0
f	h	1.0
e_#>	#>	1.0
b_ˈa	b_ˈa	1.0
b_ɾ	i	1.0
b_j	b	1.0
<#_θ	<#_s	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_x	<#_ʒ	1.0
<#_t	<#_t	1.0
<#_o	<#_a_w	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_e	1.0
<#_a	<#_a	1.0
#>	e_#>	1.0
k	k	0.957
b	b	0.897
ˈu	ˈy	0.882
s	s	0.878
ˈi	ˈi	0.867
x	ʎ	0.867
m	m	0.861
d	d	0.824
j_ˈe	ˈɛ	0.812
β	β	0.75
<#	<#_h	0.75
n	n	0.742
ɡ	ɡ	0.727
ɾ_a	ɾ_ɔ	0.714
a	ɔ	0.667
ˈe	ˈe	0.66
w_ˈe	ˈɔ	0.652
ɲ	ɲ	0.636
u	u	0.6
e_ɾ	e_r	0.6
l	l	0.588
ʧ	j_t	0.571
ɾ_#>	#>	0.571
l_#>	#>	0.571
e	e	0.55
w	w	0.545
ð	ð	0.529
ʝ	t	0.5
ʝ	-	0.5
i	i	0.5
i	e	0.5
j	j	0.455
ɾ	ɾ	0.439
ˈo	ˈu	0.438
θ	z	0.429
ʧ	t	0.429
ɾ_#>	e_#>	0.429
l_#>	w_#>	0.429
u	-	0.4
e_ɾ	b	0.4
ɟ͡ʝ	ʒ	0.375
ɟ͡ʝ	p_l	0.375
o	u	0.37
ɲ	-	0.364
θ	-	0.357
ð	t	0.353
w_ˈe	ˈu	0.348
ɾ	r	0.317
ɾ_a	ɔ	0.286
a	a	0.278
ɡ	k	0.273
w	-	0.273
j	ˈi	0.273
j	-	0.273
ɟ͡ʝ	k_l	0.25
<#	<#_ˈa	0.25
l	-	0.235
o	w	0.222
θ	s	0.214
n	-	0.194
j_ˈe	ˈe	0.188
o	j	0.185
w	ˈa	0.182
l	w	0.176
d	-	0.176
β	-	0.15
e	ˈe	0.15
ˈe	ˈɛ	0.149
ˈe	-	0.149
ˈo	w	0.146
ɾ	-	0.146
ˈi	-	0.133
x	-	0.133
ˈu	-	0.118
ð	-	0.118
ˈo	ˈɔ	0.104
ˈo	w_ˈe	0.104
b	-	0.103
β	w	0.1
e	r	0.1
e	j_ˈe	0.1
e	-	0.1
ˈo	-	0.083
o	ɾ	0.074
o	e	0.074
o	-	0.074
s	z	0.073
n	ŋ	0.065
ˈo	ˈy	0.062
ˈo	ˈa_w	0.062
m	ˈɛ	0.056
m	-	0.056
a	-	0.056
