Proto-Slavic	Proto-Slavic	probability
̌_ɡ	ɡʲ	1.0
̌_p	p	1.0
̌_#>	#>	1.0
̌	-	1.0
̂	-	1.0
ˀ_r	a	1.0
ˀ	-	1.0
ʧ	ʦ	1.0
ʦ	ʦ	1.0
ʤ	ʨ	1.0
ʒ_ĭ	ʐ̊	1.0
ʎ	-	1.0
ɲ	ɲ	1.0
ɨː_̂	ɨ	1.0
ɨ_ˀ	ɨ	1.0
ɨ	-	1.0
ɡ_oː	ɡ	1.0
ɛː_̂	ɪ	1.0
ɛː_ˀ	a	1.0
z_ŭ	z̥	1.0
z	z	1.0
v_ŭ	v	1.0
ŭ_#>	#>	1.0
uː	u	1.0
u	u	1.0
t_i	ɕ	1.0
s_ŭ	s	1.0
s	s	1.0
rʲ	rʲ	1.0
õː_̌	u	1.0
õː	u	1.0
oː	ɔ	1.0
o_̌	ɔ	1.0
o_̂	ɛ	1.0
o_#>	ɔ_#>	1.0
n_ĭ	ɲ	1.0
m_ĭ	ɨ_m	1.0
l_ŭ_#>	w_#>	1.0
l_ŭ	w_ɨ	1.0
k_ŭ_#>	k_#>	1.0
k_ŭ	kʲ_i	1.0
k	k	1.0
j	-	1.0
ĭ_̌	a	1.0
ĭ_#>	#>	1.0
iː	i	1.0
i_̌	i	1.0
ẽː_̂	ɪ	1.0
ẽː	-	1.0
e_̌	e	1.0
d_ŭ	d̥	1.0
d_a	d_a	1.0
b_ŭ	b̥	1.0
aː	a	1.0
a_ˀ	a	1.0
a	a	1.0
<#_v	<#_vʲ	1.0
<#_uː	<#_u	1.0
<#_t	<#_ɕ	1.0
<#_o	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#_d	<#_d	1.0
<#	<#_j	1.0
n	n	0.917
ɡ	ɡ	0.846
b	b	0.833
x	x	0.8
ʒ	ʐ	0.667
ŭ	ɨ	0.652
p	pʲ	0.625
v	v	0.619
t	t	0.607
r_ŭ	r_ɨ	0.6
m	m	0.529
̂_ɡ	ɡ̊	0.5
̂_ɡ	k	0.5
̂_l	w_ɔ	0.5
̂_l	w	0.5
ɛː_̌	ɪ	0.5
ɛː_̌	ɛ	0.5
ɛː	ɪ	0.5
o	ɔ	0.5
e_̂	ɔ	0.5
e_̂	a	0.5
d	d	0.5
l	l	0.478
m	mʲ	0.471
ĭ	-	0.471
r	r	0.462
l	w	0.435
i	i	0.429
ẽ	ɪ	0.429
r_ŭ	r	0.4
p	p	0.375
d	ʑ	0.375
ʒ	-	0.333
v	vʲ	0.333
e	ɛ	0.316
e	ɔ	0.316
ɛː	ɛ	0.3
o	ɛ	0.292
i	ɨ	0.286
i	-	0.286
ẽ	ɛ	0.286
ẽ	e	0.286
e	e	0.263
ŭ	-	0.261
t	ɕ	0.25
ĭ	e	0.235
r	rʲ	0.231
ɛː	e	0.2
x	k	0.2
ĭ	ɔ	0.176
b	bʲ	0.167
ɡ	-	0.154
o	v_ɛ	0.125
d	-	0.125
ĭ	a	0.118
r	ɕ	0.115
r	ɔ	0.115
e	-	0.105
ŭ	w	0.087
l	ɛ	0.087
o	r	0.083
n	nʲ	0.083
r	ʂ	0.077
t	ʨ	0.071
t	-	0.071
