German	Northern Low Saxon	probability
a	-	1.0
b	b	0.728
b	m	0.201
d	d	0.732
d	-	0.268
eː	aɪ̯	1.0
f	f	0.718
f	b	0.218
h	h	0.958
j	ʒ	1.0
k	ɡ	0.461
k	ç	0.41
k	x	0.086
kʰ	kʰ	1.0
l	l	0.964
m	m	0.963
n	n	0.94
p	f	0.903
p͡f	pʰ	0.59
p͡f	b	0.41
s	d	0.487
s	s	0.435
s	t	0.078
t	d	0.79
t	t	0.167
tʰ	d	0.938
tʰ	tʰ	0.062
v	v	0.975
x	x	0.707
x	ɡ	0.293
z	z	0.777
z	s	0.223
ç	ç	0.483
ç	ɡ	0.404
ç	k	0.113
ŋ	ŋ	1.0
ɐ	ɐ	0.794
ɐ	-	0.133
ɐ	ˈaː	0.056
ə	-	0.954
ɡ	ɡ	0.64
ɡ	ŋ	0.231
ɪ	ɪ	0.878
ɪ	i	0.122
ʁ	r	0.946
ʁ	-	0.054
ʃ	ʃ	0.926
ʃ	s	0.074
ʦ	tʰ	0.669
ʦ	d	0.242
ʦ	t	0.089
ˈa	ˈa	0.623
ˈa	ˈaː	0.11
ˈa	ˈaʊ̯	0.103
ˈa	ˈoː	0.098
ˈaɪ̯	ˈiː	0.415
ˈaɪ̯	ˈaɪ̯	0.373
ˈaɪ̯	ˈɪ	0.135
ˈaʊ̯	ˈuː	0.612
ˈaʊ̯	ˈaʊ̯	0.273
ˈaʊ̯	ˈɔ	0.06
ˈaː	ˈoː	0.632
ˈaː	ˈa	0.115
ˈaː	ˈɛ	0.102
ˈaː	ˈeː	0.083
ˈaː	ˈøː	0.067
ˈeː	ˈaɪ̯	0.384
ˈeː	ˈeː	0.217
ˈeː	ˈɛ	0.141
ˈeː	ˈeɪ̯	0.124
ˈeː	ˈoː	0.093
ˈiː	ˈaɪ̯	0.564
ˈiː	ˈiː	0.158
ˈiː	ˈeɪ̯	0.059
ˈiː	ˈyː	0.059
ˈiː	ˈɪ	0.059
ˈiː	ˈɛː	0.054
ˈoː	ˈaʊ̯	0.456
ˈoː	ˈoː	0.383
ˈoː	ˈøː	0.12
ˈuː	ˈaʊ̯	0.692
ˈuː	ˈuː	0.155
ˈuː	ˈɔʏ̯	0.153
ˈyː	ˈɔʏ̯	0.825
ˈyː	ˈøː	0.099
ˈyː	ˈaɪ̯	0.076
ˈøː	ˈɔʏ̯	1.0
ˈœ	ˈœː	0.574
ˈœ	ˈœ	0.426
ˈɔ	ˈʊ	0.452
ˈɔ	ˈaʊ̯	0.253
ˈɔ	ˈɔ	0.149
ˈɔ	ˈoː	0.056
ˈɔʏ̯	ˈyː	0.301
ˈɔʏ̯	ˈeː	0.184
ˈɔʏ̯	ˈʏ	0.184
ˈɔʏ̯	ˈɔʏ̯	0.111
ˈɔʏ̯	ˈiː	0.11
ˈɔʏ̯	ˈuː	0.11
ˈɛ	ˈɛ	0.247
ˈɛ	ˈeː	0.233
ˈɛ	ˈɪ	0.113
ˈɛ	ˈa	0.073
ˈɛ	ˈɛɪ̯	0.073
ˈɛ	ˈœː	0.059
ˈɛː	ˈoː	0.589
ˈɛː	ˈɛɪ̯	0.411
ˈɪ	ˈɪ	0.846
ˈʊ	ˈʊ	0.61
ˈʊ	ˈɔ	0.136
ˈʊ	ˈœ	0.066
ˈʊ	ˈʏ	0.065
ˈʏ	ˈʏ	0.911
ˈʏ	ˈiː	0.08
