Franco-Provençal	Franco-Provençal	probability
ˈɛ_t	ˈe_k	1.0
ˈy	ˈo_β	1.0
ˈe_v	ˈe_β	1.0
ˈe_s	ˈa_s	1.0
ˈe_#>	o_#>	1.0
ˈaː	ˈa	1.0
ʦ	θ_o	1.0
ʒ	-	1.0
ʎ	x	1.0
ʃ_#>	θ_#>	1.0
ʁ_ə	ˈe_ɾ	1.0
ʁ_b	ɾ_β	1.0
ʁ_a	ɾ_a	1.0
ɲ	ɲ	1.0
ɛ̃	e_n	1.0
ɛː	-	1.0
ɛ	e	1.0
ɔ̃	-	1.0
ɔ	o	1.0
ɑ̃	a_n	1.0
ɑː	a_s	1.0
ð_ə	ɾ	1.0
w_ˈe	ˈo	1.0
v_ˈe	β_ˈe	1.0
u	-	1.0
p_ˈɛː	p_ˈe	1.0
p_l	ɟ͡ʝ	1.0
p	p	1.0
m	m	1.0
i	a	1.0
f_#>	ˈe_β_e_#>	1.0
<#_ˈoː	<#_ˈo	1.0
<#_ˈo	<#_w	1.0
<#_ʁ	<#_r	1.0
<#_t	<#_t	1.0
<#_o	<#_o	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_f	<#	1.0
<#_a	<#_a	1.0
k	k	0.909
n	n	0.889
t	t	0.882
a	a	0.864
d	d	0.846
ˈɛ	ˈe	0.812
ɡ	ɡ	0.778
ʃ	k	0.773
ʁ	ɾ	0.773
<#_s	<#_s	0.769
o	o	0.722
ˈo	ˈo	0.714
z	θ	0.714
f	f	0.714
ə	a	0.667
ˈa	ˈa	0.643
b	b	0.643
l	l	0.64
#>	o_#>	0.619
ˈɔ	w_ˈe	0.6
ˈɑː	ˈa	0.6
ʁ_o	ɾ_e	0.6
v	b	0.6
e	e_s	0.6
<#_ð	<#_x	0.6
ˈɑ̃	ˈa_n	0.545
ˈɛ̃	ˈe_n	0.538
ð	ɾ	0.533
ˈĩ	ˈi_n	0.5
ˈĩ	ˈi	0.5
ˈi	ˈi	0.476
s	θ	0.462
ˈoː	w_ˈe	0.455
ˈɔ̃	ˈo_n	0.444
ˈɛː	ˈe	0.435
ˈɔ	ˈo	0.4
ˈɑː	ˈa_l	0.4
ʁ_o	o	0.4
<#_ð	<#	0.4
s	s	0.385
ˈu	ˈu	0.364
ˈu	ˈo	0.364
ˈoː	ˈo	0.364
ˈɔ̃	n_o	0.333
ˈø	ˈo	0.333
ˈø	w	0.333
ˈø	-	0.333
ə	e	0.333
w	w	0.32
ˈe	ˈi	0.292
ˈo	ˈo_t	0.286
z	-	0.286
j	j	0.286
j	-	0.286
f	β	0.286
w	ˈo	0.28
ˈɑ̃	ˈa	0.273
ˈu	w	0.273
ˈe	ˈe	0.25
w	ˈu	0.24
l	ʝ	0.24
ˈi	ˈe	0.238
<#_s	<#_θ	0.231
ˈɔ̃	ˈe_n	0.222
ɡ	ɣ	0.222
ˈɛː	-	0.217
ˈa	ˈa_ɾ	0.214
b	β	0.214
ð	ð_ɾ	0.2
v	β	0.2
e	e	0.2
e	-	0.2
j	ˈe	0.19
ˈɛ	-	0.188
ˈɑ̃	ˈa_ŋ	0.182
ˈoː	-	0.182
#>	e_#>	0.175
ˈe	ɾ	0.167
o	-	0.167
ˈɛ̃	ˈe	0.154
ˈɛ̃	ɲ_o	0.154
ˈɛ̃	n	0.154
s	-	0.154
d	-	0.154
ˈi	ˈi_ɾ	0.143
ˈi	j	0.143
j	ˈa	0.143
b	b_w	0.143
ʃ	-	0.136
ð	ˈe	0.133
ð	-	0.133
ˈɛː	ˈa	0.13
ˈɛː	j	0.13
ˈe	ˈa	0.125
v	b_j	0.12
l	ɟ͡ʝ	0.12
t	ʧ	0.118
o	u	0.111
n	ŋ_ɡ	0.111
j	ˈu	0.095
ʃ	k_ˈa	0.091
ʁ	ɾ_t	0.091
k	-	0.091
ˈɛː	ˈe_j	0.087
ˈe	s	0.083
ˈe	j_ˈe	0.083
#>	s_#>	0.082
w	ˈo_ʧ	0.08
w	ˈe	0.08
v	-	0.08
ˈa	ˈe_ɣ	0.071
ˈa	ˈe	0.071
