Bokmål Norwegian	Icelandic	probability
b	b̥	1.0
d	d̥	0.722
d	ð	0.162
d	t	0.063
d	θ	0.05
d_ə	ð	1.0
e	a	0.219
f	f	0.957
f	d̥	0.044
h	h	0.928
h	ç	0.064
i	ɛː	0.309
i	ʏ	0.309
j	j	0.332
j	ɟ̊	0.224
j	ˈɛːi̯	0.101
j	ç	0.101
j	x	0.076
k	k	0.703
k	c	0.289
kʰ	kʰ	0.783
kʰ	-	0.134
kʰ	cʰ	0.064
kː	ʰk	1.0
l	l	0.66
l	l̥	0.222
l	l_ʏ	0.075
l	l_j	0.035
lː	l_d̥	0.231
lː	t_l̥	0.164
lː	ʰk	0.152
lː	l̥_ʏ	0.124
lː	l	0.108
m	m	0.688
m	m_ʏ	0.311
mː	m	1.0
n	n	0.707
n	n̥	0.214
n	r̥	0.042
n	-	0.037
nː	nː	0.338
nː	n_d̥	0.264
nː	nː_ʏ	0.141
nː	n	0.107
nː	n̥	0.082
p	p	0.412
p	ʰp	0.305
p	p_ʏ	0.266
s	s	0.982
s	v	0.026
sː	sː	0.574
sː	s	0.269
t	t	0.716
t	t_ʏ	0.279
tʰ	θ	0.503
tʰ	tʰ	0.477
tʰ	ð	0.03
tː	t	0.421
tː	ʰt	0.388
tː	ʰt_ʏ	0.142
ç	cʰ	0.841
ç	θ	0.095
ŋ	ŋ	1.0
ŋː	ŋ	0.854
ŋː	ɲ	0.144
ə	a	0.566
ə	ɪ	0.191
ə	-	0.079
ə	ʏ	0.07
ə	ɡ̊_ʏ	0.042
ɡ	ɡ̊	0.705
ɡ	ɟ̊	0.151
ɡ	ɣ	0.074
ɡ	-	0.053
ɡː	ɡ̊	0.85
ɡː	ɟ̊	0.066
ɪ	i	0.574
ɪ	ɑu̯	0.269
ɳ	t_n̥	0.613
ɳ	t_n	0.386
ɾ	r	0.468
ɾ	r̥	0.323
ɾ	r_ð	0.06
ɾ	ɪ_r̥	0.057
ɾ	r_j	0.046
ʂ	s	0.561
ʂ	m	0.425
ʃ	c	1.0
ʈ	t	0.468
ʈː	t	1.0
ʋ	v	0.844
ʋ	p	0.08
ʋ	ˈɔ	0.039
ʋ	-	0.039
ˈeː	ˈɛː	0.319
ˈeː	j	0.268
ˈeː	ˈɪː	0.097
ˈeː	ˈɛi̯	0.097
ˈeː	ˈɛːi̯	0.069
ˈiː	ˈiː	0.542
ˈiː	ˈɪː	0.14
ˈiː	j	0.121
ˈiː	ˈiː_ð	0.121
ˈiː	ˈɛː	0.056
ˈoː	ˈɑːu̯	0.442
ˈoː	ˈaːu̯	0.162
ˈoː	ˈɔ	0.093
ˈoː	ˈi	0.093
ˈoː	ˈaːi̯	0.071
ˈuː	ˈoːu̯	0.313
ˈuː	ˈɔ	0.23
ˈuː	ˈoːu̯_ð	0.22
ˈuː	ˈœː	0.116
ˈuː	ˈɪ	0.058
ˈyː	ˈiː	0.286
ˈyː	j_ˈoːu̯	0.279
ˈyː	j_ˈuː	0.135
ˈyː	ˈʏː	0.129
ˈyː	ʏ	0.065
ˈæ	ˈɛː	0.309
ˈæ	ˈɛ	0.309
ˈæɪ̯	ˈɛːi̯	0.267
ˈæɪ̯	ˈɪː	0.153
ˈæɪ̯	ˈœ	0.106
ˈæɪ̯	ˈeːi̯	0.103
ˈæɪ̯	ˈɛː	0.099
ˈæː	ˈɛː	0.45
ˈæː	ˈa	0.392
ˈæː	ˈœː	0.066
ˈøː	ˈœːy̯_ð	0.193
ˈøː	ˈœːy̯	0.151
ˈøː	j	0.121
ˈøː	ˈaːi̯	0.121
ˈøː	ˈɛːi̯	0.093
ˈœ	ˈai̯	0.19
ˈœ	ˈɪ	0.165
ˈœ	ˈaːi̯	0.125
ˈœ	ˈœ	0.125
ˈœ	ˈeːi̯	0.125
ˈœʏ̯	ˈɛːi̯	0.219
ˈɑ	ˈa	0.599
ˈɑ	ˈɑu̯	0.136
ˈɑ	ˈɔu̯	0.107
ˈɑ	ˈœ	0.081
ˈɑ	ˈaː	0.061
ˈɑː	ˈaː	0.811
ˈɑː	ˈa	0.085
ˈɑː	ˈɛː	0.083
ˈɔ	ˈɔ	0.646
ˈɔ	ˈɑu̯	0.148
ˈɔ	ˈou̯	0.097
ˈɛ	ˈɛ	0.616
ˈɛ	ˈa	0.107
ˈɛ	ˈɪ	0.071
ˈɛ	-	0.071
ˈɛ	ˈaː	0.055
ˈɛː	ˈɛ	0.468
ˈɪ	ˈɪ	0.339
ˈɪ	ˈi	0.237
ˈɪ	ˈɛ	0.206
ˈɪ	ˈɪː	0.109
ˈɪ	-	0.078
ˈʉ	ˈʏ	0.69
ˈʉ	ˈu	0.157
ˈʉ	ˈɪ	0.061
ˈʉ	ˈʏ_t	0.06
ˈʉː	ˈuː	0.533
ˈʉː	ˈʏː	0.169
ˈʉː	ˈiː	0.128
ˈʉː	ˈʏ	0.072
ˈʉː	ˈœː	0.07
ˈʊ	ˈu	0.295
ˈʊ	ˈɔ	0.194
ˈʊ	ˈou̯	0.194
ˈʊ	ˈʏ	0.126
ˈʊ	ˈʏː	0.12
ˈʏ	ˈi	0.339
ˈʏ	ˈoːu̯	0.194
ˈʏ	ˈʏ	0.194
ˈʏ	ˈu	0.194
ˈʏ	ˈɪ	0.05
