Bokmål Norwegian	Icelandic	probability
#>	#>	0.917
<#	<#	1.0
b	b̥	1.0
d	d̥	0.722
d	ð	0.162
d	t	0.063
d	θ	0.05
d_ə	ð	1.0
e	a	0.102
f	f	0.971
h	h	0.928
h	ç	0.064
i	ɛː	0.308
i	ʏ	0.308
j	j	0.344
j	ɟ̊	0.198
j	ç	0.105
j	ˈɛːi̯	0.105
j	x	0.078
j	ˈɑːu̯	0.074
j	ɣ	0.056
k	k	0.703
k	c	0.289
kʰ	kʰ	0.768
kʰ	-	0.144
kʰ	cʰ	0.066
kː	ʰk	1.0
l	l	0.662
l	l̥	0.216
l	l_ʏ	0.08
lː	t_l̥	0.168
lː	ʰk	0.156
lː	l̥_ʏ	0.127
lː	l_d̥	0.12
lː	l	0.111
lː	l̥	0.064
m	m	0.666
m	m_ʏ	0.332
mː	m	1.0
n	n	0.705
n	n̥	0.216
nː	nː	0.495
nː	n_d̥	0.272
nː	n̥	0.085
nː	n	0.084
p	p	0.412
p	ʰp	0.305
p	p_ʏ	0.266
s	s	0.982
sː	sː	0.574
sː	s	0.268
t	t	0.716
t	t_ʏ	0.279
tʰ	θ	0.53
tʰ	tʰ	0.47
tː	t	0.421
tː	ʰt	0.388
tː	ʰt_ʏ	0.142
ç	cʰ	0.841
ç	θ	0.095
ŋ	ŋ	1.0
ŋː	ŋ	0.854
ŋː	ɲ	0.144
ə	a	0.572
ə	ɪ	0.196
ə	ʏ	0.072
ə	-	0.063
ɡ	ɡ̊	0.705
ɡ	ɟ̊	0.151
ɡ	ɣ	0.074
ɡ	-	0.053
ɡː	ɡ̊ː	0.85
ɡː	ɟ̊ː	0.066
ɪ	i	0.574
ɪ	ɑu̯	0.268
ɳ	t_n̥	0.613
ɳ	t_n	0.386
ɾ	r	0.528
ɾ	r̥	0.321
ɾ	ɪ_r̥	0.058
ʂ	m	0.574
ʂ	s	0.268
ʃ	c	1.0
ʈ	t	0.467
ʈː	t	1.0
ʋ	v	0.857
ʋ	p	0.082
ˈeː	ˈɛː	0.342
ˈeː	j	0.259
ˈeː	ˈɛi̯	0.11
ˈeː	ˈɪː	0.11
ˈeː	ˈiː	0.078
ˈeː	ˈɛːi̯	0.076
ˈiː	ˈiː	0.616
ˈiː	ˈɪː	0.143
ˈiː	j	0.125
ˈiː	ˈiː_ð	0.072
ˈoː	ˈɑːu̯	0.442
ˈoː	ˈaːu̯	0.162
ˈoː	ˈi	0.093
ˈoː	ˈɔ	0.093
ˈoː	ˈaːi̯	0.07
ˈoː	ˈɔː	0.068
ˈoː	u	0.05
ˈuː	ˈoːu̯	0.337
ˈuː	ˈɔ	0.234
ˈuː	ˈoːu̯_ð	0.173
ˈuː	ˈœː	0.125
ˈuː	ˈɪ	0.063
ˈyː	ˈiː	0.321
ˈyː	j_ˈoːu̯	0.313
ˈyː	j_ˈuː	0.146
ˈæ	ˈɛ	0.308
ˈæ	ˈɛː	0.308
ˈæɪ̯	ˈɛːi̯	0.267
ˈæɪ̯	ˈɪː	0.153
ˈæɪ̯	ˈœ	0.106
ˈæɪ̯	ˈeːi̯	0.103
ˈæɪ̯	ˈɛ	0.099
ˈæɪ̯	ˈɛː	0.099
ˈæɪ̯	ˈɛi̯	0.066
ˈæː	ˈɛː	0.45
ˈæː	ˈa	0.392
ˈæː	ˈœː	0.066
ˈøː	ˈœːy̯	0.226
ˈøː	ˈœːy̯_ð	0.146
ˈøː	ˈaːi̯	0.127
ˈøː	ˈɛːi̯	0.096
ˈøː	j	0.084
ˈøː	ˈaː	0.084
ˈøː	-	0.066
ˈøː	ˈœ	0.063
ˈøː	ˈœy̯	0.063
ˈœ	ˈai̯	0.19
ˈœ	ˈɪ	0.165
ˈœ	ˈaːi̯	0.125
ˈœ	ˈeːi̯	0.125
ˈœ	ˈœ	0.125
ˈœ	ˈɔː	0.086
ˈœ	ˈʏ	0.063
ˈœ	ˈœːy̯	0.061
ˈœʏ̯	ˈɛːi̯	0.218
ˈɑ	ˈa	0.605
ˈɑ	ˈɑu̯	0.138
ˈɑ	ˈɔu̯	0.108
ˈɑ	ˈœ	0.082
ˈɑ	ˈaː	0.052
ˈɑː	ˈaː	0.811
ˈɑː	ˈa	0.085
ˈɑː	ˈɛː	0.083
ˈɔ	ˈɔ	0.646
ˈɔ	ˈɑu̯	0.147
ˈɔ	ˈou̯	0.096
ˈɛ	ˈɛ	0.616
ˈɛ	ˈa	0.107
ˈɛ	-	0.071
ˈɛ	ˈɪ	0.071
ˈɛ	ˈaː	0.055
ˈɛː	ˈɛ	0.467
ˈɪ	ˈɪ	0.362
ˈɪ	ˈi	0.253
ˈɪ	ˈɛ	0.154
ˈɪ	ˈɪː	0.117
ˈʉ	ˈʏ	0.69
ˈʉ	ˈu	0.157
ˈʉ	ˈɪ	0.061
ˈʉ	ˈʏ_t	0.06
ˈʉː	ˈuː	0.533
ˈʉː	ˈʏː	0.169
ˈʉː	ˈiː	0.128
ˈʉː	ˈʏ	0.072
ˈʉː	ˈœː	0.07
ˈʊ	ˈu	0.295
ˈʊ	ˈou̯	0.194
ˈʊ	ˈɔ	0.194
ˈʊ	ˈʏ	0.125
ˈʊ	ˈʏː	0.12
ˈʏ	ˈi	0.339
ˈʏ	ˈoːu̯	0.194
ˈʏ	ˈu	0.194
ˈʏ	ˈʏ	0.194
