Slovak	Upper Sorbian	probability
ˈɫ̩	ˈɔ_w	1.0
ˈuː	ˈu	1.0
ˈu	ˈu	1.0
ʦ_#>	ʦ_#>	1.0
ʦ	ʦ	1.0
ʎ_#>	l_#>	1.0
ʎ	l	1.0
ʃ	ʃ	1.0
ɲ_#>	ɲ_#>	1.0
ɲ	ɲ	1.0
ɫ_ˈa	w_ˈo	1.0
ɫ_#>	w_#>	1.0
ɦ	ɦ	1.0
ɟ	ʤ	1.0
ɛ_#>	ɔ_#>	1.0
ɔ_#>	ɔ_#>	1.0
ɔ	-	1.0
z	z	1.0
x_iː	xʲ_i	1.0
x_#>	x_#>	1.0
v	β	1.0
t_#>	t_#>	1.0
t	t	1.0
s_#>	s_#>	1.0
s	s	1.0
r_ˈaː	ʀ_ˈa	1.0
p_#>	p_#>	1.0
p	p	1.0
n	n	1.0
m_#>	m_#>	1.0
m	mʲ	1.0
k_iː	kʲ_i	1.0
k_#>	k_#>	1.0
k	k	1.0
iː_#>	ɪ_#>	1.0
i_#>	ɪ_#>	1.0
i	i	1.0
f	p	1.0
d	d	1.0
c_#>	ʧ_#>	1.0
a_#>	a_#>	1.0
<#_ʧ	<#_ʧ	1.0
<#_ʒ	<#_ʒ	1.0
<#_ʃ	<#_ʃ	1.0
<#_ɦ	<#_ɦ	1.0
<#_ɟ	<#_ʤ	1.0
<#_z	<#_z	1.0
<#_x	<#_x	1.0
<#_v	<#_β	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
<#_d	<#_d	1.0
<#_c	<#_ʧ	1.0
<#	<#_β	1.0
ɪ̯ˈɛ	ˈe	0.778
ɫ	w	0.769
<#_p	<#_p	0.625
ˈɔ	ˈɔ	0.619
ˈi	ˈi	0.6
b	b	0.6
<#_ʋ	<#_ɥ	0.6
ʋ	ɥ	0.583
l	l	0.571
ˈa	ˈa	0.538
ˈr̩	ˈe_ʀ	0.5
ˈr̩	ʀ	0.5
r	ʀ	0.5
<#_m	<#_mʲ	0.5
<#_m	<#_m	0.5
#>	ɔ_#>	0.5
#>	j_#>	0.5
ɛ	ɛ	0.444
l	w	0.429
ʋ	β	0.417
ˈi	ˈɪ	0.4
b	bʲ	0.4
<#_ʋ	<#_β	0.4
r	ʀʲ	0.375
<#_p	<#_pʲ	0.375
ˈɛ	ˈe	0.348
ɛ	ˈɛ	0.333
ˈa	ˈɔ	0.308
ˈɛ	ˈɛ	0.304
ˈɔ	ˈo	0.286
ɫ	l	0.231
ɪ̯ˈɛ	ˈɔ	0.222
ɛ	ˈɔ	0.222
ˈɛ	ˈɔ	0.174
ˈa	ˈo	0.154
r	ʃ	0.125
ˈɔ	ɔ	0.095
ˈɛ	ɛ	0.087
ˈɛ	e	0.087
