Provençal	Gallurese	probability
ˈɛ_ʀ	ˈa_rː	1.0
ˈɛ_j	ˈe	1.0
ˈɔ_w	u	1.0
ˈɔ	-	1.0
ˈỹ	ˈu	1.0
ˈy	ˈu	1.0
ˈĩ	ˈi	1.0
ˈi	ˈi	1.0
ˈe_w	ˈi_l	1.0
ˈe_n	ˈe_n	1.0
ˈe_l	ˈi_ɖː	1.0
ˈã	ˈa	1.0
ˈa_w	ˈa_l	1.0
ˈa_j	ˈa	1.0
ɾ_e	u	1.0
ɲ	ɲː	1.0
ɥ_ˈe	ˈɔ	1.0
ŋ_d	nː	1.0
y	u	1.0
w_ˈẽ	ˈo	1.0
w_ˈe	ˈɔ	1.0
ũ	u	1.0
s_e	s_i	1.0
p_ˈa	p	1.0
p_l	p_j	1.0
p	p	1.0
m_e	m_u	1.0
lː	z_u	1.0
k_l	c	1.0
j_ˈe	ˈe	1.0
j_s	ʃː	1.0
ĩ	i	1.0
e_s	s	1.0
d_ɔ	t_a	1.0
ã	a	1.0
a	a	1.0
f	f	0.962
k	k	0.951
ɔ	a	0.932
n	n	0.908
m	m	0.875
v	v	0.844
ˈẽ	ˈɛ	0.8
ˈa	ˈa	0.795
u	u	0.774
t	t	0.711
ɥ	ˈɔ	0.703
ˈu	ˈu	0.652
ɾ	r	0.647
ɡ	ɡ	0.616
i	i	0.616
s	s	0.58
d	t	0.556
ʧ	tː	0.542
b	b	0.507
z	ʧ	0.504
ˈɛ	ˈɛ	0.467
ʧ	tː_u	0.458
ˈũ	ˈo	0.435
l	l	0.431
ʤ	-	0.412
ˈɛ	ˈe	0.406
e	i	0.405
b	p	0.396
i	-	0.384
w	ˈɔ	0.375
ˈũ	ˈu	0.373
ʤ	ɟ	0.365
s	ʧ	0.339
l	ɖː	0.319
ŋ	n	0.316
ʀ	l	0.31
ɡ	-	0.299
ɥ	-	0.297
t	tː	0.289
z	-	0.286
d	-	0.282
ˈe	ˈɛ	0.262
ŋ	n_u	0.251
l	j	0.25
e	u	0.244
j	ˈe	0.232
u	o	0.226
ʤ	ɟː	0.223
ʀ	r	0.215
ʀ	i	0.213
z	j	0.21
ʀ	rː	0.207
ˈẽ	-	0.2
j	ˈɛ	0.195
ˈũ	-	0.192
ɾ	-	0.183
ˈe	ˈi	0.181
ŋ	n_t	0.18
w	u	0.169
ˈu	ˈo	0.164
ŋ	ŋ	0.163
j	-	0.162
d	d	0.162
v	b	0.156
w	i	0.146
j	u	0.135
ɾ	a_r	0.129
ˈɛ	-	0.127
m	mː	0.125
j	cː	0.125
e	-	0.125
ˈe	ˈe	0.124
ˈu	ˈɔ_cː	0.121
e	ˈi	0.11
ˈe	u	0.108
w	ɖː_u	0.099
b	a	0.097
ˈe	i	0.093
n	-	0.092
j	j	0.092
ŋ	-	0.09
ˈe	r	0.089
ˈe	l_t	0.089
ˈa	-	0.089
ɡ	ɟ	0.085
e	a	0.079
ɔ	u	0.068
ˈu	ˈo_r	0.063
s	sː	0.062
w	ˈo	0.059
j	ɟː	0.059
ʀ	u	0.055
w	l	0.055
ˈe	l_p	0.054
w	-	0.051
