English	East Low German	probability
b	b	1.0
d	d	0.544
d	t	0.378
d	-	0.049
d	n	0.03
f	f	0.961
f	x	0.043
h	h	1.0
j	j	0.733
j	ˈiː	0.186
k	k	1.0
k_s	s	1.0
kʰ	kʰ	0.768
kʰ	f	0.173
l	l	1.0
m	m	0.91
m	æ_m	0.084
n	n	0.884
n	-	0.094
p	p	0.919
p	b	0.071
s	z	0.398
s	s	0.314
s	ʃ	0.284
t	t	0.789
t	t_n	0.097
t	ç	0.061
t	x	0.033
t	ɾ	0.031
tʰ	tʰ	0.896
tʰ	b	0.082
v	m	0.478
v	v	0.253
v	f	0.188
v_ə	m	1.0
w	v	0.748
w	w	0.113
w	-	0.052
w	r	0.047
w	ˈae̯	0.047
z	s	0.53
z	z	0.197
z	n	0.12
ð	ɾ	0.761
ð	d	0.148
ð	n	0.075
ŋ	ŋ	0.977
ŋ	ɪ	0.037
ə	æ	0.951
ə	-	0.049
əʊ̯	-	0.561
əʊ̯	n	0.425
ɡ	ɡ	0.458
ɡ	j	0.289
ɡ	-	0.246
ɪ	ɪ	0.416
ɪ	-	0.407
ɪ	ˈɛ	0.131
ɫ	l	0.962
ɫ	n	0.045
ɹ	r	0.861
ɹ	-	0.133
ʃ	ʃ	1.0
ʤ	ç	0.594
ʤ	k	0.392
ʧ	kʰ	0.549
ʧ	k	0.262
ʧ	ç	0.173
ˈaɪ̯	ˈiː	0.293
ˈaɪ̯	ˈɪ	0.214
ˈaɪ̯	ˈae̯	0.088
ˈaɪ̯	ˈa	0.077
ˈaɪ̯	ˈaʊ̯_x	0.067
ˈaʊ̯	ˈuː	0.618
ˈaʊ̯	ˈʊ	0.154
ˈaʊ̯	ˈœː	0.102
ˈaʊ̯	ˈaʊ̯	0.061
ˈaʊ̯	ˈɒː	0.056
ˈe	ˈɛ	0.201
ˈe	ˈaʊ̯	0.169
ˈe	ˈae̯	0.132
ˈe	ˈœ	0.092
ˈe	ˈɪ	0.092
ˈeɪ̯	ˈɒː	0.366
ˈeɪ̯	ˈɛ	0.21
ˈeɪ̯	ˈa_x	0.179
ˈeɪ̯	ˈa	0.155
ˈeɪ̯	ˈaʊ̯	0.063
ˈiː	ˈɔʏ̯	0.206
ˈiː	ˈɒː	0.186
ˈiː	ˈae̯	0.175
ˈiː	ˈaʊ̯	0.168
ˈiː	ˈiː	0.115
ˈuː	ˈaʊ̯	0.443
ˈuː	ˈae̯	0.122
ˈuː	ˈɛː	0.117
ˈuː	-	0.117
ˈuː	ˈɒː	0.117
ˈæ	ˈa	0.854
ˈæ	ˈɛ	0.068
ˈæ	ˈaː	0.067
ˈɐ	ˈʊ	0.44
ˈɐ	ˈaʊ̯	0.247
ˈɐ	ˈɔ	0.069
ˈɐ	-	0.066
ˈɐ	ˈɒː	0.066
ˈɑː	ˈa	0.409
ˈɑː	ˈaː	0.274
ˈɑː	ˈiː	0.16
ˈɒ	ˈɔ	0.562
ˈɒ	ˈa	0.315
ˈɒ	ˈae̯	0.106
ˈɔː	ˈuː_æ	0.322
ˈɔː	ˈa	0.203
ˈɔː	æ	0.116
ˈɔː	ˈɒː	0.089
ˈɔː	ˈuː	0.086
ˈəʊ̯	ˈae̯	0.364
ˈəʊ̯	ˈɔ	0.134
ˈəʊ̯	ˈaʊ̯	0.134
ˈəʊ̯	ˈɪ	0.089
ˈəʊ̯	ˈɛː	0.088
ˈɛ	ˈoː	0.561
ˈɛ	ˈɒː	0.425
ˈɜː	ˈiː_æ	0.53
ˈɜː	æ	0.186
ˈɜː	ˈoː	0.171
ˈɪ	ˈɪ	0.378
ˈɪ	ˈʏ	0.141
ˈɪ	ˈiː	0.135
ˈɪ	ˈyː	0.097
ˈɪ	ˈae̯	0.066
ˈʊ	ˈaʊ̯	0.536
ˈʊ	ˈʊ	0.285
θ	d	0.804
θ	-	0.177
