Elfdalian	Elfdalian	probability
ˈʏː	-	1.0
ˈʉ̃ːə̯	ˈoːu̯	1.0
ˈʉːə̯_ɣ	ˈuː	1.0
ˈɪ̃ː	j	1.0
ˈɛː	ˈɛː	1.0
ˈɑːu̯	ˈuː	1.0
ˈœ	ˈœ	1.0
ˈyœ̯	-	1.0
ʨː	ʰc	1.0
ʥː	ɟ̊ː	1.0
ʥ	ɟ̊	1.0
ʏ	ɪ	1.0
ʉ_#>	#>	1.0
ɣ_ɛ	ɡ̊	1.0
ɡː	ɡ̊ː	1.0
ɡ_r	ɡ̊_r	1.0
ɛ_n	n̥	1.0
ɔ̃	aːu̯	1.0
ɔ	a	1.0
ɑ̃	-	1.0
ð	ð	1.0
t_n	ʰt͡n̥	1.0
sː	sː	1.0
s_#>	s_#>	1.0
rː	ˈʏ_r̥	1.0
r_d	r_ð	1.0
pː	ʰp	1.0
pʰ	pʰ	1.0
p	p	1.0
mː	p	1.0
m	m	1.0
l̥	s_t͡l̥	1.0
lː	t͡l̥	1.0
kː	ʰk	1.0
kʰ	kʰ	1.0
j_ˈæ	ˈɛ	1.0
f	f	1.0
d	d̥	1.0
b	b̥	1.0
a	a	1.0
<#_ˈɛ	<#_ˈɛ	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_kʰ	<#	1.0
<#	<#_h	1.0
s	s	0.961
t	t	0.939
w	v	0.9
k	k	0.895
ɑ	a	0.87
#>	ʏ_r̥_#>	0.853
ɡ	ɡ̊	0.846
ˈɑːi̯	ˈiː	0.8
ˈɑː	ˈaː	0.8
ˈɑ	ˈa	0.786
ɽ	l	0.786
v	v	0.786
ŋ	ŋ	0.769
ˈʉə̯	ˈɔ	0.75
<#_r	<#_r	0.75
n	n	0.737
ˈʉ	ˈʏ	0.733
ˈœː	ˈœːy̯	0.714
ˈʏ	ˈɪ	0.667
ˈæ	ˈɛ	0.667
ˈyːœ̯	ˈaːi̯	0.667
ʨ	c	0.667
ɪ	-	0.667
tː	ʰt	0.667
l	l	0.667
ˈʉːə̯	ˈoːu̯	0.652
j	j	0.64
nː	nː	0.636
ˈʉː	-	0.6
ˈɔ	-	0.6
ˈɪː	ˈiː	0.583
ˈiːe̯	ˈɛːi̯	0.556
tʰ	θ	0.55
ˈɔ̃ː	ˈɑːu̯	0.5
ˈɔ̃ː	-	0.5
ɛ	ʏ	0.5
ɛ	ɪ	0.5
r	r̥	0.491
r	r	0.474
tʰ	tʰ	0.45
ˈæː	-	0.429
ˈɔ	ˈaː	0.4
ʉ	j_ʏ	0.4
ʉ	-	0.4
ɣ	ɣ	0.4
ˈɪ	ˈɪ	0.389
ˈoː	h	0.375
ˈoː	-	0.375
nː	r_t͡n̥	0.364
ˈɛ	-	0.357
ˈʏ	-	0.333
ˈɔː	ˈɑːu̯	0.333
ˈɔː	-	0.333
ˈæ	-	0.333
ˈyːœ̯	-	0.333
ˈo	ˈɔ	0.333
ˈo	ˈa	0.333
ˈo	-	0.333
ʨ	cʰ	0.333
ɪ	i	0.333
tː	t	0.333
l	-	0.333
ɣ	x	0.3
ɣ	-	0.3
ˈɛ	ˈɛ	0.286
ˈœː	-	0.286
ˈæː	ˈɛːi̯	0.286
ˈæː	ˈaːi̯	0.286
ˈʉ	ˈu	0.267
ˈʉːə̯	-	0.261
ˈʉə̯	-	0.25
ˈɪː	ˈɪː	0.25
ˈoː	ˈœːy̯	0.25
<#_r	<#_r̥	0.25
ˈɪ	ˈi	0.222
ˈiːe̯	ˈɛi̯	0.222
ˈiːe̯	-	0.222
ˈɛ	ˈɛː	0.214
ˈɑ	ˈœ	0.214
v	l_v	0.214
ˈʉː	ˈʏː	0.2
ˈʉː	ˈʏ	0.2
ˈɑːi̯	-	0.2
ˈɑː	-	0.2
ʉ	ɑu̯	0.2
ˈɪː	j_ˈɛː	0.167
ˈɪ	ˈɛ	0.167
ˈɔː	ˈaːu̯	0.167
ˈɔː	ˈau̯	0.167
j	ç	0.16
ɡ	ɟ̊	0.154
ŋ	-	0.154
ˈɛ	ˈɪː	0.143
ɽ	l̥	0.143
j	-	0.12
ˈɪ	ˈɪː	0.111
ˈɪ	-	0.111
#>	r̥_#>	0.107
n	t͡n̥	0.105
n	n̥	0.105
k	-	0.105
w	kʰ_v	0.1
ˈʉːə̯	ˈuː	0.087
ɑ	-	0.087
j	j_ˈœː	0.08
ŋ	ɲ	0.077
ɽ	t͡l̥	0.071
t	ʰt	0.061
n	-	0.053
