Ladin	Galician	probability
ŋ	ŋ	1.0
ʥ	-	1.0
ʦ	θ	1.0
ˈu	ˈu	1.0
a	a	0.161
l	l_ʊ	0.161
l	l	0.591
m	m	0.921
r	-	0.061
s	s	0.91
t	t_ɪ	0.211
w	β	0.091
ɡ	-	0.101
ʒ	θ	0.091
ˈe	ˈi	0.101
ˈo	ˈu	0.111
ˈɛ	-	0.1
b	b	0.932
d	-	0.22
e	j	0.112
e	-	0.112
i	-	0.192
k	k_w	0.052
k	k	0.652
n	ŋ	0.22
o	-	0.32
r	ɾ	0.742
s	j_ʃ_ʊ	0.052
t	ð	0.2
t	t_ʊ	0.252
v	β	0.42
ɡ	ɣ	0.442
ʒ	ʃ	0.752
ˈi	ˈe	0.102
ˈɛ	ʊ	0.162
ˈɛ	ˈa	0.192
ʃ	s	0.353
ʃ	θ	0.603
ʧ	ʃ	0.343
ˈo	ˈɔ	0.203
ˈɛ	j	0.063
ˈɛ	ˈe	0.143
l	-	0.214
r	r	0.114
t	t	0.304
ɲ	ɲ	0.384
ˈe	ʊ_#>	0.054
ˈe	e	0.094
ˈɛ	ˈɛ	0.34
e	e	0.195
e	ˈe_ɾ	0.265
j	ˈe	0.285
k	ɡ	0.085
k	k_ʊ	0.175
n	n	0.555
p	p	0.965
w	-	0.055
ʨ	θ	0.245
e	o	0.116
j	ɾ	0.176
j	-	0.26
w	ˈɔ_ɣ	0.056
ɲ	ɲ_ɐ	0.246
ˈo	ˈo	0.686
ˈɔ	ˈo_w	0.076
a	-	0.07
a	ɐ	0.767
e	ɐ	0.087
ɡ	ɡ	0.457
ɲ	ɲ_ʊ	0.37
ʒ	-	0.157
ʧ	θ	0.657
ˈa	ˈa	0.597
ˈe	ˈa_ɾ	0.177
b	β	0.068
d	d	0.38
d	ð	0.388
f	f	0.958
i	i	0.808
n	-	0.08
o	o	0.68
r	ɾ_ʊ	0.078
v	b	0.58
ˈa	ˈɑ	0.288
ˈe	ˈe	0.478
ˈi	ˈi	0.858
ˈɔ	o	0.068
ˈɔ	ˈo	0.328
ˈɔ	ˈɔ	0.528
j	ʎ	0.279
m	m_ɪ	0.079
n	ɲ	0.089
w	ˈɔ_β	0.109
w	ˈo	0.69
ʨ	k	0.739
ˈa	ˈe	0.089
