Elfdalian	Dutch	probability
ˈʏː	ˈyː	1.0
ˈʏ	ˈʏ	1.0
ˈɪ̃ː	ˈɛi̯	1.0
ˈɛː	ˈøː	1.0
ˈɔ̃ː	-	1.0
ˈɔ	-	1.0
ˈœː	ˈoː	1.0
ˈœ	ˈɪ	1.0
ˈæː	-	1.0
ˈyːœ̯	ˈu	1.0
ˈyœ̯	ˈɛ	1.0
ˈo_l	ˈɑu̯	1.0
ˈo	-	1.0
ʨː	-	1.0
ʥː	χ	1.0
ʥ	χ	1.0
ɽ	ɫ	1.0
ɪ	-	1.0
ɣ	χ	1.0
ɡː	χ	1.0
ɛ_ɽ	ə_ɫ	1.0
ɔ̃	i	1.0
ɔ	ə	1.0
ɑ̃	ə	1.0
ŋ_ɡ	ŋ	1.0
ŋ	-	1.0
ð_ɛ	ˈeː	1.0
w_ˈɛː	ʋ	1.0
w	ʋ	1.0
t	t	1.0
sː	n_z̥	1.0
s_ʨ	s	1.0
pː	p	1.0
pʰ	p	1.0
p	p	1.0
m	m	1.0
l̥	s_ɫ	1.0
lː	ɫ	1.0
l	ɫ	1.0
kʰ	k	1.0
j_ˈʉːə̯	ˈi	1.0
f	v	1.0
d	d	1.0
b	b	1.0
a	ə	1.0
ɛ	ə	0.871
r	ɾ	0.868
n	n	0.859
tʰ	d	0.856
ˈɪ	ˈɪ	0.851
ˈɑ	ˈɑ	0.782
k	k	0.743
ˈʉ	ˈɔ	0.677
tː	t	0.677
ɑ	ə_n	0.668
nː	n	0.667
ˈʉə̯	ˈɔ	0.655
ð	d̥	0.625
v	v̥	0.614
ˈɔː	ˈaː	0.608
ˈɑː	ˈɑ	0.608
ˈɑːi̯	ˈɛi̯	0.592
ˈɑːu̯	ˈœy̯	0.591
ʨ	χ	0.589
ˈɛ	ˈɛ	0.588
kː	k	0.581
s	z	0.555
ʉ	ɪ	0.548
ˈɪː	ˈɛi̯	0.527
ˈæ	-	0.485
ˈʉːə̯	ˈu	0.476
ʉ	-	0.452
ˈoː	-	0.447
s	s	0.445
kː	ŋ_k	0.419
ʨ	k	0.411
ˈiːe̯	ˈeː	0.41
ˈɑːu̯	-	0.409
ˈɑːi̯	-	0.408
ˈɑː	ˈaː	0.392
v	-	0.386
ˈʉː	-	0.378
ð	d	0.375
j	ˈɛ	0.375
ˈoː	ɦ_ˈoː	0.365
ˈʉː	ˈoː	0.347
ˈʉə̯	ˈoː_ɾ	0.345
ˈiːe̯	ˈɛi̯	0.34
tː	χ_t	0.323
ˈæ	ˈɑ	0.305
ɑ	-	0.288
ˈʉː	n	0.275
ˈɪː	ˈɪ	0.263
k	χ	0.257
ˈiːe̯	ɦ_ˈeː	0.25
ˈʉːə̯	-	0.246
ˈɔː	ˈoː	0.228
nː	ɾ	0.219
ˈɑ	ˈaː	0.218
ˈɪː	ˈi	0.21
ˈæ	ˈeː	0.209
ˈʉːə̯	ɫ	0.2
ˈoː	ˈoː	0.188
ˈʉ	ˈʏ	0.183
j	ɦ	0.166
ˈɔː	ˈɑ_ɫ	0.164
j	ˈɪ	0.162
j	ˈeː	0.162
ˈɪ	-	0.149
ˈɛ	ˈeː	0.149
tʰ	t_ʋ	0.144
n	-	0.141
ˈʉ	ˈoː	0.139
j	ˈi	0.135
ˈɛ	-	0.132
ˈɛ	ˈaː	0.131
ɛ	-	0.129
nː	n_d̥	0.114
r	-	0.097
ˈʉːə̯	ˈi	0.077
