Venetian	Sicilian	probability
a	a	0.874
b	b	0.671
b	v	0.166
b	ɟ	0.062
b	ʤ	0.058
d	d	0.367
d	t	0.2
d	ɾ	0.173
d	-	0.142
d	n	0.097
e	ɪ	0.705
e	i	0.206
f	f	1.0
f_j	ç	0.507
i	i	0.344
i	ɪ	0.333
i	-	0.101
i	ˈi	0.088
i	a	0.075
j	ɟ	0.274
j	-	0.187
j	j	0.174
j	l	0.123
j	i	0.092
j	ɲ	0.071
j_ˈe	ˈɛ	1.0
j_ˈu	ˈi	1.0
j_ˈɛ	ˈɛ	1.0
k	k	1.0
l	l	0.348
l	ɾ	0.297
l	-	0.126
l	w	0.093
l	l_ɪ	0.086
m	m	0.883
m	n_n	0.085
n	n	0.961
o	ʊ	0.701
o	u	0.051
p	p	0.936
p	-	0.064
p_j	c	1.0
r	ɾ	0.553
r	r	0.287
r	ɽ	0.07
s	s	0.449
s	ʃ	0.215
s	ɕ	0.178
s	ʦ	0.084
s_j	ɕ	0.507
t	t	0.928
u	a	0.334
u	w	0.334
v	v	0.838
v	p	0.117
w	w	0.668
w	-	0.142
w	u	0.136
w_e	ʊ	1.0
z	ɕ	0.316
z	j	0.208
z	ʤ	0.173
z	z	0.095
z	ʦ	0.07
z	-	0.061
ŋ	n	0.413
ŋ	n_ʊ	0.206
ŋ	n_ɪ	0.146
ŋ	ŋ	0.137
ŋ	m	0.055
ɡ	k	0.474
ɡ	ɡ	0.375
ɡ	-	0.095
ɰ	l	0.809
ɰ	-	0.19
ɲ	ɲ	0.951
ɲ	-	0.055
ʤ	ɟ	0.57
ʤ	ɡ	0.229
ʤ	ɲ	0.16
ʧ	c	0.894
ʧ	ɟ	0.099
ˈa	ˈa	0.978
ˈe	ˈi	0.351
ˈe	l_ˈi	0.183
ˈe	ˈɛ	0.118
ˈe	ˈi_ɖ	0.1
ˈe	ˈi_k	0.053
ˈe	ˈa	0.053
ˈi	ˈi	0.637
ˈi	ˈu	0.097
ˈi	ˈi_ɟ	0.058
ˈi	ˈɛ	0.057
ˈo	ˈu	0.604
ˈo	ˈɔ	0.322
ˈo	ˈo	0.068
ˈu	ˈu	0.837
ˈu	ˈu_t	0.078
ˈu	ʃ_ˈu	0.051
ˈɔ	ˈɔ	0.762
ˈɔ	ˈu	0.081
ˈɔ	ˈa_w	0.06
ˈɛ	ˈɛ	0.561
ˈɛ	ˈɛ_ɖ	0.295
ˈɛ	ˈɛ_t	0.067
ˈɛ	ˈi	0.058
