Insular North Frisian	Insular North Frisian	probability
ˈɪ_t	ˈiː_s	1.0
ˈɛː	-	1.0
ˈoː_x	ˈœ	1.0
ˈaɪ̯	-	1.0
ɪ_ŋ	i	1.0
ɪ	i	1.0
ɡ	ɡ̊	1.0
ə_l	l	1.0
ŋ	ŋ	1.0
ç_t	ʃ_t	1.0
z	s	1.0
s_k	ʃ	1.0
s_#>	z̥_#>	1.0
r_ə	ʁ	1.0
r	ʁ	1.0
nʲ	n_d̥	1.0
n_ˈøː	n	1.0
m	m	1.0
lʲ	l_d̥	1.0
kʰ	kʰ	1.0
k_#>	#>	1.0
j	j	1.0
h	h	1.0
f_#>	b̥_#>	1.0
f	f	1.0
e	-	1.0
b	b̥	1.0
aɪ̯	eː	1.0
<#_r	<#_ʁ	1.0
<#_j	<#	1.0
<#	<#_ʋ	1.0
l	l	0.946
n	n	0.897
v	ʋ	0.789
ˈɪ	ˈi	0.786
ˈa	ˈɒ	0.75
ɾ	t	0.684
ˈɔː	ˈɒ	0.667
k	ʃ	0.667
ˈɔa̯	ˈoː	0.625
ə	ə	0.6
d	d̥	0.588
ɐ	ə_ʁ	0.581
#>	d̥_#>	0.556
tʰ	ʦ	0.545
t	t	0.536
ˈyː	-	0.5
ˈoː	ˈʊː	0.5
ˈoː	-	0.5
ˈeː	-	0.5
ç	k	0.5
ç	-	0.5
x	x	0.5
x	-	0.5
p	f	0.5
tʰ	d̥	0.455
s	ʃ	0.455
s	s	0.455
#>	ʁ_#>	0.444
ɐ	ʁ	0.419
ˈœ	ˈu	0.417
ə	-	0.4
ˈɔa̯	ˈɒ	0.375
ˈuː	ˈɒ	0.375
ˈuː	ˈo	0.375
p	f_ə	0.375
ˈʏ	ˈyː	0.368
ˈʊ	ˈu	0.357
ˈɔː	ˈoː	0.333
ˈyː	ˈiː	0.333
k	k	0.333
d	t	0.294
ˈʊ	-	0.286
t	s	0.286
ˈiː	ˈiː	0.267
ˈʏ	ˈu	0.263
ˈɛ	ˈe	0.25
ˈɔ	ˈʊː	0.25
ˈɔ	ˈu	0.25
ˈɔ	ˈo	0.25
ˈɔ	-	0.25
ˈœ	ˈi	0.25
ˈuː	ˈoː	0.25
ˈa	ˈɒː	0.25
ˈʊ	ˈi	0.214
ˈɪ	ˈiː	0.214
ˈʏ	-	0.211
ɾ	d̥	0.211
ˈɛ	ˈi	0.208
ˈiː	ˈəi̯	0.2
ˈiː	ˈeː	0.2
ˈiː	ˈei̯	0.2
t	ʦ	0.179
ˈœ	ˈʊː	0.167
ˈœ	ˈɒ	0.167
ˈyː	ˈøi̯	0.167
ˈeː	ˈoː	0.167
ˈeː	ˈiː	0.167
ˈeː	ˈe	0.167
ˈʊ	ˈʊː	0.143
ˈiː	ˈoː	0.133
ˈɛ	ˈu	0.125
ˈɛ	ˈiː	0.125
p	p	0.125
d	-	0.118
ˈʏ	ˈɒ	0.105
ɾ	-	0.105
v	ʋ_ˈi	0.105
v	-	0.105
s	ʃ_w	0.091
ˈɛ	ˈɒː	0.083
ˈɛ	ˈeː	0.083
ˈɛ	-	0.083
l	l_ˈʊː	0.054
ˈʏ	ˈø	0.053
n	ˈɒ_n	0.051
n	-	0.051
