Čakavian	Lower Sorbian	probability
âː	ˈɔ	1.0
b	b	1.0
êː	ˈɪ	1.0
i	i	1.0
ǐː	ˈɪ	1.0
j	j	1.0
r̩̂	r	1.0
ûː	ˈu	1.0
ǔː	ˈu	1.0
z	z	1.0
ɲ	ɲ	1.0
ʃ	ʂ	1.0
ʒ	ʐ	1.0
ʦ	ʦ	1.0
ʧ	ʦ	1.0
m	mʲ	0.51
n	n	0.571
x	x	0.821
d	ʑ	0.32
ê	ˈɔ	0.292
ê	ˈa	0.372
l	w	0.422
ô	ˈɛ	0.422
ǎː	ˈa	0.703
e	ɛ	0.283
e	ɔ	0.353
o	ˈɔ	0.123
ôː	ˈɛ	0.3
p	pʲ	0.433
r	-	0.223
û	<#_v	0.333
ɡ	ɨ_#>	0.183
îː	ˈi	0.264
k	k	0.84
n	n_ɨ	0.24
t	t	0.684
ʋ	v	0.374
â	ˈa	0.275
e	ˈe	0.125
î	ˈa	0.095
î	ˈɪ	0.215
î	ɛ	0.315
r	rʲ	0.435
ê	ˈe	0.336
î	ˈɨ	0.376
îː	ˈɪ	0.736
k	kʲ_i	0.16
r	r	0.326
s	s	0.966
t	ɕ	0.296
a	-	0.437
â	a	0.587
ǎː	ˈɔ	0.297
d	d	0.57
n	ɲ	0.147
ô	ˈɔ	0.537
ôː	ˈɔ	0.7
p	p	0.567
û	ˈu	0.667
ɡ	ɡ	0.817
a	a	0.528
â	ˈɔ	0.138
o	ˈɛ	0.298
ʋ	vʲ	0.578
d	t	0.109
e	e	0.239
l	-	0.089
l	l	0.489
m	m	0.49
o	ɔ	0.579
x	k	0.179
