Sicilian	Latin	probability
a	ãː	0.623
a	a	0.173
a	i_ãː	0.068
a	-	0.058
b	b	1.0
bː	b	1.0
c	p	0.816
c	kʷ	0.184
cː	k	0.831
cː	t	0.169
d	d	0.918
dː	ɡ	1.0
f	f	1.0
i	ɛ	0.42
i	iː	0.164
i	eː	0.156
i	ɪ	0.137
i	e	0.058
j	ɡ	0.411
j	-	0.312
j	d_i	0.076
j	j	0.074
j	l	0.071
k	k	0.924
kː	kː	0.949
kː	kʷ	0.051
l	ɫ	0.725
l	l	0.226
lː	lʲː	1.0
m	m	0.989
mː	m	0.626
mː	mː	0.192
mː	h	0.182
n	n	0.925
nː	n	0.44
nː	nː	0.33
nː	m	0.23
o	ɔ	0.92
o	oː	0.08
p	p	0.942
r	r	0.931
r	ɫ	0.062
s	s	1.0
sː	sː	0.867
sː	b	0.133
t	t	0.929
tː	k_t	0.56
tː	t	0.244
tː	tː	0.196
u	ɔ	0.557
u	uː	0.214
u	ʊ	0.083
u	ae̯	0.061
u	oː	0.057
v	w	0.742
v	b	0.214
w	-	0.278
w	au̯	0.191
w	ɡ	0.138
w	ɫ	0.121
w	ˈau̯	0.111
w	aː	0.109
w	ɔ	0.053
z	s	1.0
ç	f	1.0
ŋ	ŋ	0.958
ɕ	k	0.85
ɕ	kʷ	0.096
ɖː	lʲː	0.834
ɖː	-	0.089
ɖː	p	0.078
ɟ	ɡ	1.0
ɟː	lʲ	0.887
ɟː	b	0.069
ɡ	ɡ	0.483
ɡ	k	0.347
ɡ	ɡʷ	0.119
ɡ	kʷ	0.05
ɪ	ɛ	0.433
ɪ	ɛ̃ː	0.376
ɲ	e	1.0
ɲː	n	0.749
ɲː	ɡ_n	0.204
ɽ	r	0.857
ɽ	ãː	0.107
ɾ	r	0.852
ɾ	d	0.069
ʃ	s	1.0
ʃː	s	0.791
ʃː	k	0.134
ʃː	sː	0.074
ʈ	t	1.0
ʈː	tː	1.0
ʊ	ʊ̃ː	0.831
ʊ	ʊ	0.081
ʐ	r	1.0
ʐː	rː	1.0
ʤ	ɡ	0.435
ʤ	j	0.266
ʤ	b	0.233
ʤ	t	0.065
ʤː	ɡ	1.0
ʦ	t	1.0
ʦː	t	0.656
ʦː	d	0.262
ʦː	s	0.082
ʧː	k	0.326
ʧː	-	0.23
ʧː	kː	0.23
ʧː	tː	0.215
ˈa	ˈa	0.513
ˈa	ˈaː	0.415
ˈe	ˈoe̯	0.488
ˈe	ˈeː	0.462
ˈi	ˈɪ	0.327
ˈi	ˈiː	0.281
ˈi	ˈeː	0.255
ˈo	ˈoː	0.5
ˈo	ˈɔ	0.5
ˈu	ˈuː	0.347
ˈu	ˈʊ	0.273
ˈu	ˈoː	0.245
ˈɔ	ˈɔ	0.7
ˈɔ	ˈʊ	0.107
ˈɔ	ˈoː	0.058
ˈɛ	ˈɛ	0.908
