Slovenian	Czech	probability
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ʋ	v	1.0
ɡ̊	x	1.0
ɡ	ɦ	1.0
ɛ́	-	1.0
ɛ̀ː	ˈɛ	1.0
ɛ̀	ˈɛ	1.0
ə́_r	ˈr̩	1.0
ə́	ˈɛ	1.0
ə_n	n_iː	1.0
ə_m	m̩	1.0
ə_k	k_iː	1.0
ɔ́ː_w	ˈl̩	1.0
ɔ́ː	-	1.0
ɔ́	ˈuː	1.0
ɔ	o	1.0
z̥	z̥	1.0
z	z	1.0
x	x	1.0
úː	ˈu	1.0
ùː_x	x	1.0
p	p	1.0
o	ˈo	1.0
m_ə̀	m	1.0
m	m	1.0
l_èː	l_ɛ	1.0
k	k	1.0
í	ˈiː	1.0
d̥	d̥	1.0
b̥	b̥	1.0
b	b	1.0
á	ˈa	1.0
s	s	0.955
d	d	0.916
l	l	0.907
t	t	0.906
a	a	0.906
n	n	0.858
íː	ˈɪ	0.815
ɔ̀ː	ˈo	0.773
ɛ	ɛ	0.77
i	-	0.767
ə	ɛ	0.705
ìː	ˈɪ	0.669
e	ˈɛ	0.667
w	l	0.639
áː	ˈa	0.586
j	j	0.567
r	r	0.541
ʧ	ʦ	0.532
àː	ˈa	0.518
óː	ˈo	0.503
ə_r	r̩	0.5
ə_r	r_iː	0.5
àː	ˈaː	0.482
ʧ	ʧ	0.468
j	-	0.433
èː	ˈɛ	0.424
áː	-	0.414
òː	ˈuː	0.389
èː	ˈiː	0.384
éː	ˈɛ	0.357
éː	ɛ	0.346
e	-	0.333
óː	ˈu	0.332
ìː	ˈiː	0.331
òː	ˈo	0.326
r	r̝	0.31
òː	ˈou̯	0.285
i	ɪ	0.233
ɛ	ˈɛ	0.23
w	l_iː	0.23
ɔ̀ː	-	0.227
èː	ˈɛː	0.192
íː	-	0.185
éː	j_ˈɛ	0.166
ə	l	0.148
ə	iː	0.148
n	ɲ	0.142
w	iː	0.131
r	r̝̊	0.116
óː	ˈuː	0.114
t	c	0.094
a	-	0.094
l	d_l	0.093
d	ɟ	0.084
éː	ˈiː	0.082
óː	u	0.051
