Hessian	Old English	probability
ˈɛ̃ː	ˈɑː_n	1.0
ˈɑ̃i̯	ˈiː_n	1.0
ˈuː	ˈoː	1.0
ˈõː	n_u	1.0
ˈoĩ̯	ˈi_ɣ	1.0
ˈĩː	ˈeː_n	1.0
ˈẽː	-	1.0
ˈãː	ˈɑː_n	1.0
ʤ̥	k	1.0
ʃ_t	ç_t	1.0
ʃ_d̥	s_t	1.0
ɛː	iːy̯_n	1.0
ɑ	-	1.0
ɐ_n	r_n	1.0
ŋ	ŋ	1.0
v̥	p	1.0
t_ʀ	d_r	1.0
pʰ	-	1.0
p	b	1.0
oː	ˈæːɑ̯	1.0
k_n	k_n	1.0
j	j	1.0
i	i	1.0
h	h	1.0
b̥	b	1.0
m	m	0.959
ʀ	r	0.88
ʒ̊	-	0.866
ɐ	r	0.846
ˈau̯	ˈuː	0.844
ˈo	ˈu	0.807
ə	ɑ_n	0.789
s	s	0.752
v	w	0.743
f	f	0.726
ˈu	ˈu	0.695
ˈiː	ˈeːo̯	0.687
ˈi	ˈi	0.671
ˈai̯	ˈiː	0.67
ˈɔ	ˈo	0.667
ˈæ	ˈeo̯	0.667
ˈeː	-	0.658
ˈɑ	ˈɑ	0.629
ʦ	t	0.606
d̥	d	0.581
n	n	0.58
ˈe	ˈe	0.551
z̥	t	0.545
l	l	0.536
kʰ	k	0.534
ˈɛː	ˈe	0.516
x	x	0.507
ˈæː	ˈe	0.5
ˈæː	-	0.5
x	ç	0.493
t	θ	0.489
ˈɛː	-	0.484
kʰ	ʧ	0.466
æ̆	e_r	0.459
z̥	t_ɑ	0.455
ˈe	-	0.449
ˈɛ	ˈi	0.429
ˈɛ	ˈe	0.429
ɣ̊	ɣ	0.427
ʃ	ʃ	0.413
ʦ	tː	0.394
ɡ̊	ɡ	0.39
k	ɡ	0.382
ˈaː	ˈæːɑ̯	0.376
ˈoː	ˈæːɑ̯	0.365
ˈaː	ˈɑː	0.352
t	t	0.346
ˈeː	ˈɑː_w	0.342
ˈoi̯	ˈeːo̯	0.337
ˈɔ	ˈy	0.333
ˈæ	-	0.333
ˈoi̯	ˈyː	0.332
ˈoi̯	-	0.332
ˈai̯	ˈeːo̯	0.33
ɡ̊	j	0.329
k	ʤ	0.329
l	ɫ	0.321
ˈa	ˈæɑ̯	0.307
ˈa	ˈæ	0.307
ˈu	-	0.305
ɣ̊	j	0.304
ˈɑː	ˈæɑ̯_r	0.286
ˈoː	-	0.278
æ̆	o_r	0.275
ɣ̊	xː	0.269
ˈɑː	ˈæ	0.26
v	v	0.242
d̥	θ	0.236
ˈa	ˈɑ	0.23
ˈoː	ˈu	0.212
s	t	0.211
ˈɑː	ˈæː	0.205
f	p	0.202
ɡ̊	k	0.195
ˈo	ˈo	0.193
ʃ	j	0.191
n	n_d	0.184
k	k	0.181
æ̆	r	0.176
t	d	0.165
ˈaː	-	0.161
ˈiː	ˈeːo̯_w	0.16
ˈau̯	-	0.156
ˈa	ˈiy̯	0.155
ɐ	-	0.154
ˈiː	ˈeː	0.153
ˈɑ	ˈæɑ̯	0.152
ˈi	ˈy	0.147
ˈɑː	ˈæːɑ̯	0.146
ˈoː	ˈo	0.146
ˈɛ	ˈɛ	0.143
ə	n	0.142
ʃ	x	0.139
ʒ̊	ʃː	0.134
n	nː	0.134
ʃ	s	0.133
ˈɑ	-	0.128
ʃ	ʧ	0.124
ʀ	r_ˈeːo̯	0.12
ˈaː	ˈæɑ̯	0.111
k	kː	0.108
ˈɑː	-	0.104
n	-	0.103
ˈi	-	0.097
ˈɑ	ˈi	0.09
æ̆	r_e	0.09
d̥	ð	0.088
ɡ̊	ʧː	0.087
ə	ɑ	0.069
l	ɫ_d	0.066
f	f_ˈo	0.057
d̥	t	0.05
