Brazilian Portuguese	Ladin	probability
ẽ	e	1.0
f	f	1.0
h	r	1.0
ĩ	i	1.0
l	l	1.0
n	n	1.0
p	p	1.0
t	t	1.0
ʤ	-	1.0
ʧ	ʦ	1.0
ˈũ	ˈu	1.0
a	ˈa	0.061
i	a	0.331
u	-	0.341
v	f	0.151
w	-	0.321
ɡ	ɡ	0.651
ɦ	r	0.871
ɾ	r	0.691
ʎ	j	0.341
ˈi	-	0.1
ˈo	ˈo_w	0.11
ˈo	ˈɔ	0.301
ˈõ	ˈɔ	0.451
ˈɐ̃	ˈɛ	0.111
a	a	0.72
d	-	0.102
i	-	0.252
j	-	0.12
o	-	0.382
ɡ	-	0.292
ˈẽ	ˈe	0.602
ˈĩ	ˈi	0.902
ˈu	ˈo	0.312
ˈɐ̃	ˈa_n	0.072
a	e	0.103
e	-	0.13
m	m	0.913
u	ˈɛ_k	0.113
w	w	0.213
w̃	n	0.873
ɐ	-	0.163
ʃ	-	0.053
ʃ	s	0.503
ʎ	d_l	0.13
ˈe	ˈe_j	0.133
ˈo	ˈo	0.253
ˈɔ	w_ˈɛ	0.063
e	a	0.114
j̃	n	0.744
s	-	0.144
u	o	0.074
v	-	0.144
ʒ	ʒ	0.884
ˈa	ˈɛ	0.354
ˈe	j	0.14
b	b	0.455
j̃	-	0.05
z	ʒ	0.305
z	d	0.695
ɐ	a	0.735
ɾ	-	0.165
ˈi	ˈi	0.75
ˈo	ˈa	0.055
ˈo	-	0.075
ˈo	w	0.145
ˈɛ	ˈe	0.115
a	-	0.116
e	e	0.756
j	ˈɛ	0.676
j̃	ɲ	0.206
k	ʨ	0.586
u	j	0.126
w	l	0.466
ʒ	-	0.116
ˈa	-	0.076
ˈe	ˈe	0.426
ˈõ	ˈo_n	0.16
b	-	0.247
i	e	0.417
m	-	0.087
s	ʨ	0.187
v	v	0.647
w̃	-	0.127
ɡ	k	0.057
ɾ	w_r	0.057
ˈa	ˈa	0.57
ˈe	-	0.187
ˈɐ̃	ˈa	0.647
b	v	0.298
o	o	0.618
s	s	0.478
u	e	0.068
u	ˈɛ	0.278
ɐ	n_a	0.088
ʃ	ʃ	0.398
ˈẽ	ˈɛ	0.08
ˈẽ	ˈɛ_n	0.318
ˈĩ	ˈi_n	0.098
ˈõ	ˈo	0.388
ˈu	ˈu	0.688
ˈɐ̃	ˈa_ŋ	0.08
ˈɔ	ˈo	0.588
ˈɛ	-	0.088
ˈɛ	j_ˈɛ	0.148
d	t	0.119
d	d	0.779
j	w	0.139
k	k	0.369
s	ʧ	0.149
ɦ	-	0.129
ʎ	-	0.529
ˈi	ˈe	0.149
ˈɐ̃	ˈo	0.09
ˈɔ	ˈɔ	0.349
ˈɛ	ˈɛ	0.649
