Luxembourgish	Luxembourgish	probability
ˈʊ	ˈɔːu̯_w	1.0
ˈɜɪ̯_ɐ	ˈʊ̯iː_ɹ	1.0
ˈɛː	ˈøː	1.0
ˈə_ɕ_#>	ˈeː_#>	1.0
ˈɔ	ˈʊ	1.0
ˈæːʊ̯	ˈʉːu̯	1.0
ˈæːɪ̯	ˈʊ̯iː	1.0
ˈuː	ˈɔ	1.0
ˈi	-	1.0
ʑ	ʤ̊	1.0
ʀ_ˈe	ɹ_ˈɪ	1.0
ʀ_#>	t͡n̥_#>	1.0
ɡ̊	ɡ̊_ʊ	1.0
ɡ_ʀ	ɡ̊_ɹ	1.0
ɡ	ʤ̊	1.0
ə_v̥	v_ʊ	1.0
ə_f	v	1.0
ŋ_k	ʰk	1.0
z̥_#>	s_#>	1.0
z	s	1.0
w	v	1.0
v̥	v	1.0
s_ɐ	ʰt͡n̥	1.0
pʰ	pʰ	1.0
n_d̥	n	1.0
n_#>	#>	1.0
m	m	1.0
l_ə	l̥	1.0
l_#>	ʊ_ɹ_#>	1.0
h	h	1.0
d̥_#>	#>	1.0
d_ʀ	d̥_ɹ	1.0
b	b̥	1.0
<#_ʀ	<#_ɹ	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_v	<#	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#	<#_v	1.0
ə	a	0.857
v	v	0.833
ʀ	ɹ	0.778
kʰ	kʰ	0.778
l	l	0.759
s	t	0.75
ʦ	tʰ	0.727
ŋ	ŋ	0.667
ʃ	s	0.64
ˈɑɪ̯	ˈʊ̯iː	0.625
f	f	0.607
ˈɛ	-	0.6
ˈiə̯	-	0.6
ɕ_t	ʰt_ʊ	0.6
t	t	0.562
χ	k	0.5
χ	-	0.5
ˈɑʊ̯	ˈɪ	0.5
ˈɑʊ̯	-	0.5
ˈæ	ˈɛ	0.5
ˈæ	-	0.5
ˈuə̯	ˈɔ	0.5
ˈuə̯	-	0.5
ˈu	-	0.5
ˈoː	ˈɔ̯aː	0.5
ˈoː	-	0.5
ˈiː	ˈɛːa̯	0.5
ˈe	ˈʊ	0.5
ˈe	ˈɪ	0.5
k	-	0.5
ˈo	ˈʊ	0.467
#>	ʊ_ɹ_#>	0.449
d̥	d̥_ʊ	0.444
n	n	0.438
ˈɛ	ˈɛ	0.4
ˈəʊ̯	ˈɛːi̯	0.4
ˈo	-	0.4
ˈiə̯	ˈeː	0.4
ɕ_t	ʰt	0.4
d	tʰ	0.4
ˈɑɪ̯	-	0.375
ɕ	k	0.364
ɕ	-	0.364
d	d̥	0.36
ˈeː	ˈai̯	0.353
ˈɑ	ˈɪ	0.35
ˈaː	ˈɛːa̯	0.333
k	ɡ̊ː	0.333
d̥	d̥	0.333
ɐ	ɹ	0.323
ˈə	ˈɪ	0.312
#>	ɹ_#>	0.303
ˈɑ	ˈa	0.3
ˈiː	ɹ	0.3
ʃ	ʃ	0.28
ʦ	-	0.273
ɕ	ʊ	0.273
ˈɜɪ̯	ˈɔ̯aː	0.267
ˈɑ	ˈɔ	0.25
ˈu	ˈɔːu̯	0.25
ˈu	l	0.25
t	-	0.25
s	ʰt	0.25
n	nː	0.25
l	t͡l̥	0.241
ˈeː	ˈɛ	0.235
ˈeː	ˈaːi̯	0.235
ʀ	-	0.222
kʰ	ʧʰ	0.222
d̥	j_ʊ	0.222
ˈɜɪ̯	-	0.2
ˈəʊ̯	ˈɔ̯aː	0.2
ˈəʊ̯	v̥	0.2
ˈəʊ̯	-	0.2
ˈiː	-	0.2
ɐ	ʊ	0.194
ˈə	ˈʊ	0.188
ˈə	ˈiː	0.188
ˈə	-	0.188
t	ʰt	0.188
f	p	0.179
ˈeː	-	0.176
ˈaː	ˈa	0.167
ŋ	ʤ̊ː_ʊ	0.167
ŋ	-	0.167
v	kʰ_v	0.167
k	ʰʧ	0.167
ɐ	ɪ_ɹ	0.161
d	-	0.16
#>	a_#>	0.157
ə	-	0.143
ˈɜɪ̯	ˈʉːu̯	0.133
ˈɜɪ̯	ˈɔːu̯	0.133
ˈɜɪ̯	ˈøː	0.133
ˈɜɪ̯	v̥	0.133
ˈo	ˈœ	0.133
ˈaː	ˈɛːi̯	0.133
ˈaː	ˈa_ɹ	0.133
ɐ	ɹ_ʊ	0.129
ˈə	ˈœ	0.125
n	n_d̥	0.125
n	-	0.125
ˈɑ	-	0.1
ˈaː	ˈɔ	0.1
ʃ	s_k	0.08
d	ʧʰ	0.08
f	ʰp	0.071
f	v	0.071
f	-	0.071
ˈaː	ˈɛ	0.067
ˈaː	-	0.067
ɐ	ˈœ	0.065
ɐ	ɹ_a	0.065
ɐ	ɡ̊_ʊ	0.065
n	a	0.062
