Catalan	Catalan	probability
ˈɛ_w	ˈu_ʃ	1.0
ˈɔ_n	ˈuː_n	1.0
ˈe_ʎ	ˈɛː	1.0
ʤ_ə	d_i	1.0
ʎː	j_ʎ	1.0
ʃ	ʃ	1.0
ɾ	r	1.0
ɡ	ɡ	1.0
ə_l	ə_l	1.0
ə_#>	#>	1.0
z	-	1.0
s_ˈa	s_ˈa	1.0
s_ə	s_ə	1.0
s_#>	s_#>	1.0
r_k	r_ʨ	1.0
r	r	1.0
n_#>	n_t_#>	1.0
n	n	1.0
m_#>	m_#>	1.0
l_#>	l_#>	1.0
k_#>	k_#>	1.0
f	f	1.0
d	d	1.0
a	s_ə	1.0
<#_ˈu	<#_ˈɛ	1.0
<#_ʎ	<#_l	1.0
<#_ɡ	<#	1.0
<#_ə_s	<#_ʃ	1.0
<#_ə	<#	1.0
<#_t	<#_t	1.0
<#_s	<#_ʧ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
p	p	0.931
m	m	0.926
ə	ə	0.868
β	v	0.833
l	l	0.81
t	t	0.806
ð	d	0.75
ŋ	ŋ	0.714
s	s	0.714
ʒ	ʥ	0.667
w_#>	f_#>	0.667
j	-	0.667
i	-	0.667
ɲ	ɲ	0.636
ˈo	ˈu	0.609
ʎ	ʎ	0.6
ɾ_ə	ə_r	0.583
u	u	0.562
k	ʨ	0.533
b	v	0.514
ɣ	-	0.5
ˈa	ˈa	0.492
ˈi	ˈiː	0.485
#>	r_#>	0.478
ɾ_ə	r	0.417
ʎ	l	0.4
k	k	0.4
ˈa	ˈaː	0.393
b	b	0.371
ɲ	n	0.364
ʒ	ʃ	0.333
w_#>	#>	0.333
j	ʥ	0.333
i	e	0.333
w	-	0.312
ˈɔ	ˈɔ	0.303
ŋ	-	0.286
#>	n_#>	0.283
ˈu	ˈu	0.278
ˈu	ˈi	0.278
ˈi	ˈi	0.273
ˈe	ˈɛ	0.25
ɣ	ɡ	0.25
ɣ	j	0.25
ð	d_ˈa	0.25
w	w	0.25
u	o	0.25
ˈɔ	ˈu	0.242
ˈu	ˈiː	0.222
ˈɔ	ˈɔː	0.212
s	ʧ	0.19
ˈɛ	ˈe	0.189
ˈɛ	ˈa_j	0.189
w	ʃ	0.188
u	-	0.188
ˈi	ˈɛ	0.182
ˈo	ˈuː	0.174
β	w	0.167
ˈɛ	ˈɛ	0.162
ˈɔ	ˈa_w	0.152
ˈe	ˈe	0.143
ˈe	ˈa_j	0.143
ˈe	-	0.143
ˈɛ	ˈeː	0.135
ˈo	ˈuː_r	0.13
t	ʨ	0.129
w	v	0.125
w	j	0.125
ˈa	ˈɔ	0.115
ˈu	ˈuː	0.111
ˈu	-	0.111
#>	w_n_#>	0.109
ˈɛ	j	0.108
ˈe	ˈɛː	0.107
s	p	0.095
l	w	0.095
l	-	0.095
ˈɔ	j_ˈɛ	0.091
ˈo	-	0.087
#>	ʨ_#>	0.087
ˈɛ	ˈiə̯	0.081
ˈɛ	ˈa	0.081
m	-	0.074
ˈe	ˈa	0.071
ˈe	j_ˈɛ	0.071
ˈe	j	0.071
p	-	0.069
k	w	0.067
t	ʦ	0.065
ˈi	r	0.061
b	ʒ_ɡ	0.057
b	-	0.057
ˈɛ	-	0.054
