Scots	Nynorsk Norwegian	probability
b	b	0.956
d	d	0.596
d	-	0.354
e	-	0.5
e	j	0.5
f	f	0.774
f	ʋ	0.199
h	h	0.864
h	j	0.136
i	e	1.0
iː	e	1.0
j	-	0.266
j	j	0.234
j	ɡ	0.216
j	ˈoː	0.171
j	ˈyː	0.113
k	k	0.652
k	ɕ	0.161
k	ʰkː	0.115
kʰ	kʰ	1.0
l	l	0.829
l	j	0.096
m	m	0.912
n	n	0.778
n	nː	0.159
p	p	0.834
p	-	0.132
pʰ	pʰ	1.0
r	ɾ	0.945
s	s	0.794
s	ʃ	0.177
t	t	0.844
tʰ	tʰ	0.96
v	ʋ	0.517
v	m	0.314
v	-	0.169
w	ʋ	0.47
w	-	0.328
w	ˈɔ	0.089
w	v	0.072
x	ʰtː	0.612
x	k	0.141
x	s	0.141
x	-	0.066
z	s	1.0
ç	ɡ	1.0
ð	-	0.744
ð	d	0.128
ð	nː	0.128
ŋ	ŋː	0.804
ŋ	ŋ	0.12
ŋ	ɲ	0.076
ə	e	0.306
ə	-	0.223
ə	ə	0.136
ə	ɑ	0.124
ə	ɾ_e	0.065
ə	ˈøː	0.054
əi̯	ɑ	0.536
əi̯	e	0.464
ɡ	ɡ	0.525
ɡ	ɡː	0.268
ɡ	j	0.168
ɪ	ɪ	0.616
ɪ	-	0.384
ɫ	l	0.923
ɫ	lː	0.077
ɹ	ɾ	1.0
ʃ	ʃ	0.521
ʃ	s	0.479
ʍ	kʰ	1.0
ʧ	ɕ	0.927
ʧ	k	0.073
ˈa	ˈɔ	1.0
ˈaːɪ̯	ˈɛ	0.815
ˈaːɪ̯	ˈʉː	0.185
ˈe	ˈæɪ̯	0.251
ˈe	ˈɑː	0.18
ˈe	ˈyː	0.145
ˈe	ˈɛ	0.099
ˈe	ˈɑ	0.06
ˈe	ˈoː	0.059
ˈe	-	0.058
ˈe	ˈæːɪ̯	0.058
ˈei̯	ˈœʏ̯	0.223
ˈei̯	ˈæʉ̯	0.189
ˈei̯	-	0.152
ˈei̯	ˈoː	0.125
ˈei̯	ˈeː	0.076
ˈei̯	ˈyː	0.072
ˈeː	ˈoː	0.644
ˈeː	ˈɑː	0.233
ˈeː	ˈɑ	0.077
ˈi	ˈʏ	0.361
ˈi	ˈeː	0.224
ˈi	ˈæʉ̯	0.186
ˈi	ˈøː	0.12
ˈi	ˈʉː	0.109
ˈiː	ˈeː	0.3
ˈiː	ˈøː	0.21
ˈiː	ˈoː	0.078
ˈiː	ˈyː	0.077
ˈiː	ˈʉː	0.064
ˈiː	ˈʏ	0.064
ˈiː	ˈɛ	0.06
ˈoe̯	ˈɛ	1.0
ˈø	ˈuː	0.599
ˈø	ˈoː	0.274
ˈø	ˈyː	0.073
ˈø	ˈɑ	0.054
ˈɑ	ˈɑ	0.805
ˈɑ	ˈoː	0.057
ˈɑ	ˈæɪ̯	0.057
ˈɑː	ˈɑ	0.646
ˈɑː	ˈeː	0.141
ˈɑː	ˈøː	0.095
ˈɔ	ˈɔ	0.311
ˈɔ	ˈʊ	0.266
ˈɔ	ˈuː	0.167
ˈɔ	ˈoː	0.123
ˈəi̯	ˈiː	0.586
ˈəi̯	ˈɪ	0.248
ˈɛ	ˈɑ	0.282
ˈɛ	ˈɛ	0.139
ˈɛ	ˈʉː	0.099
ˈɛ	-	0.094
ˈɛ	ˈiː	0.091
ˈɛ	ˈɑː	0.088
ˈɪ	ˈɪ	0.302
ˈɪ	ˈʏ	0.167
ˈɪ	ˈuː	0.152
ˈɪ	ˈiː	0.076
ˈʉ	ˈʉː	0.575
ˈʉ	ˈʉ	0.386
ˈʉː	ˈʉː	1.0
ˈʌ	ˈʉ	0.725
ˈʌ	ˈoː	0.127
ˈʌ	ˈæ	0.104
ˈʌʉ̯	ˈʉ	0.386
ˈʌʉ̯	ˈiː	0.384
ˈʌʉ̯	ˈoː	0.23
θ	tʰ	0.52
θ	nː	0.226
θ	ɕ	0.198
θ	d	0.056
