Ladin	Venetian	probability
a	a	0.916
a	-	0.076
a_d	a	1.0
b	b	1.0
d	d	0.65
d	ʧ	0.172
d	-	0.052
d_a	a	1.0
e	e	0.452
e	e_r	0.152
e	a	0.135
e	-	0.105
e	o	0.078
f	f	0.731
f	v	0.109
f	v_o	0.103
i	i	0.718
i	-	0.131
i	e	0.125
j	j	0.519
j	-	0.16
j	r	0.109
j	ˈi	0.076
j	o	0.07
j	e	0.053
j_ˈe	ˈe	0.521
j_ˈɛ	ˈɛ	1.0
k	k	0.666
k	ɡ_o	0.187
k	k_o	0.109
k_l	ʧ	1.0
l	ɰ	0.376
l	o	0.194
l	l	0.152
l	j	0.14
l	-	0.133
l_ˈe	ˈe	1.0
m	m	0.847
m	ŋ	0.096
n	n	0.475
n	ŋ	0.433
n	-	0.051
n_d	n	0.271
o	o	0.83
o	-	0.078
o	u	0.066
p	p	1.0
r	r	0.816
r	r_o	0.166
s	s	0.692
s	s_o	0.153
s	z	0.101
s	-	0.057
t	t	0.62
t	t_o	0.229
t	d_o	0.06
u	l	0.361
u	u	0.361
u	o	0.216
v	v	0.966
w	ˈɔ	0.425
w	-	0.294
w	l	0.126
w	a	0.061
w	w	0.061
w_ˈɛ	ˈo	1.0
z	z	0.271
ŋ	ŋ	0.827
ŋ	n	0.143
ɡ	ɡ	0.588
ɡ	ʤ	0.133
ɡ	v	0.116
ɡ	w	0.076
ɡ	z	0.076
ɲ	ɲ	0.476
ɲ	ɲ_o	0.411
ɲ	n	0.109
ʃ	s	0.534
ʃ	z_e	0.259
ʃ	s_e	0.109
ʃ	z_a	0.083
ʒ	z	0.935
ʒ	s	0.065
ʤ	z	1.0
ʥ	z	0.467
ʥ	k	0.174
ʥ	ɡ	0.127
ʥ	ɲ	0.113
ʦ	s	0.474
ʦ	z_o	0.245
ʦ	-	0.12
ʦ	z	0.12
ʧ	s	0.618
ʧ	-	0.211
ʧ	z	0.145
ʨ	k	0.675
ʨ	s	0.24
ˈa	ˈa	0.972
ˈe	ˈe	0.37
ˈe	ˈa_r	0.345
ˈe	-	0.06
ˈe	ˈa	0.051
ˈe_j	ˈe	0.807
ˈe_j	ˈɛ	0.182
ˈi	ˈi	0.901
ˈi	ˈi_r	0.096
ˈo	ˈo	0.88
ˈo_s	ˈu	0.521
ˈu	ˈu	0.95
ˈu	ˈe	0.06
ˈɔ	ˈɔ	0.664
ˈɔ	ˈo	0.276
ˈɔ	o	0.051
ˈɛ	ˈɛ	0.379
ˈɛ	ˈa	0.263
ˈɛ	ˈe	0.171
ˈɛ	-	0.097
