Swedish	North Frisian	probability
<#	v	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_h	<#_h	1.0
<#_kʰ	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_pʰ	<#_p	1.0
<#_r	<#_r	1.0
<#_v	<#_v	1.0
<#_ɕ	<#_t	1.0
<#_ɡ	<#_ɡ	1.0
<#_ˈa	<#_ˈeː	1.0
<#_ˈɵ	<#_ˈʊ	1.0
a_#>	ə_#>	1.0
k_#>	k_#>	1.0
kː	k	1.0
l_#>	l_#>	1.0
l_ɪ	l_i	1.0
lː_#>	l_#>	1.0
m_#>	m_#>	1.0
mː	m	1.0
n	n	1.0
n_#>	n_#>	1.0
n_d	n	1.0
nː	n	1.0
nː_#>	n_#>	1.0
p	p	1.0
p_#>	p_#>	1.0
r_#>	r_#>	1.0
r_a	ə_r	1.0
r_ˈœ	r	1.0
s_#>	s_#>	1.0
s_k	ʃ_#>	1.0
s_t	s_t	1.0
sː	ˈyː_s	1.0
tː_#>	x_t	1.0
ŋː	ŋ	1.0
ŋː_#>	ŋ_#>	1.0
ŋː_ɛ	ŋ_ə	1.0
ɕ	ʃ	1.0
ɖ	ˈa_r_d	1.0
ɛ_#>	ə_#>	1.0
ɡ_a	w	1.0
ɡː_#>	#>	1.0
ɳ	r_#>	1.0
ɳ_#>	r_n	1.0
ɵ	-	1.0
ʈː	r_t	1.0
ʊ_#>	n	1.0
ˈa_l	ˈuː_l	1.0
ˈa_n	ˈœ_nʲ	1.0
ˈeː_n	ˈiː_nʲ	1.0
ˈoː_n	ˈɔu̯_n	1.0
ˈyː	ˈiː	1.0
ˈæː	ˈeː	1.0
ˈøː_d	ˈyː_dʲ	1.0
ˈœ_l	l	1.0
ˈɔ	ˈɔ	1.0
ˈɔ_tː	ˈɔː_x	1.0
ˈʊ	ˈʊ	1.0
<#_s	<#_s	0.931
v_#>	ə_v_#>	0.571
<#_j	<#_d	0.2
a	ə_n	0.182
k	x	0.2
l	lʲ	0.2
ɛ	-	0.222
ˈa	ˈɔː	0.222
ˈa	ˈœ	0.222
ˈeː	ˈaː	0.222
ˈeː	ˈi	0.222
ˈuː	ˈɔ	0.222
ˈuː	ˈœi̯_f	0.222
ˈɪ	ˈai̯	0.2
#>	ə_#>	0.733
<#_tʰ	<#_t	0.833
d_#>	d_#>	0.333
j	j	0.333
j	ˈɔː	0.333
j	h	0.333
k	ʃ	0.3
r	r	0.923
t_#>	tʲ_#>	0.333
ɡ	j	0.333
ˈiː	ˈiː	0.3
ˈøː	ˈɛ	0.273
ˈɵ	ˈyː	0.333
ˈʉː	ˈyː	0.273
ˈʏ	-	0.333
<#_j	<#	0.4
<#_j	<#_j	0.4
s	z	0.4
t	t	0.714
tː	tʲ_#>	0.4
ˈøː	ˈuː	0.364
ˈøː	ˈiː	0.364
ˈɛ	ˈa	0.294
ˈɪ	ˈa	0.4
ˈɪ	ˈi	0.4
ˈʉː	ˈiː	0.364
<#_ɧ	<#_s	0.455
<#_ɧ	<#_ʃ	0.545
d	dʲ	0.5
d	d	0.5
d_#>	dʲ_#>	0.095
d_#>	s_#>	0.095
k	k	0.5
v	-	0.25
v	v	0.75
ŋ_#>	ŋ	0.5
ŋ_#>	i_ŋ	0.5
ˈoː	ˈɛi̯_p	0.25
ˈoː	ˈuː	0.375
ˈoː	ˈɛː	0.375
ˈɑː	ˈɒ	0.25
ˈɑː	j_ˈa	0.25
ˈɑː	ˈɒː	0.5
ˈɛ	ˈeː	0.235
ˈɛ	ˈiː	0.235
d_#>	#>	0.476
s	s	0.6
t	z	0.286
tː	t	0.6
ˈa	ˈɒ	0.556
ˈeː	ˈiː	0.556
ˈuː	ˈœ	0.556
ˈɛː	ˈɛi̯	0.286
ˈɛː	ˈiː	0.286
ˈʉː	ˈøː	0.136
#>	ə_n_#>	0.267
<#_tʰ	<#	0.167
r	-	0.077
t_#>	t_#>	0.667
ɡ	-	0.667
ˈiː	ˈi	0.7
ˈɵ	ˈʊ	0.667
ˈʉː	ˈɔː	0.227
ˈʏ	ˈʏ	0.667
a	-	0.818
l	l	0.8
ɛ	ə	0.778
ˈɛ	-	0.118
ˈɛ	ˈɒː	0.118
<#_s	<#	0.069
v_#>	f_#>	0.429
ˈɛː	ˈɛː	0.429
