Shanghainese	Shanghainese	probability
⁵⁵	²	1.0
⁵	²	1.0
ʨ	k	1.0
ʦʰ	ʦʰ	1.0
ʥ	k	1.0
ɯ	-	1.0
ɪ_ʔ	ʔ	1.0
ɦ_w_ɑ̃	ŋ̍	1.0
ɤ_²³	²⁴	1.0
ɡ	k	1.0
ŋ̍	-	1.0
¹²	⁴	1.0
tʰ	tʰ	1.0
t	t	1.0
p	p	1.0
kʰ	kʰ	1.0
k	k	1.0
j_ɪ	i	1.0
j_ɔ	j_o	1.0
j	-	1.0
i_n	ẽ	1.0
h	h	1.0
<#_ʦ	<#	1.0
<#_z	<#	1.0
<#_n	<#_l	1.0
⁵³	³³	0.972
ŋ	ŋ	0.818
ɦ	h	0.778
ʨʰ	kʰ	0.75
ʦ	ʦ	0.75
ɕ	s	0.714
z̩	i	0.714
z	t	0.714
s	s	0.714
l	l	0.714
n	ŋ	0.692
³⁴	⁵²	0.667
ə	u	0.636
ɑ̃	a_ŋ	0.625
nʲ	ʣ	0.625
ʔ	k̚	0.615
²³	⁵⁵	0.603
y	u	0.6
m	m	0.6
d	tʰ	0.6
ã	ŋ	0.6
i	i	0.579
<#_ɦ	<#_w	0.571
a	e	0.545
ɥ	e	0.5
ɥ	-	0.5
ɜ	i_w	0.5
ɜ	a_w	0.5
ɔ	o	0.5
ɔ	a_w	0.5
v	p	0.5
v	-	0.5
e	a_j	0.5
b	p	0.5
b	-	0.5
<#	<#_ʦʰ	0.5
<#	<#_pʰ	0.5
o	a	0.48
f	p	0.429
<#_ɦ	<#	0.429
y	o_w	0.4
m	b	0.4
d	t	0.4
ã	ẽ	0.4
ʔ	ʔ	0.385
nʲ	n	0.375
ə	e	0.364
ø	ŋ	0.364
³⁴	²¹³	0.333
u	o_w	0.3
u	o	0.3
ɕ	-	0.286
z̩	a_j	0.286
z	ʦ_j	0.286
s	ʦ	0.286
l	n	0.286
f	h_w	0.286
f	h	0.286
o	o	0.28
ø	a_m	0.273
a	w_a	0.273
ʨʰ	ʨʰ	0.25
ʦ	t	0.25
ɑ̃	ɯ_ŋ	0.25
e	u_ŋ	0.25
e	-	0.25
o	e	0.24
ɦ	w	0.222
u	w_a	0.2
u	u	0.2
ŋ	ɡ	0.182
ø	ũ_ã	0.182
ø	a	0.182
a	j	0.182
²³	¹¹	0.159
i	w_e	0.158
i	ĩ	0.158
n	m	0.154
n	-	0.154
²³	⁵²	0.127
ɑ̃	õ	0.125
²³	³⁵	0.111
i	o_j	0.105
