Kashubian	Belarusian	probability
b	b	1.0
e	e	1.0
f	w	1.0
l	lʲ	1.0
n	n	1.0
r	r	1.0
u̯ɛ	a	1.0
x	x	1.0
ŋ	-	1.0
ɔ	a	1.0
ɛ	a	1.0
ɡ	ɣ	1.0
ɲ	nʲ	1.0
ʂ	-	1.0
ʃ	ʂ	1.0
ʐ	r	1.0
ʒ	ʐ	1.0
ʣ	ʣʲ	1.0
ʤ	-	1.0
ˈe	ˈe	1.0
ˈi	ˈi	1.0
ˈõ	ˈu	1.0
ˈu	ˈo	1.0
ˈə	ˈɨ	1.0
a	ˈa	0.561
j	ˈæ	0.691
v	vʲ	0.651
w	ʌ_ɫ	0.071
w	w	0.211
ˈɔ	ˈo	0.611
ˈɛ	ˈɛ	0.141
ˈɞ	ˈa	0.1
m	mʲ	0.422
ʦ	ʦʲ	0.752
ˈɛ	ˈo	0.252
a	-	0.263
d	-	0.253
k	k	0.823
p	p	0.473
z	z	0.293
ˈa	ˈe	0.883
s	s	0.474
t	t	0.94
u̯ˈɛ	a	0.514
ʧ	kʲ	0.144
ˈɛ	ˈɵ	0.084
i	i	0.265
i	ɨ	0.735
ˈɞ	a	0.25
ˈɞ	ˈo	0.65
a	a	0.176
j	-	0.136
s	sʲ	0.526
t	a_t	0.06
u̯ˈɛ	ˈo	0.486
ʧ	ʧ	0.856
ˈɛ	ˈe	0.496
d	d	0.747
p	pʲ	0.527
z	zʲ	0.707
ˈa	ˈa	0.117
k	k_a	0.068
k	x	0.108
m	m	0.578
w	ɫ	0.718
ʦ	ʦ	0.248
j	ˈe	0.129
v	v	0.349
ˈɔ	a	0.389
