Piedmontese	Piedmontese	probability
ˈɛ_l	m_ˈo	1.0
ˈɛ_j	ˈe	1.0
ˈə	ˈe	1.0
ˈe_ŋ	ˈe_n	1.0
ɲ	ɲ	1.0
ə	ɾ	1.0
z_#>	θ_#>	1.0
y	-	1.0
v_#>	β_o_#>	1.0
r_#>	ɾ_o_#>	1.0
p_j	ɟ͡ʝ	1.0
p	p	1.0
n_#>	n_#>	1.0
m	m	1.0
l_#>	l_#>	1.0
k_#>	k_o_#>	1.0
f_ˈi	ˈi	1.0
f	f	1.0
e_r	e_ɾ	1.0
e_#>	#>	1.0
dː	-	1.0
a_v	a_β	1.0
a_#>	#>	1.0
<#_ɡ	<#_ɡ	1.0
<#_u	<#_o	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_f	<#	1.0
<#	<#_o	1.0
ˈa	ˈa	0.955
k	k	0.935
a	a	0.923
n	n	0.833
ˈy	ˈu	0.8
ŋ	n	0.795
r	ɾ	0.75
<#_ˈa	<#_ˈa	0.714
ɡ	ɣ	0.7
t	t	0.676
ʤ	x	0.667
#>	o_#>	0.657
z	θ	0.625
ˈu	ˈo	0.613
ˈi	ˈi	0.607
l	l	0.591
b	b	0.591
v	b	0.581
d	d	0.556
s	s	0.525
ˈɔ	w_ˈe	0.52
ʧ	θ	0.5
ʧ	ɟ͡ʝ	0.5
u	o	0.5
ˈe	ˈa_ɾ	0.467
ˈø	w_ˈe	0.444
ˈɛ	j_ˈe	0.438
v	β	0.419
j	x	0.414
ˈɛ	ˈe	0.375
z	-	0.375
i	i	0.375
i	e	0.375
ˈɔ	ˈo	0.36
ˈø	ˈo	0.333
ʤ	ɟ͡ʝ	0.333
w	ˈo	0.333
w	w	0.333
w	l	0.333
l	ʝ	0.318
b	β	0.318
ɡ	ɡ	0.3
e	ˈe_ɾ	0.286
<#_ˈa	<#	0.286
d	ð	0.259
ˈu	w_ˈe	0.258
i	-	0.25
ˈe	ˈe	0.233
ˈø	-	0.222
s	θ	0.22
u	e	0.214
ˈy	ˈo	0.2
e	ˈi_ɾ	0.19
e	e	0.19
t	ʧ	0.189
d	-	0.185
#>	e_#>	0.182
ˈe	j_ˈe	0.167
n	-	0.167
ŋ	ŋ	0.154
ˈi	ˈe	0.143
u	u	0.143
u	-	0.143
e	ɾ	0.143
j	l	0.138
j	-	0.138
t	ð	0.135
ˈu	ˈu	0.129
ˈɔ	o	0.12
s	e_s	0.119
ˈi	j	0.107
j	ˈe	0.103
e	ˈe	0.095
e	-	0.095
l	-	0.091
b	e_ɾ	0.091
ˈi	ˈu	0.071
ˈi	ˈi_ɣ	0.071
j	ʝ	0.069
j	ɾ	0.069
j	o	0.069
ˈe	ɾ	0.067
ˈe	e	0.067
k	-	0.065
ˈɛ	ˈi	0.062
ˈɛ	j	0.062
ˈɛ	-	0.062
r	o	0.062
r	e	0.062
#>	a_#>	0.061
ŋ	o	0.051
s	x	0.051
s	-	0.051
a	-	0.051
