Western Lombard	Emilian	probability
b	b	1.0
d	d	1.0
e	e	1.0
i	-	1.0
m	m	1.0
p	p	1.0
u	u	1.0
w	w	1.0
ɡ	ɡ	1.0
ɲ	ɲ	1.0
ʃ	θ	1.0
ʋ	v	1.0
ʦ	θ	1.0
ˈaː	ˈɛ	1.0
ˈãː	ˈa_ŋ	1.0
ˈẽː	ŋ	1.0
ˈĩː	ˈe_ŋ	1.0
ˈy	ˈo	1.0
ˈø	ˈɔ	1.0
ˈøː	ˈɔː	1.0
f	v	0.261
l	l	0.931
t	ŋ_t	0.071
ʧ	ʧ	0.351
ˈa	ˈɛ_r	0.271
ˈa	ˈaː	0.371
ˈe	ˈiː	0.351
ˈɛ	ˈɛ	0.661
a	a	0.882
j	j	0.662
s	z	0.182
ʧ	t	0.252
ˈi	ˈiː_r	0.252
t	t	0.883
ˈũː	ˈo_ŋ	0.73
ˈɔ	ˈɔ	0.153
ˈɛ	ˈa	0.183
ʤ	ʤ	0.314
ˈu	ˈʌu̯	0.484
ˈyː	ˈuː	0.74
k	ɡ	0.155
k	k	0.845
ˈe	ˈɛ	0.05
ˈe	ˈa	0.55
n	n	0.936
ʤ	ð	0.686
ˈu	ˈɔ	0.516
ˈyː	ˈʌu̯	0.26
ˈɛ	ˈa_j	0.156
r	r	0.947
ˈũː	ˈʌ	0.27
ˈɔ	ˈɔː	0.847
a	-	0.118
j	-	0.338
s	s	0.818
ʧ	θ	0.398
ˈa	ˈɛ	0.358
ˈi	ˈe	0.748
f	f	0.739
l	-	0.069
