Old High German	Gothic	probability
ˈɑː	ˈeː	1.0
ˈɑ	ˈa	1.0
ˈuo̯	ˈoː	1.0
ˈiː	ˈiː	1.0
ˈio̯	ˈiu̯	1.0
ˈie̯	ˈeː	1.0
ˈi_n	ˈi_n	1.0
ˈi	ˈi	1.0
ˈeː	ˈɛː	1.0
ˈei̯	ˈɛː	1.0
ˈe	ˈa	1.0
ʦː	t	1.0
ʦ	t	1.0
ɛ	a	1.0
ə	a	1.0
ɑ_l	l_s	1.0
ŋ	ŋ	1.0
xː	k	1.0
u	u	1.0
tː	ð	1.0
s̻ː	t	1.0
s_t	s_t	1.0
s	s	1.0
r_n	r_n	1.0
p͡f_u	e	1.0
ou̯	ˈɔː	1.0
nː	nː	1.0
m	m	1.0
lː	lː	1.0
l	l	1.0
kʰ_w	kʷ	1.0
k	k	1.0
j	j	1.0
h	h	1.0
eː	aː	1.0
d	θ	1.0
n	n	0.959
w	w	0.883
r	r	0.835
ˈoː	ˈɔː	0.806
ˈu	ˈu	0.789
ɑ	a	0.789
f	f	0.773
ˈuː	ˈuː	0.764
ɡ	ɡ	0.668
e	j_a	0.667
ˈou̯	-	0.65
b	b	0.649
ˈɛ	ˈɛ	0.64
i	i	0.552
s̻	t	0.541
ˈiu̯	-	0.512
ˈiu̯	ˈiu̯	0.488
s̻	t_s	0.459
o	w_s	0.452
ˈo	ˈu	0.449
ˈo	ˈɔ	0.401
o	oː	0.366
ˈɛ	ˈi	0.36
ˈou̯	ˈɔː	0.35
t	d	0.35
e	a	0.333
b	β	0.252
x	h	0.244
t	t	0.242
ˈuː	-	0.236
x	k	0.231
i	-	0.229
f	p	0.227
x	h_t	0.223
i	iː	0.219
ˈu	ˈɔ	0.211
ɑ	-	0.211
t	ð	0.206
ɡ	ɣ	0.204
ˈoː	-	0.194
o	ɔː	0.183
x	k_s	0.178
r	s	0.165
ˈo	-	0.15
t	θ_s	0.15
x	h_s	0.124
ɡ	x	0.102
b	f_s	0.099
w	ʍ	0.072
t	s	0.052
