Spanish	Spanish	probability
θ_ˈe	ʃː_e	1.0
β_ɾ	p_r	1.0
β_l	bː_j	1.0
ˈo_ɾ	ˈo_r	1.0
ˈo_ð	ˈu_tː	1.0
ˈe_p	pː	1.0
ˈe_j	ˈe	1.0
ˈe_#>	ˈe_#>	1.0
ˈa_t	ˈa_tː	1.0
ˈa	ˈa	1.0
ɾ_ˈe	r_ˈe	1.0
ɾ_ˈa	r_ˈa	1.0
ɾ_o	r_o	1.0
ɾ_e	e	1.0
ɾ_a	r_a	1.0
ɾ_#>	#>	1.0
ɣ_a	ɡ_a	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
ð_a	t_a	1.0
ð_#>	#>	1.0
w	w	1.0
t_ɾ	j	1.0
t_e	t_e	1.0
s_ˈo	ˈo	1.0
s_#>	#>	1.0
r	rː	1.0
p	p	1.0
o_ɾ	o_r	1.0
o_s	i	1.0
n_#>	n_e_#>	1.0
m_ˈo	ˈɛ	1.0
m	m	1.0
k_ɾ	k_r	1.0
j_ˈe	ˈɛ	1.0
e_ɾ	b	1.0
d	d	1.0
a_#>	#>	1.0
<#_θ	<#_ʧ	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_x	<#_ʤ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#_a	1.0
n	n	0.963
#>	e_#>	0.936
a	a	0.926
t	t	0.92
k	k	0.9
o	o	0.889
<#	<#_f	0.875
s	s	0.86
ɾ	r	0.841
l	l	0.818
w_ˈe	ˈɔ	0.8
f	f	0.8
ˈi	ˈi	0.769
ʧ	tː	0.75
ʝ	lː	0.75
l_#>	l_e_#>	0.714
ð	t	0.706
<#_e	<#	0.7
ˈu	ˈu	0.68
m_b	m	0.667
<#_o	<#_o	0.667
ˈo	ˈo	0.636
b	v	0.636
u	-	0.6
s_a	s_a	0.6
l_ˈe	l_ˈe	0.6
j	j	0.533
θ	ʧ	0.5
ɲ	ɲː	0.5
ɣ	k	0.5
i	i	0.5
i	-	0.5
e	e	0.5
β	v	0.476
ɟ͡ʝ	p_j	0.429
x	ʎː	0.4
u	o	0.4
s_a	z_a	0.4
l_ˈe	l	0.4
b	b	0.364
ˈe	ˈe	0.358
ɣ	ɡ	0.357
ɲ	nː	0.333
m_b	m_e	0.333
j	-	0.333
<#_o	<#	0.333
ˈo	ˈɔ	0.303
<#_e	<#_ʤ_e	0.3
ð	d	0.294
β	p	0.286
ɟ͡ʝ	ʤ	0.286
ɟ͡ʝ	k_j	0.286
l_#>	#>	0.286
ˈe	ˈɛ	0.283
x	kː_j	0.267
ʧ	l_t	0.25
ʝ	j	0.25
x	-	0.2
w_ˈe	ˈo	0.2
f	fː	0.2
θ	ʤ	0.182
θ	-	0.182
e	i	0.174
ˈe	ˈɔ	0.17
ɲ	-	0.167
ˈu	ˈɔ	0.16
ˈu	ˈo	0.16
β	b	0.143
ɣ	-	0.143
x	sː	0.133
j	ʤː	0.133
ˈe	e	0.132
<#	<#_l	0.125
ˈi	ˈɛ	0.103
k	kː	0.1
β	r	0.095
s	sː	0.093
θ	ʧː	0.091
l	lː_e	0.091
l	d	0.091
e	o	0.087
e	a	0.087
e	-	0.087
t	tː	0.08
ˈi	e	0.077
e	ˈe	0.065
#>	o_#>	0.064
ɾ	e_r	0.063
ɾ	e	0.063
ˈo	ˈu	0.061
ˈe	-	0.057
o	-	0.056
ˈi	ˈe	0.051
