Afrikaans	Afrikaans	probability
ˈɪø̯	ˈuː	1.0
ˈɛː	ˈɛː_z	1.0
ˈɛ_n	n	1.0
ˈɔː	-	1.0
ˈɔ_ɫ	ˈoːu̯_l	1.0
ˈɔ_r	ˈɔː_r	1.0
ˈyː	j_ˈuː	1.0
ˈoː	ˈoː	1.0
ɦ	h	1.0
ə_ɫ	ə_l	1.0
ə_ŋ	ə_n	1.0
w	ˈeː	1.0
v̥_#>	#>	1.0
t	t	1.0
s_ɫ	s_l	1.0
p	p	1.0
n_d	n	1.0
m	m	1.0
i	i	1.0
b	b	1.0
<#_χ	<#_j	1.0
<#_ɫ	<#_l	1.0
<#_r	<#_r	1.0
<#_p	<#_p	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
d̥	d	0.935
ɫ	l	0.933
v	v	0.933
n	n	0.929
k	k	0.926
d	d	0.917
ˈœɪ̯	ˈuː	0.9
r	r	0.869
v̥	f	0.857
ŋ	ŋ	0.846
<#_d	<#_t	0.8
s	s	0.787
ə	ə	0.741
ˈœ	ˈɛː	0.667
ˈʊə̯	ˈoː	0.636
ˈɪə̯	ˈeː	0.625
ˈɛ	-	0.6
j	j	0.6
ˈə	ˈɪ	0.591
ˈʊə̯_r	ˈoːu̯_d	0.5
ˈʊə̯_r	ˈoːu̯	0.5
ˈɔ	ˈʊ	0.5
ˈɑː_r	ˈɛɪ̯	0.5
ˈɑː_r	ˈiː_r	0.5
ˈœu̯	ˈoːu̯	0.5
ˈœu̯	ˈoː_l	0.5
ˈæː	ˈiː	0.5
ˈæː	-	0.5
ˈæ	ˈɛ	0.5
ˈæ	-	0.5
ˈəɪ̯	ˈi	0.467
ˈu	ˈoːu̯	0.467
ˈi	j_ˈoː	0.444
ˈɛ	ˈa	0.4
ˈu	ˈɛɪ̯	0.4
j	d	0.4
χ	ɣ	0.394
χ	x	0.364
ˈɑː	ˈɔː	0.333
ˈœ	ˈʊ	0.333
ˈəɪ̯	ˈiː	0.267
ˈɑː	ˈɛɪ̯	0.238
ˈə	ˈiː	0.227
ˈɔ	ˈɔ	0.222
ˈi	ˈɛɪ̯	0.222
ˈi	-	0.222
<#_d	<#	0.2
ˈɑː	-	0.19
ˈʊə̯	ˈuː	0.182
ˈa	ˈaː	0.179
ˈɔ	ˈuː	0.167
ŋ	x	0.154
χ	x_t	0.152
ə	-	0.148
ˈɑː	ˈoː	0.143
ˈa	ˈɔː	0.143
ˈa	ˈɔ	0.143
ˈa	ˈoːu̯	0.143
ˈʊə̯	ˈeː	0.136
ˈəɪ̯	ˈeː	0.133
ˈəɪ̯	-	0.133
ˈu	ˈuː	0.133
ˈɪə̯	ˈiː	0.125
ˈɪə̯	ˈi	0.125
ˈɔ	-	0.111
ˈi	ˈyː	0.111
ə	ɪ	0.111
ˈa	ˈoː	0.107
ˈa	ˈa	0.107
ˈa	-	0.107
ˈœɪ̯	ˈøː	0.1
s	s_k	0.098
ˈɑː	ˈoːu̯	0.095
ˈə	j_ˈʊ	0.091
ˈə	-	0.091
d	-	0.083
k	s	0.074
ˈa	ˈɛ	0.071
v̥	x	0.071
v̥	w	0.071
n	-	0.071
ɫ	ə_l	0.067
v	-	0.067
d̥	-	0.065
ˈɪə̯	ˈiːu̯	0.062
ˈɪə̯	ˈeːu̯	0.062
χ	ɣ_j	0.061
