Neapolitan	Ligurian	probability
ˈɛ_ɾ	ˈeː	1.0
ˈɛ_rː	ˈɛː_r	1.0
ˈɛ_lː	l	1.0
ˈɔ_v	v	1.0
ˈɔ_sː	s	1.0
ˈɔ_n	ŋ	1.0
ˈɔ_k	ɡ	1.0
ˈu_ɾ	ˈyː	1.0
ˈu_j	w	1.0
ˈo_ɾ	ˈuː	1.0
ˈi_ɾ	ˈiː	1.0
ˈi_ə	ˈiː_a	1.0
ˈi_kː	ˈe_k	1.0
ˈa_ɾ	ˈaː	1.0
ˈa_w	ˈaː	1.0
ˈa_t	w	1.0
ʧː	ʧ	1.0
ʧ	ʒ	1.0
ʦː_ə	u	1.0
ʦː	s	1.0
ʦ	s	1.0
ʤː	z	1.0
ʤ	z	1.0
ʎː	ʤ	1.0
ʃː_ə	s_a	1.0
ʃː	ʃ	1.0
ʃ_ˈi	s_ˈi	1.0
ɾ_ə	u	1.0
ɡ	ɡ	1.0
ə_ɾ	j	1.0
ə_n	e	1.0
ə_l	j	1.0
ŋ_k	ŋ_k	1.0
ŋ	ŋ	1.0
z	z	1.0
w_ˈɔ	ˈɔ	1.0
tː	t	1.0
t_j	t_ˈe	1.0
s	s	1.0
r	r	1.0
p_w	p	1.0
o	u	1.0
n_ə	ŋ	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l_ˈi	l_ˈe	1.0
kː_j	ʤ	1.0
kː	k	1.0
k_w	k	1.0
k_j	ʧ	1.0
j	-	1.0
fː	f	1.0
f	f	1.0
e	e	1.0
dː	j_d	1.0
d	d	1.0
bː	b	1.0
b	b	1.0
a_w	ɔː	1.0
a_t	ɥ	1.0
a_j	a_ʤ	1.0
a	a	0.848
v	v	0.826
p	p	0.813
k	k	0.813
sː	-	0.766
ˈo	ˈu	0.751
t	t	0.75
nː	n	0.726
ˈa	ˈa	0.683
l	-	0.657
u	u	0.652
n	ŋ	0.64
ɾ	r	0.625
ɲː	ɲ	0.62
ˈe	ˈe	0.619
ʃ	s	0.615
j_ˈɛ	ˈeː	0.61
ˈi	ˈi	0.537
i	i	0.533
ˈɔ	ˈɔː	0.473
ˈɛ	ˈe	0.418
ə	u	0.391
j_ˈɛ	ˈe	0.39
ʃ	ʒ	0.385
ɲː	ŋ_ʤ	0.38
n	n	0.36
l	l	0.343
ˈɛ	ˈɛː	0.337
i	e	0.327
ˈu	ˈy	0.323
w	ˈøː	0.314
w	w	0.312
ˈu	ˈu	0.309
ə	a	0.284
u	w	0.277
nː	ŋ_d	0.274
ə	e	0.265
t	-	0.25
ˈɛ	ˈɛ	0.244
ˈe	ˈeː	0.235
ɾ	-	0.235
ˈa	ˈaː	0.234
sː	sː	0.234
ˈi	ˈe	0.222
ˈɔ	ˈø	0.201
k	ɡ	0.187
ˈu	ˈuː	0.165
w	-	0.165
a	-	0.152
ˈo	ˈuː	0.15
p	v	0.15
ˈe	-	0.146
i	-	0.14
ˈɔ	ˈu	0.133
ˈu	ˈyː	0.133
ˈi	-	0.126
ˈi	ˈiː	0.115
w	ˈu	0.109
ˈɔ	ˈɔ	0.106
ˈo	-	0.099
w	ˈɔ	0.099
v	b	0.096
ˈɔ	ˈøː	0.087
ˈa	ˈɛː	0.083
v	j_v	0.078
u	y	0.07
ˈu	-	0.069
ɾ	j	0.064
ɾ	d	0.06
