Saterland Frisian	Eastphalian	probability
a	n	0.284
a	ˈɛɪ̯	0.284
b	b	0.939
b	-	0.061
d	d	0.652
d	t	0.206
d	-	0.123
d	p	0.031
f	f	1.0
h	h	0.97
h	k	0.043
j	-	0.466
j	j	0.436
j	ˈeː	0.077
j_ə	n	1.0
j_ˈoː	ˈɛɪ̯	1.0
j_ˈʊ	ˈɪ	1.0
k	k	0.888
k	-	0.106
l	l	0.967
l	-	0.033
m	m	1.0
n	n	0.882
n	-	0.065
p	p	0.837
p	b	0.154
r	ɐ	0.489
r	r	0.443
r	-	0.038
r	d_ɐ	0.035
r_j	r	0.245
s	s	0.636
s	z	0.32
s	k	0.046
s_k	ʃ	1.0
t	t	0.765
t	d	0.144
t	-	0.086
v	v	0.837
v	-	0.077
v	w	0.077
w	-	0.223
w	w	0.223
w	v	0.127
x	x	0.379
x	ç	0.36
x	ɣ	0.148
x	f	0.093
z	z	1.0
ŋ	ŋ	1.0
ə	-	0.425
ə	ə	0.36
ə	n	0.18
ɡ	ɣ	1.0
ɣ	ɣ	0.572
ɣ	-	0.147
ɣ	ɡ	0.072
ɣ	j	0.072
ɣ	v	0.072
ɪ	ɪ	0.561
ɪ	-	0.425
ɫ	l	0.245
ˈa	ˈa	0.488
ˈa	ˈœ	0.322
ˈa	ˈɛ	0.113
ˈaː	ˈa	0.742
ˈaː	ˈɛɪ̯	0.135
ˈaːi̯	ˈɛ	0.361
ˈaːi̯	j	0.361
ˈaːi̯	ˈa	0.206
ˈaːu̯	ˈɛɪ̯	0.431
ˈaːu̯	ˈɔ	0.106
ˈeː	ˈɛɪ̯	0.386
ˈeː	ˈøː	0.128
ˈeː	ˈeː	0.127
ˈeː	ˈɔʏ̯	0.078
ˈeː	ˈɛ	0.078
ˈeːu̯	ˈeː	0.495
ˈi	ˈiː	0.596
ˈi	ˈɛː	0.163
ˈi	ˈɛɪ̯	0.081
ˈi	ˈɛ	0.066
ˈi	-	0.064
ˈiː	ˈiː	0.276
ˈiː	ˈɪ	0.24
ˈiː	ˈa	0.11
ˈiː	ˈeː	0.077
ˈiː	ˈɛɪ̯	0.072
ˈoː	ˈeo̯	0.552
ˈoː	ˈɒː	0.095
ˈoː	ˈɛɪ̯	0.083
ˈoː	ˈɔ	0.072
ˈoː	ˈeː	0.055
ˈoːu̯	ˈaʊ̯	0.355
ˈoːu̯	ˈa	0.198
ˈoːu̯	ˈɔ	0.138
ˈoːu̯	ˈoː	0.12
ˈoːu̯	ˈɒː	0.069
ˈu	ˈuː	0.304
ˈu	ˈʊ	0.188
ˈu	ˈyː	0.173
ˈu	ˈaʊ̯	0.173
ˈuː	ˈuː	0.401
ˈuː	ˈyː	0.147
ˈuː	ˈoː	0.089
ˈuː	ˈʊ	0.084
ˈuː	ˈøː	0.073
ˈyː	ˈʏ	1.0
ˈɔ	ˈa	0.349
ˈɔ	ˈɔ	0.33
ˈɔ	ˈʊ	0.097
ˈɔ	ˈʏ	0.097
ˈɔ	ˈœ	0.073
ˈɔː	ˈɒː	0.348
ˈɔː	ˈa	0.175
ˈɔː	ˈɔ	0.171
ˈɔː	ˈɛ	0.127
ˈɔː	ˈɛː	0.127
ˈɔːɪ̯	ˈɛɪ̯	0.245
ˈɛ	ˈɛ	0.297
ˈɛ	ˈa	0.183
ˈɛ	ˈaː	0.183
ˈɛ	ˈɪ	0.183
ˈɛɪ̯	ˈɔʏ̯	0.273
ˈɛɪ̯	ˈɒː	0.264
ˈɛɪ̯	ˈɛɪ̯	0.18
ˈɛɪ̯	ˈiː	0.133
ˈɛɪ̯	ˈuː	0.07
ˈɛː	ˈʏ	0.348
ˈɛː	ˈa	0.303
ˈɛː	ˈɛə̯	0.119
ˈɛː	ˈaː	0.119
ˈɛː	ˈɛː	0.057
ˈɪ	ˈɪ	1.0
ˈʊ	ˈʊ	0.573
ˈʊ	ˈoː	0.116
ˈʊ	ˈɛ	0.111
ˈʊ	ˈɔ	0.084
ˈʊ	ˈɪ	0.084
