Saterland Frisian	Eastphalian	probability
a	ˈɛɪ̯	0.525
a	n	0.475
b	b	0.984
d	d	0.578
d	-	0.202
d	t	0.201
f	f	1.0
h	h	0.956
i	ɒː	1.0
j	-	0.503
j	j	0.363
j	ˈeː	0.059
k	k	0.918
k	-	0.082
l	l	0.991
m	m	0.986
n	n	0.945
p	p	0.887
p	b	0.113
r	ɐ	0.588
r	r	0.389
s	s	0.523
s	z	0.34
s	k	0.12
t	t	0.856
t	d	0.082
t	-	0.062
v	v	0.791
v	-	0.139
v	w	0.055
w	v	0.573
w	f	0.285
w	w	0.142
x	ç	0.406
x	x	0.365
x	ɣ	0.16
x	f	0.069
z	z	1.0
ŋ	ŋ	0.908
ŋ	-	0.092
ə	-	0.403
ə	n	0.311
ə	ə	0.261
ɡ	ɣ	1.0
ɣ	ɣ	0.576
ɣ	-	0.15
ɣ	j	0.102
ɣ	ɡ	0.089
ɣ	ŋ	0.058
ɪ	ɪ	0.699
ɪ	-	0.301
ɫ	l	1.0
ˈa	ˈɛ	0.342
ˈa	ˈa	0.301
ˈa	ˈʊ	0.229
ˈa	ˈœ	0.128
ˈaː	ˈa	0.741
ˈaː	ˈɛɪ̯	0.259
ˈaːi̯	ˈa	0.486
ˈaːi̯	j	0.382
ˈaːi̯	ˈɛ	0.131
ˈaːu̯	ˈɛɪ̯	0.904
ˈaːu̯	ˈɔ	0.096
ˈeː	ˈɛɪ̯	0.334
ˈeː	ˈøː	0.256
ˈeː	ˈɛ	0.184
ˈeː	ˈɔʏ̯	0.115
ˈeː	ˈeː	0.06
ˈeːu̯	ˈeː	1.0
ˈi	ˈiː	0.588
ˈi	ˈɛː	0.203
ˈi	-	0.073
ˈiː	ˈɪ	0.322
ˈiː	ˈɒː	0.223
ˈiː	ˈeː	0.13
ˈiː	ˈiː	0.118
ˈiː	ˈa	0.101
ˈiː	ˈɛɪ̯	0.071
ˈoː	ˈeo̯	0.409
ˈoː	ˈɒː	0.148
ˈoː	-	0.093
ˈoː	ˈoː	0.086
ˈoː	ˈa	0.064
ˈoː	ˈɔ	0.06
ˈoː	ˈaː	0.051
ˈoːu̯	ˈa	0.328
ˈoːu̯	ˈaʊ̯	0.282
ˈoːu̯	ˈɒː	0.128
ˈoːu̯	ˈoː	0.096
ˈoːu̯	ˈɔ	0.081
ˈu	ˈyː	0.367
ˈu	ˈaʊ̯	0.328
ˈu	ˈʊ	0.194
ˈu	ˈuː	0.111
ˈuː	ˈuː	0.272
ˈuː	ˈoː	0.206
ˈuː	-	0.171
ˈuː	ˈʊ	0.087
ˈuː	ˈa	0.084
ˈuː	ˈaʊ̯	0.068
ˈuː	ˈɔ	0.062
ˈyː	ˈʏ	1.0
ˈɔ	ˈa	0.451
ˈɔ	ˈʏ	0.224
ˈɔ	ˈʊ	0.134
ˈɔ	ˈɔ	0.128
ˈɔ	ˈœ	0.063
ˈɔː	ˈɒː	0.255
ˈɔː	ˈa	0.231
ˈɔː	ˈɔ	0.139
ˈɔː	ˈɛː	0.13
ˈɔː	ˈɪ	0.108
ˈɔː	ˈoː	0.09
ˈɔːɪ̯	ˈɛɪ̯	1.0
ˈɛ	ˈʏ	0.278
ˈɛ	ˈɛ	0.24
ˈɛ	ˈɪ	0.165
ˈɛ	ˈa	0.158
ˈɛ	ˈaː	0.158
ˈɛɪ̯	ˈɔʏ̯	0.58
ˈɛɪ̯	ˈɒː	0.171
ˈɛɪ̯	ˈɛɪ̯	0.113
ˈɛɪ̯	ˈuː	0.067
ˈɛɪ̯	ˈiː	0.05
ˈɛː	ˈʏ	0.298
ˈɛː	ˈa	0.287
ˈɛː	ˈɛː	0.203
ˈɛː	ˈaː	0.126
ˈɛː	ˈɛə̯	0.086
ˈɪ	ˈɪ	1.0
ˈʊ	ˈʊ	0.678
ˈʊ	ˈɒː	0.083
ˈʊ	ˈɛ	0.066
ˈʊ	ˈoː	0.061
