Western Lombard	Catalan	probability
ĩ	i	1.0
m	m	1.0
p	p	1.0
u	u	1.0
w	w	1.0
y	u	1.0
ˈã	ˈa	1.0
ˈi	ˈi	1.0
ˈiː	ˈi	1.0
ˈĩ	ˈi	1.0
ˈoː	ˈɔ	1.0
ˈy	ˈu	1.0
ˈỹ	ˈu	1.0
ˈœ	ˈu	1.0
ˈɑː	ˈa	1.0
e	w	0.121
s	ʃ	0.091
ɡ	ɡ	0.471
ˈøː	ˈɔ	0.751
d	d	0.522
j	j	0.092
t	t	0.662
ʤ	-	0.582
ʧ	t	0.092
ˈe	ˈɛ	0.802
ˈeː	ˈe	0.272
ˈu	ˈɛ	0.062
ˈuː	ˈɔ	0.752
ˈyː	ˈo	0.112
d	-	0.083
e	ə	0.723
i	-	0.253
j	i	0.063
j	l	0.533
l	ʎ	0.593
v	β	0.3
ɲ	ɲ_ə	0.103
ʒ	-	0.283
ʧ	-	0.083
ˈẽ	ˈe	0.483
ˈøː	ˈu	0.103
ˈɛ	ˈe	0.353
f	w	0.244
i	ə	0.294
i	i	0.454
j	-	0.154
k	k	0.954
v	b	0.634
z	s	0.074
ˈũ	ˈɔ	0.404
ˈɔ	ˈa	0.054
a	-	0.055
a	ə	0.945
ˈa	ˈe	0.065
ˈa	ˈa	0.935
ˈɛ	ˈi	0.065
b	b	0.936
e	-	0.156
f	f	0.756
s	ə_s	0.136
s	s	0.586
v	-	0.066
z	-	0.926
ʧ	s	0.606
d	ʤ	0.107
j	ʎ	0.157
t	n	0.227
ɲ	ɲ	0.897
ʒ	ʒ	0.717
ˈẽ	ˈɛ	0.517
ˈũ	ˈo	0.407
ˈøː	ˈi	0.147
ˈɛ	ˈɛ	0.537
d	ð	0.288
n	n	0.908
r	ɾ	0.328
r	r	0.58
s	-	0.128
ʤ	ʒ	0.418
ˈe	ˈe	0.198
ˈeː	ˈɛ	0.728
ˈuː	ˈo	0.248
ˈyː	ˈu	0.888
ˈɔ	ˈɔ	0.898
l	l	0.399
n	-	0.059
ɡ	ɣ	0.519
ʧ	ʎ	0.219
ˈu	ˈɔ	0.429
ˈu	ˈo	0.509
ˈũ	ˈu	0.189
