North Frisian	Swedish	probability
ˈʏ	ˈʏ	1.0
ˈɛi̯_p	ˈoː	1.0
ˈɛ	ˈøː	1.0
ˈɔː_x	ˈɔ_tː	1.0
ˈɔu̯	ˈoː	1.0
ˈœi̯_f	ˈuː	1.0
ˈøː	ˈʉː	1.0
ˈyː_s	sː	1.0
ˈyː_dʲ	ˈøː_d	1.0
ˈuː_l	ˈa_l	1.0
ˈiː_nʲ_#>	ˈeː_n_#>	1.0
ˈaː	ˈeː	1.0
ˈai̯	ˈɪ	1.0
ʃ_#>	s_k_#>	1.0
ə_v	v	1.0
ə_r	r_a	1.0
ŋ_ə	ŋː_ɛ	1.0
ŋ	ŋː	1.0
x_t_#>	tː_#>	1.0
x	k	1.0
w	a	1.0
v_<#	<#	1.0
tʲ_#>	t_#>	1.0
s	s	1.0
r_n	ɳ	1.0
r_d_#>	ɖ_#>	1.0
r_#>	r_#>	1.0
p_#>	p_#>	1.0
nʲ	n_d	1.0
m_#>	m_#>	1.0
m	mː	1.0
l_i	l_ɪ	1.0
j_ˈa	ˈɑː	1.0
i_ŋ_#>	ŋ_#>	1.0
h	-	1.0
f_#>	v_#>	1.0
dʲ_#>	d_#>	1.0
dʲ	d	1.0
d_#>	d_#>	1.0
<#_ˈʊ	<#_ˈɵ	1.0
<#_ˈeː	<#_ˈa	1.0
<#_ʃ	<#_ɧ	1.0
<#_ɡ	<#_ɡ	1.0
<#_v	<#_v	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_r	1.0
<#_p	<#_pʰ	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_h	<#_h	1.0
<#_f	<#_f	1.0
<#_b	<#_b	1.0
<#_s	<#_s	0.871
<#_d	<#_d	0.857
l	l	0.783
s_#>	s_#>	0.778
k_#>	k_#>	0.778
ə_#>	a_#>	0.739
ˈɒ	ˈa	0.714
d	-	0.714
r	r	0.71
l_#>	l_#>	0.7
v	v	0.692
ˈɒː	ˈɑː	0.667
ˈeː	ˈɛ	0.667
p	p	0.667
<#_j	<#_j	0.667
ə	ɛ	0.652
ˈɔ	ˈɔ	0.6
ˈyː	ˈʉː	0.6
ˈuː	ˈøː	0.571
ˈɔː	ˈʉː	0.556
k	kː	0.556
ˈɛː	ˈɛː	0.5
ˈɛː	ˈoː	0.5
ˈœ	ˈuː	0.5
ˈœ	ˈa	0.5
ʃ	s_k	0.5
ʃ	k	0.5
ŋ_#>	ŋː_#>	0.5
ŋ_#>	ŋ_#>	0.5
z	t	0.5
z	s	0.5
tʲ	tː	0.5
tʲ	-	0.5
t_#>	t_#>	0.5
lʲ	l_d	0.5
lʲ	l	0.5
n_#>	n_#>	0.476
ˈi	ˈiː	0.467
#>	ɡ_#>	0.467
ˈa	ˈɛ	0.455
t	t	0.455
k	k	0.444
ˈuː	ˈoː	0.429
j	ɡ	0.429
n	n_d	0.412
n	n	0.412
ˈʊ	ˈɵ	0.4
ˈɔ	ˈuː	0.4
n_#>	#>	0.381
ˈa	ˈɪ	0.364
ˈɒː	-	0.333
ˈeː	-	0.333
p	pː	0.333
<#_j	<#	0.333
<#	<#_j	0.318
t_#>	#>	0.312
ˈiː	ˈʉː	0.31
v	-	0.308
ˈʊ	ˈʊ	0.3
ˈʊ	-	0.3
l_#>	lː_#>	0.3
ˈɒ	ˈɑː	0.286
j	j	0.286
j	-	0.286
d	d	0.286
t	tː	0.273
t	-	0.273
ˈi	ˈɪ	0.267
#>	ɛ_#>	0.267
#>	n_#>	0.267
ˈɔː	ˈa	0.222
ˈɔː	j	0.222
s_#>	d_#>	0.222
k_#>	ɡ_#>	0.222
ˈyː	ˈɵ	0.2
ˈyː	-	0.2
ə_#>	#>	0.196
t_#>	a_#>	0.188
ˈa	-	0.182
<#	<#_ɕ	0.182
n	nː	0.176
ə	a	0.174
ə	-	0.174
ˈiː	ˈeː	0.172
n_#>	nː_#>	0.143
<#_d	<#_j	0.143
ˈiː	ˈɛ	0.138
ˈiː	ˈøː	0.138
<#	<#_ˈɵ	0.136
<#	<#_ˈɛ	0.136
<#	<#_tʰ	0.136
ˈi	ˈeː	0.133
ˈi	-	0.133
l	ˈœ_l	0.13
r	-	0.129
<#_s	<#_ɧ	0.129
ˈiː	ˈiː	0.103
r	r_ˈœ	0.097
<#	<#_s	0.091
l	-	0.087
ˈiː	ˈɛː	0.069
ˈiː	ˈyː	0.069
ə_#>	ɛ_#>	0.065
r	r_ˈʏ	0.065
