East Low German	Westphalian	probability
#>	#>	0.867
#>	ə_#>	0.091
<#	<#	1.0
b	b	0.952
b	v	0.051
d	d	0.965
f	f	0.982
h	h	0.971
j	x	0.746
j	j	0.179
k	k	1.0
k_#>	#>	1.0
kʰ	k	1.0
l	l	0.993
m	m	0.86
m	n	0.066
m	v_n	0.051
n	n	0.992
p	p	1.0
r	r	1.0
s	s	0.912
s	z	0.088
t	t	0.823
t	d	0.133
tʰ	t	1.0
v	w	0.819
v	v	0.176
w	w	0.491
x	x	0.881
x	ɣ	0.104
z	s	0.924
z	z	0.074
æ	ɐ	0.806
æ	-	0.16
æ_m	m	1.0
ç	ç	0.616
ç	-	0.106
ç	ɡ	0.106
ç	ɣ	0.106
ç	k	0.06
ŋ	ŋ	0.91
ŋ	ɡ	0.089
ɡ	x	0.777
ɡ	ɡ	0.208
ɣ	ɣ	0.491
ɪ	ɪ	1.0
ɾ	d	0.683
ɾ	-	0.127
ɾ	t	0.127
ʃ	ʃ	1.0
ˈa	ˈa	0.905
ˈa	ˈaː	0.054
ˈae̯	ˈaɪ̯	0.537
ˈae̯	ˈeː	0.408
ˈae̯	ˈiə̯	0.054
ˈaɪ̯	ˈaɪ̯	1.0
ˈaʊ̯	ˈaʊ̯	0.543
ˈaʊ̯	ˈoː	0.358
ˈaʊ̯	ˈɔ	0.056
ˈaː	ˈa_ɐ	0.308
ˈaː	ˈaː	0.216
ˈaː	ˈɪɛ̯	0.174
ˈaː	ˈɛː	0.098
ˈeː	ˈɪɛ̯	0.491
ˈiː	ˈiː	0.799
ˈiː	ˈɛː	0.115
ˈoː	ˈɔː	0.425
ˈoː	ˈuːə̯	0.37
ˈoː	ˈɛː	0.118
ˈuː	ˈuː	0.462
ˈuː	ˈɔː	0.166
ˈuː	ˈʊ	0.136
ˈuː	-	0.069
ˈuː	ˈaʊ̯	0.069
ˈuː	ˈœː	0.069
ˈyː	ˈyː	0.725
ˈyː	ˈœː	0.268
ˈøː	ˈyː	0.491
ˈœ	ˈiɛ̯	0.299
ˈœ	ˈɛ	0.26
ˈœ	ˈɔ	0.083
ˈœː	ˈyːœ̯	0.322
ˈœː	ˈuːə̯	0.182
ˈœː	ˈyə̯	0.182
ˈœː	ˈɪə̯	0.121
ˈɒː	ˈɔː	0.529
ˈɒː	ˈaː	0.164
ˈɒː	ˈuːə̯	0.08
ˈɒː	ˈɒː	0.08
ˈɒː	ˈuə̯	0.067
ˈɒː	ˈœː	0.065
ˈɔ	ˈɔ	0.535
ˈɔ	ˈuːə̯	0.217
ˈɔ	ˈa	0.107
ˈɔ	ˈʏ	0.101
ˈɔʏ̯	ˈøː	0.809
ˈɔʏ̯	ˈaɪ̯	0.187
ˈɛ	ˈɛ	0.646
ˈɛ	ˈɪɛ̯	0.245
ˈɛɪ̯	ˈaɪ̯	1.0
ˈɛː	ˈɪə̯	0.468
ˈɛː	ˈɪɛ̯	0.347
ˈɛː	ˈa	0.1
ˈɛː_ɾ	ˈɪɛ̯	0.491
ˈɪ	ˈɪ	0.924
ˈɪ	ˈɛ	0.07
ˈʊ	ˈʊ	0.893
ˈʊ	ˈuː	0.054
ˈʊ_n	ˈuː	0.241
ˈʏ	ˈʏ	0.66
ˈʏ	ˈø	0.322
