Bavarian	Elfdalian	probability
β	v	1.0
ˈɒ	ˈɑ	1.0
ˈiː	-	1.0
ˈi_ɐ	ˈɪ̃ː	1.0
ˈeː_ɐ	a	1.0
ˈeɐ̯	ˈyːœ̯	1.0
ˈaː	ˈœː	1.0
ʃ_d̥	s_t	1.0
ɡ̊_n	ʥː	1.0
ɡ̊_a	ɡː	1.0
ə	ɛ	1.0
ɐ_ʦ	r_t	1.0
ɐ_n	nː	1.0
ɐ_d̥	r_d	1.0
ŋ_ɡ̊	kː	1.0
ç	-	1.0
x_d̥	tː	1.0
sː	-	1.0
s_n	t_ɑ	1.0
r	r	1.0
n_s	sː	1.0
l_ˈɒː	l̥	1.0
kʰ	kʰ	1.0
j_f	ɽ_v	1.0
h	j	1.0
fː	p	1.0
eː	ɔ̃	1.0
d̥_n	ð_ɑ	1.0
b̥͡v̥	pʰ	1.0
f	f	0.851
b̥	b	0.844
l	ɽ	0.812
ʋ	w	0.809
ˈau̯	ˈɑːu̯	0.8
ˈuɐ̯	ˈʉːə̯	0.788
m	m	0.788
ɐ	r	0.728
ˈɑː	-	0.719
a	ɑ	0.697
ˈɒː	ˈɑː	0.689
ˈeː	-	0.682
ˈiɐ̯	j_ˈʉːə̯	0.662
ˈɑ	-	0.648
ˈoɐ̯	ˈiːe̯	0.642
ˈa	-	0.639
ŋ	ŋ	0.63
ˈoː	-	0.613
ˈi	ˈɪ	0.599
n	n	0.534
ʦ	tʰ	0.53
s	s	0.523
x	-	0.515
ˈou̯	ˈœː	0.5
ˈou̯	ˈoː	0.5
x	k	0.485
ˈu	-	0.481
s	t	0.477
ˈu	ˈʉ	0.423
d̥	d	0.42
ˈai̯	ˈɑːi̯	0.404
ɡ̊	-	0.399
ˈoː	ˈɔː	0.387
ʃ	s	0.387
ˈa	ˈœː	0.361
ˈɑ	ˈɑː	0.352
ʃ	s_ʨ	0.348
ˈe	ˈɛ	0.321
ˈe	-	0.32
ˈeː	j	0.318
ˈɒː	-	0.311
ˈai̯	ˈɪː	0.294
ɡ̊	ɣ	0.285
n	nː	0.283
ˈɑː	ˈɑː	0.281
d̥	ð	0.279
ʃ	s_k	0.265
ˈo	ˈʉ	0.264
j	lː	0.261
ʦ	tː	0.259
ˈo	-	0.249
ŋ	ɣ_ɑ	0.243
j	-	0.238
j	ˈɔː	0.223
ˈoɐ̯	ˈɛ	0.215
ˈuɐ̯	ˈyːœ̯	0.212
ʦ	t	0.211
ɐ	ɛ	0.211
ˈe	j	0.206
ˈiɐ̯	ˈʉːə̯	0.203
ˈau̯	-	0.2
ˈi	-	0.197
ʋ	-	0.191
l	-	0.188
ˈo	ˈɑ	0.184
ɡ̊	ʥ	0.172
ˈo	ˈo	0.166
b̥	v	0.156
ˈe	ˈæ	0.153
ˈai̯	-	0.153
j	l	0.15
ˈai̯	ˈʏː	0.149
f	v	0.149
ɡ̊	ɣ_ɛ	0.144
d̥	tʰ	0.144
ˈoɐ̯	-	0.143
ˈo	ˈʉə̯	0.137
ˈiɐ̯	-	0.135
ŋ	ɑ	0.128
m	mː	0.128
j	ɽ	0.128
ˈi	ˈɪː	0.116
a	ʉ	0.101
a	ɡ_ɑ	0.101
a	ɔ	0.101
ˈu	ˈʏ	0.096
ˈi	ˈɛ	0.089
m	v_ɔ	0.084
n	ɑ	0.082
n	-	0.056
