Nynorsk Norwegian	Nynorsk Norwegian	probability
ˈʉː_#>	#>	1.0
ˈʉ_n	ˈu_n	1.0
ˈɪ	ˈi	1.0
ˈøː_#>	ˈeː_#>	1.0
ˈæː	ˈe	1.0
ˈæɪ̯	ˈoɐ̯	1.0
ˈæ	ˈe	1.0
ʰkː	ŋ_ɡ̊	1.0
ʋ_ɑ	m	1.0
ʋ_e	β	1.0
ʋ_#>	b̥_#>	1.0
ʉ	b̥_d̥	1.0
ɾ_n	ɐ_n	1.0
ɾ_#>	#>	1.0
ɲ	ŋ	1.0
ɡ_ɑ	ŋ	1.0
ɡ	ɡ̊	1.0
ɛ	-	1.0
ɑ_#>	#>	1.0
ŋː	ŋ	1.0
ŋ	i	1.0
çː	-	1.0
v	ʋ	1.0
tː	ʦ	1.0
tʰ	ʦ	1.0
t_ɑ	s_n	1.0
t_#>	#>	1.0
t	s	1.0
sː	n_s	1.0
s_ˈɑ	s_ˈo	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
pʰ	b̥͡v̥	1.0
p_#>	f_#>	1.0
p	f	1.0
mː	ˈaː	1.0
m	m	1.0
l_#>	l_#>	1.0
kʰ_ʋ	ʋ	1.0
kʰ	kʰ	1.0
k_#>	#>	1.0
k	x	1.0
jː	ŋ	1.0
j_ɑ	ŋ	1.0
h	h	1.0
f	f	1.0
e_n	eɐ̯	1.0
d	d̥	1.0
b	b̥	1.0
<#_ˈæɪ̯	<#_ˈoɐ̯	1.0
<#_ɾ	<#_r	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_tʰ	<#_d̥	1.0
<#_n	<#_n	1.0
ˈiː	ˈai̯	0.769
ʂ	ʃ	0.75
ʋ	ʋ	0.688
ˈœ	-	0.667
ˈuː	ˈuɐ̯	0.667
ʰtː	x_d̥	0.667
ə	a	0.667
ɑ	a	0.667
lː	j	0.667
l	l	0.667
e	-	0.667
ɡ_#>	ɡ̊_#>	0.625
s	s	0.625
j	-	0.615
ˈʊ	ˈo	0.6
ˈɑː	ˈɒː	0.6
ç	-	0.6
ˈyː	ˈai̯	0.571
nː	n_d̥	0.571
ˈʉː	ˈau̯	0.562
ˈœʏ̯	ˈaː	0.5
ˈœʏ̯	-	0.5
ˈoː	-	0.5
ɡː	ɡ̊_a	0.5
ɡː	ɡ̊	0.5
<#	<#_ʋ	0.5
n	n	0.474
ˈʉ	ˈo	0.444
ˈæʉ̯	ˈou̯	0.444
ˈɛ	ˈe	0.429
ˈøː	ˈeː	0.429
ˈyː	ˈiɐ̯	0.429
nː	n	0.429
n	-	0.421
ˈʏ	ˈu	0.417
ˈʊ	-	0.4
ç	d̥	0.4
ɾ	r	0.378
ɡ_#>	#>	0.375
ˈeː	ˈeː	0.364
ˈeː	-	0.364
#>	s_#>	0.357
ˈʏ	ˈi	0.333
ˈʉ	ˈu	0.333
ˈɔ	ˈu	0.333
ˈɔ	ˈo	0.333
ˈɔ	-	0.333
ˈœ	ˈu	0.333
ˈæʉ̯	-	0.333
ʰtː	-	0.333
ə	-	0.333
ɑ	n	0.333
lː	j_d̥	0.333
l	j	0.333
e	a	0.333
ˈʉː	ˈiɐ̯	0.312
s	ʃ	0.312
ˈoː	ˈɒː	0.3
ˈɛ	-	0.286
ˈøː	ˈuɐ̯	0.286
ˈøː	ˈiɐ̯	0.286
ˈeː	ˈi	0.273
ɾ	ɐ	0.267
ˈɑ	ˈɑ	0.263
ˈɑ	ˈo	0.263
ˈʏ	-	0.25
ʂ	s	0.25
<#	<#_ˈe	0.25
<#	<#_j	0.25
ˈiː	ˈi	0.231
j	l	0.231
ˈʉ	-	0.222
ˈæʉ̯	ˈaː	0.222
#>	ɡ̊_#>	0.214
ˈɑ	ˈa	0.211
ˈɑː	ˈɑː	0.2
ˈɑː	ˈɑ	0.2
ˈoː	ˈɑ	0.2
ʋ	-	0.188
ɾ	a	0.178
ˈuː	ɐ_d̥	0.167
ˈuː	-	0.167
ˈɑ	ˈɑː	0.158
j	ɡ̊	0.154
ˈɛ	ˈe_ɡ̊	0.143
ˈɛ	ˈai̯	0.143
#>	ˈeː_#>	0.143
#>	m_#>	0.143
#>	b̥_#>	0.143
ˈʉː	-	0.125
ʋ	β	0.125
ˈɑ	-	0.105
n	d̥	0.105
ɾ	d̥_a	0.089
s	d̥	0.062
