Nynorsk Norwegian	Nynorsk Norwegian	probability
ˈɪ	ˈɪ	1.0
ˈɑ_ɾ	ˈaː	1.0
ˈœ	-	1.0
ˈæː	-	1.0
ˈæ	ˈaː	1.0
ˈoː_#>	n_#>	1.0
ˈeː_#>	ˈae̯_#>	1.0
ʰpː	p	1.0
ʰkː	ŋ_k	1.0
ʋ_ɑ	b_m	1.0
ʋ_#>	v̥_#>	1.0
ʉ	v̥_d̥	1.0
ɾ_#>	#>	1.0
ɲ	ˈɪ	1.0
ɡː	ç	1.0
ɡ_ɑ	ŋ	1.0
ɡ_#>	ç_#>	1.0
ɛ	-	1.0
ə_#>	#>	1.0
ə	-	1.0
ŋː	ŋ	1.0
çː	-	1.0
ç	-	1.0
v	v	1.0
tː	t	1.0
t	t	1.0
sː	s	1.0
s_k	ʃ	1.0
s_#>	z̥_#>	1.0
pʰ	pʰ	1.0
p	p	1.0
nː_#>	n_d̥_#>	1.0
nː	n	1.0
n_d	n	1.0
mː	m	1.0
m_ɑ	m	1.0
m	m	1.0
l	l	1.0
kʰ_ʋ	v	1.0
kʰ	kʰ	1.0
k	k	1.0
jː	-	1.0
h	h	1.0
f	f	1.0
b	b	1.0
<#_ɾ	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
e	-	0.966
ˈæɪ̯	ˈae̯	0.818
d	d	0.812
ʰtː	t	0.778
n	n	0.769
ɑ	n	0.759
ɡ	ɡ	0.733
ʋ	v	0.688
ˈɑ	ˈa	0.682
ˈʉ	ˈʊ	0.667
ˈiː	ˈiː	0.647
ʂ	ʃ	0.636
ˈeː	ˈɛː	0.625
tʰ	d	0.6
<#	<#_v	0.6
ˈøː	ˈɔʏ̯	0.556
s	z	0.545
ˈʏ	ˈʏ	0.538
ˈuː	ˈaʊ̯	0.533
ˈɑː	ˈa	0.5
ɾ	æ	0.5
lː	l_d̥	0.5
lː	l	0.5
ˈʉː	ˈuː	0.476
ˈoː	ˈɒː	0.467
ˈɛ	ˈɛ	0.462
ˈɔ	-	0.455
ˈøː	-	0.444
ˈæʉ̯	ˈaʊ̯	0.444
#>	d̥_#>	0.419
ˈʊ	ˈuː	0.4
ˈʊ	-	0.4
tʰ	tʰ	0.4
ˈeː	-	0.375
ʂ	z	0.364
ˈʉ	-	0.333
ˈæʉ̯	ˈaʊ̯_d̥	0.333
ˈyː	ˈyː	0.333
ˈyː	ˈae̯	0.333
ˈyː	-	0.333
ˈuː	-	0.333
j	ˈɛ	0.333
ˈʏ	-	0.308
ɾ	r	0.304
s	ʃ	0.303
ˈɑː	ˈaː	0.3
ˈiː	ˈɪ	0.235
ˈɛ	ˈɪ	0.231
ˈæʉ̯	ˈoː	0.222
ʰtː	-	0.222
ˈʊ	ˈøː	0.2
ˈɑː	ˈɒː	0.2
<#	<#_ˈa	0.2
<#	<#_j	0.2
ˈʉː	-	0.19
ʋ	w	0.188
d	-	0.188
ˈɔ	ˈœː	0.182
ˈɔ	ˈuː	0.182
ˈɔ	ˈa	0.182
ˈɑ	-	0.182
ˈæɪ̯	ˈɪ	0.182
ɑ	-	0.172
j	l	0.167
j	j	0.167
j	h	0.167
j	-	0.167
#>	ç_#>	0.161
ˈʏ	ˈɔ	0.154
ˈɛ	ˈʏ	0.154
ˈɛ	-	0.154
s	s	0.152
ˈʉː	ˈae̯	0.143
ˈɑ	ˈɒː	0.136
ˈuː	ˈaʊ̯_ɾ	0.133
ˈoː	ˈɒː_n	0.133
ˈoː	ˈoː	0.133
ˈoː	ˈaʊ̯	0.133
ˈoː	-	0.133
ɡ	ɣ̊	0.133
ɡ	x	0.133
#>	t_#>	0.129
ʋ	m	0.125
ˈiː	ˈae̯	0.118
n	æ	0.115
n	-	0.115
#>	n_#>	0.097
ˈʉː	ˈœː	0.095
ˈʉː	d_ˈae̯	0.095
ɾ	-	0.089
ɾ	ɾ_æ	0.071
ɑ	ŋ	0.069
#>	ˈae̯_#>	0.065
#>	v̥_#>	0.065
#>	d_n_#>	0.065
