Friulian	Friulian	probability
ˈuː	ˈo	1.0
ˈaː	ˈa	1.0
ˈa_w	ˈau̯	1.0
ˈa_l	ˈa_l	1.0
ʧ_e	ʦ_ə	1.0
ʧ_#>	#>	1.0
ɟ	ŋ_k	1.0
ŋ_#>	n_#>	1.0
z_v	z_b	1.0
w_ˈɛ	o̯ˈa	1.0
w_ˈi	ˈu	1.0
w_ˈa	o̯ˈa	1.0
w_#>	w_#>	1.0
w	-	1.0
t_s	ʦʲ	1.0
r_i	r_u	1.0
p	p	1.0
n_s	nʲ	1.0
m	m	1.0
l_ˈe	l_ˈi	1.0
l_i	kʲ	1.0
l_a	e	1.0
l_#>	r_#>	1.0
k_#>	#>	1.0
f_#>	p_#>	1.0
e_#>	#>	1.0
c	k	1.0
b	b	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_ʧ	1.0
<#_v_ˈɔ	<#_ˈo	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
r	r	0.913
k	k	0.905
n	n	0.889
f	f	0.87
ˈu	ˈu	0.846
t_#>	t_#>	0.8
e	ə	0.788
ˈi	ˈi	0.76
ʤ	ʤ	0.75
ɲ	n	0.75
v	v	0.706
ˈiː	ˈi	0.7
o	u	0.7
i	e	0.68
j	j	0.667
s	s	0.66
ɡ	ɡ	0.6
u	u	0.6
ˈeː	ˈe	0.571
ˈe	ˈe	0.571
l	l	0.542
t	t	0.528
ˈo	ˈu	0.52
d	d	0.516
ˈɛ	ˈe	0.5
ˈa	ˈa	0.5
z	ʦ	0.5
z	ʃ	0.5
j_ˈɛ	ˈe	0.5
j_ˈɛ	ˈa	0.5
a	-	0.462
#>	e_#>	0.433
ˈeː	-	0.429
ˈa	ˈɨ	0.429
u	o	0.4
ŋ	n	0.357
#>	r_e_#>	0.343
ˈɔ	ˈo	0.333
ˈɔ	o̯ˈa	0.333
ˈɔ	-	0.333
ˈoː	ˈu	0.333
ˈoː	ˈo_j	0.333
ˈoː	o̯ˈa	0.333
ʧ	ʧ	0.333
ʧ	ʦ	0.333
ʧ	-	0.333
ˈo	-	0.32
ˈiː	ˈe	0.3
o	-	0.3
v	-	0.294
l	r	0.292
d	t	0.29
ŋ	n_e	0.286
ʤ	ʒ	0.25
ɲ	-	0.25
a	ə	0.231
t	p_t	0.222
j	-	0.222
ˈe	e̯ˈa	0.214
ˈe	-	0.214
ŋ	-	0.214
ɡ	k	0.2
ɡ	-	0.2
t_#>	d_#>	0.2
i	-	0.2
d	z	0.194
s	ʃ	0.17
ˈo	ˈo	0.16
ˈu	ˈo	0.154
a	e	0.154
a	a	0.154
ŋ	j_n	0.143
ˈɛ	ˈa	0.136
ˈɛ	e̯ˈa	0.136
ˈɛ	-	0.136
e	e	0.135
f	w	0.13
i	i	0.12
n	-	0.111
j	ʒ	0.111
#>	ə_#>	0.104
k	-	0.095
ˈɛ	ˈi	0.091
s	ʧ_e	0.085
t	-	0.083
l	e	0.083
l	-	0.083
ˈi	ˈɨ	0.08
ˈi	ˈu	0.08
ˈi	-	0.08
e	a	0.077
ˈa	ˈo	0.071
#>	w_#>	0.06
t	ʦ	0.056
t	r	0.056
t	d	0.056
