Bulgarian	Štokavian	probability
b	b	1.0
d	d	1.0
f	-	1.0
j	t	1.0
m	m	1.0
mʲ	m	1.0
s	s	1.0
v	ʋ	1.0
vʲ	-	1.0
x	x	1.0
z	z	1.0
ʃ	ʒ	1.0
ʒ	ʒ	1.0
ʧ	ʧ	1.0
ˈu	ûː	1.0
lʲ	l	0.611
t	d	0.1
ˈi	i	0.321
ˈi	î	0.521
ˈɔ	ôː	0.31
p	p	0.782
ɛ	eː	0.162
ˈa	â	0.172
ˈa	j_êː	0.182
ˈɛ	j_ê	0.072
ˈɛ	j_e	0.152
ˈɛ	êː	0.202
l	-	0.103
o	ǒ	0.303
ɐ	a	0.733
i	ǐː	0.124
ɐ	-	0.184
ɫ	o	0.154
ʦ	ʦ	0.954
ˈa	a	0.404
ˈɤ	û	0.094
ˈɤ	â	0.134
k	ɡ	0.115
k	k	0.885
r	r̩̂	0.085
r	r	0.855
ɛ	a	0.205
ˈɔ	ô	0.385
ˈɛ	ê	0.185
ˈɤ	i_#>	0.065
ˈɤ	iː_#>	0.065
ˈɤ	ʋ_#>	0.065
i	i	0.876
ɫ	l	0.846
l	l	0.897
n	n	0.987
o	ô	0.217
ɛ	-	0.147
ɛ	ě	0.317
ˈɔ	o	0.267
ˈɤ	ûː	0.577
p	b	0.218
ˈa	j_ê	0.078
ˈi	îː	0.158
lʲ	ʎ	0.389
o	o	0.479
t	t	0.9
ɛ	e	0.169
ɡ	ɡ	0.959
ˈa	âː	0.119
ˈɛ	ěː	0.059
ˈɛ	e	0.329
