Romagnol	Romagnol	probability
θ	θ	1.0
ˈʌ̃	ˈa	1.0
ˈɛ̃	ˈe	1.0
ˈɛə̯	ˈɛ	1.0
ˈɛ_#>	ˈi_#>	1.0
ˈõũ̯	ˈo_ŋ	1.0
ˈi_#>	ˈi_r_#>	1.0
ˈeə̯	ˈa	1.0
ˈe	ˈe	1.0
ˈaː	ˈa	1.0
ˈa_t	ˈa_t	1.0
ˈa	ˈa	1.0
ʧ	ʧ	1.0
ʤ	ʤ	1.0
ɲ	ɲ	1.0
ɡ_#>	ɡ_o_#>	1.0
ɡ	ɡ	1.0
ɐ_#>	#>	1.0
ŋ	ŋ	1.0
u_r	o_r	1.0
u	o	1.0
t	t	1.0
s	s	1.0
r_ɐ	r	1.0
r_t	r_t	1.0
p	p	1.0
o	o	1.0
l_ɐ	a	1.0
l	l	1.0
k	k	1.0
j̃	ŋ	1.0
f	f	1.0
d_#>	t_#>	1.0
<#_ˈʌ̃	<#_ˈa	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ʤ	<#_j	1.0
<#_ɐ	<#_a	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
b	b	0.895
ɐ	a	0.881
m	m	0.875
ˈou̯	ˈo	0.857
r	r	0.846
ˈo	ˈo	0.833
d	d	0.833
ð	ð	0.818
ɐ_r	e_r	0.778
j	j	0.769
ˈɔ	ˈɔ	0.75
v	v	0.722
ˈɔə̯	ˈɔ	0.692
ˈɛ	ˈe	0.667
ˈu	ˈo	0.625
ˈẽ	ˈi	0.6
i	i	0.6
z	s	0.556
n	n	0.556
ˈeː	ˈe	0.538
ˈi	ˈi	0.533
a	a	0.5
a	-	0.5
z	z	0.444
#>	o_#>	0.436
ˈẽ	ˈe	0.4
i	e	0.4
n	ŋ	0.389
ˈu	ˈu	0.375
#>	r_#>	0.333
ˈɔə̯	ˈo	0.308
ˈeː	-	0.308
ˈi	ˈe	0.267
ˈɔ	-	0.25
ˈɛ	ˈɛ	0.238
j	-	0.231
ɐ_r	r_o	0.222
ˈi	j_ˈe	0.2
ð	-	0.182
#>	ŋ_#>	0.179
ˈo	ˈu	0.167
v	w	0.167
d	-	0.167
ˈeː	j_ˈe	0.154
ˈou̯	ˈu	0.143
m	ŋ	0.125
v	-	0.111
b	-	0.105
ˈɛ	ˈa	0.095
r	r_o	0.077
r	e_r	0.077
ɐ	e	0.075
n	e_n	0.056
#>	a_#>	0.051
