West Frisian	Alsatian	probability
ˈɪə̯_r	ʁ	1.0
ˈɛi̯	-	1.0
ˈɛ_j	ˈei̯	1.0
ˈɔu̯	ˈiː	1.0
ˈøə̯	ˈi	1.0
ˈyː	ˈu	1.0
ˈy	ˈu	1.0
ˈu̯o	ˈiː	1.0
ˈuː_z	ˈøi̯	1.0
ˈuə̯_r	ʁ	1.0
ˈuə̯	ˈʊː	1.0
ˈoː	ˈʊː	1.0
ˈeː	-	1.0
ˈai̯	ˈɒ_x	1.0
ʋ	ʋ	1.0
ɣ	-	1.0
ɡ	ɡ̊	1.0
ə_χ	i	1.0
ɕ	s	1.0
ŋ	ŋ	1.0
t_ə	s_ə	1.0
s_t	ʃ_t	1.0
s_k	ʃ	1.0
n_ə	n	1.0
m	m	1.0
j_ˈɪ	ˈiː	1.0
j_ˈɔ	ˈiː	1.0
j_ɪ	eː	1.0
j_ə	ə	1.0
f	f	1.0
b	b̥	1.0
l	l	0.942
n	n	0.9
h	h	0.9
r	ʁ	0.885
p	f	0.885
ˈu	ˈu	0.877
ˈa	ˈɒ	0.811
d̥	t	0.787
ə	ə	0.775
ˈɔː	ˈɒ	0.74
ˈaː	-	0.688
ʦ	-	0.677
j	-	0.657
k	k	0.636
ˈi	ˈi	0.601
ˈɛː	-	0.6
s	ʃ	0.557
d	t	0.502
d	d̥	0.498
ˈɔ	ˈu	0.482
t	ʦ	0.478
ˈɪ	ˈi	0.462
ˈiː	-	0.449
s	s	0.443
ˈɛ	-	0.438
ˈuː	ˈyː	0.406
ˈɛː	ˈu	0.4
ˈi	-	0.399
χ	x	0.392
ˈoə̯	ˈoː	0.375
v	ʋ	0.369
ˈɛ	ˈe	0.366
k	-	0.364
v	-	0.361
j	ˈiː	0.343
χ	-	0.342
t	s	0.331
ʦ	kʰ	0.323
ˈaː	ˈɒ	0.312
ˈuː	-	0.298
ˈuː	ˈu	0.296
ˈɪə̯	ˈʊː	0.287
ˈɔ	ˈo	0.272
v	w	0.27
χ	k	0.266
ˈiə̯	ˈoː	0.264
ˈɔː	ˈɒ_l	0.26
ˈiː	ˈi	0.26
ˈoə̯	ˈo_ʁ	0.25
ˈɪə̯	ˈeː	0.227
ˈoə̯	-	0.224
ˈiː	ˈiː	0.224
ˈɪ	ˈu	0.219
ˈiə̯	ˈəi̯	0.215
d̥	d̥	0.213
ˈɛ	ˈæ	0.196
ˈɪə̯	ˈoː	0.192
ˈa	ˈɒː	0.189
ˈɪ	ˈe	0.161
ə	-	0.16
ˈɪ	-	0.159
ˈiə̯	ˈiː	0.159
t	t	0.157
ˈiə̯	ˈeː	0.154
ˈoə̯	ˈu_ʁ	0.152
ˈɪə̯	ˈɒ	0.14
ˈɔ	ˈi	0.123
ˈɔ	-	0.123
ˈu	ˈø	0.123
p	p	0.115
ˈɪə̯	ˈɛ	0.11
ˈiə̯	ˈæː	0.11
h	-	0.1
ˈiə̯	-	0.099
ˈiː	e	0.067
ə	i	0.065
l	l_b̥	0.058
n	j	0.053
