Old Frisian	Swedish	probability
θ	tʰ	1.0
ʦ	ɕ	1.0
ʣ	jː	1.0
ɣ	ɡ	1.0
ɡː	ɡː	1.0
ɡ	-	1.0
ə_r	r	1.0
ŋ_ɡ	ŋː	1.0
ŋ_k	kː	1.0
ŋ	-	1.0
ð	-	1.0
z	-	1.0
x_t	tː	1.0
x	k	1.0
w_ˈe	v_ˈɛː	1.0
v	v	1.0
tː	tː	1.0
t_ə	t	1.0
s_ˈa	s_ˈa	1.0
s_w	s	1.0
s_k	ɧ	1.0
r_θ	rː	1.0
r_ˈeː	r	1.0
r_x	r_j	1.0
r_t	ʈː	1.0
r_s	ʂ	1.0
r_n	ɳ	1.0
r_d	ɖ	1.0
pː	pː	1.0
nː	nː	1.0
mː	mː	1.0
lː	lː	1.0
l	l	1.0
kː	kː	1.0
iː	ɔ	1.0
i	ŋ	1.0
h_w	v	1.0
f	f	1.0
e	-	1.0
dː	-	1.0
d_l	l	1.0
bː	-	1.0
b	b	1.0
a	a	1.0
d	d	0.916
h	h	0.894
r	r	0.876
k	k	0.862
ˈiː	ˈiː	0.857
w	v	0.839
s	s	0.799
m	m	0.756
n	n	0.733
ˈi̯uː	ˈyː	0.678
p	p	0.673
t	t	0.658
ˈuː	ˈʉː	0.652
ˈɔː	ˈa	0.625
ˈa	ˈa	0.619
ˈi	ˈɪ	0.618
j	-	0.591
ˈu	ˈɵ	0.567
ˈoː	ˈuː	0.567
ə	a	0.471
ˈɛː	ˈeː	0.425
ˈaː	ˈøː	0.401
ˈi̯aː	ˈʉː	0.391
ˈɔː	ˈoː	0.375
ˈeː	ˈoː	0.359
ˈaː	ˈoː	0.343
ˈi̯uː	ˈʏ	0.322
ˈe	ˈɛ	0.316
j	ɡ	0.309
ˈoː	-	0.308
ə	ɛ	0.284
ˈi̯aː	j_ˈʉː	0.276
ˈo	ˈɔ	0.26
ˈo	-	0.259
ˈaː	-	0.256
ˈo	ˈuː	0.252
ˈa	ˈɑː	0.244
m	mː	0.244
n	-	0.242
ˈeː	ˈøː	0.241
t	tː	0.234
ˈuː	ˈɵ	0.232
ˈi̯aː	-	0.221
ˈɛː	ˈøː	0.211
ˈe	-	0.207
ə	-	0.206
ˈɛː	ˈɛ	0.205
p	pː	0.187
ˈe	ˈɑː	0.185
ˈu	ˈʊ	0.183
s	ɧ	0.181
ˈeː	ˈɑː	0.162
ˈo	ˈœ	0.161
w	-	0.161
ˈɛː	ˈɛː	0.159
ˈu	ˈoː	0.156
ˈiː	-	0.143
p	pʰ	0.14
k	kː	0.138
ˈa	ˈɛ	0.137
ˈeː	ˈæː	0.135
ˈoː	ˈa	0.126
ˈuː	-	0.116
ˈi	ˈɛ	0.114
ˈi̯aː	ˈyː	0.112
ˈi	ˈiː	0.111
h	j	0.106
ˈeː	ˈœ	0.103
j	j	0.1
ˈu	-	0.094
t	-	0.092
d	-	0.084
ˈi	ˈeː	0.083
ˈi	ˈʏ	0.074
ˈo	ˈʉː	0.068
ˈe	ˈʏ	0.068
ˈe	ˈœ	0.062
ˈe	ˈɵ	0.06
ˈe	ˈæ	0.058
r	ɳ	0.055
