Emilian	Emilian	probability
ˈʌu̯_z	ˈɛ_w	1.0
ˈɛ_t	ˈi_t	1.0
ˈɛ_s	ˈe_s	1.0
ˈɛ_r_#>	#>	1.0
ˈɔː	ˈɔ	1.0
ˈɔ_s	ˈɔ_s	1.0
ˈi	ˈi	1.0
ˈa_ŋ	ˈa	1.0
ˈa_j	ˈɛ	1.0
ʤ	ɡ_l	1.0
ɲ	ɲ	1.0
ŋ_t_#>	n_#>	1.0
ŋ_k	ŋ	1.0
ŋ_#>	#>	1.0
z_#>	w_#>	1.0
w	w	1.0
u	u	1.0
t_m	mː	1.0
t_a	t_ə	1.0
r_t	r_t	1.0
r_e	r	1.0
r_#>	#>	1.0
p	p	1.0
n_#>	#>	1.0
m_#>	m_#>	1.0
m	m	1.0
l_ˈɛ	ʎ_ˈa	1.0
l_#>	l_#>	1.0
j_ˈɔː	ˈi	1.0
j_ˈa	l_ˈa	1.0
f	f	1.0
d_i	ʤ_ə	1.0
d_#>	t_#>	1.0
a	ə	1.0
<#_ˈɔː	<#_ˈɔ	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_l	<#_ʎ	1.0
<#_d	<#_d	1.0
<#	<#_ə	1.0
k	k	0.951
n	n	0.933
t	t	0.905
s	s	0.9
θ	s	0.882
ˈaː	ˈa	0.857
b	b	0.786
ˈʌu̯	ˈo	0.778
ʧ	ʎ	0.778
ɡ	ɣ	0.778
ˈe	ˈi	0.765
e_r	ɾ_ə	0.765
ˈiː	ˈi	0.75
e	ə	0.75
ð	ʒ	0.714
v_#>	w_#>	0.714
i	i	0.714
ˈæ	ˈe	0.667
ɡ_#>	k_#>	0.667
ˈo	ˈu	0.643
ˈuː	ˈu	0.636
ˈɛ	ˈa	0.617
v	b	0.607
r	ɾ	0.6
d	ð	0.571
l	ʎ	0.52
ˈʌ	ˈo	0.5
ˈɛː	ˈɛ	0.5
ˈɛː	ˈe	0.5
ˈɔ	ˈɔ	0.5
ˈɔ	ˈo	0.5
ŋ	n	0.5
l	l	0.48
ˈa	ˈɛ	0.476
r	r	0.4
ˈuː	ˈɔ	0.364
ˈæ	ˈɛ	0.333
ˈa	ˈa	0.333
ɡ_#>	#>	0.333
ŋ	ŋ	0.333
z	s_ə	0.333
z	s	0.333
z	-	0.333
#>	ə_#>	0.333
v	β	0.321
j	ʎ	0.308
j	l	0.308
ˈʌ	ˈɔ	0.3
ð	-	0.286
v_#>	#>	0.286
i	ə	0.286
#>	w_#>	0.267
#>	s_#>	0.267
ˈiː	ˈɛ	0.25
e	ˈi	0.25
e_r	ə	0.235
ˈʌu̯	ˈɔ	0.222
ʧ	k_l	0.222
ɡ	ɡ	0.222
ˈo	ˈo	0.214
b	-	0.214
ˈɛ	ˈe	0.213
ˈʌ	-	0.2
ˈa	ˈe	0.19
ŋ	-	0.167
j	ˈa	0.154
j	-	0.154
ˈo	ˈɔ	0.143
ˈaː	ˈe	0.143
d	ɾ	0.143
d	w	0.143
d	d	0.143
#>	t_#>	0.133
θ	-	0.118
ˈe	ˈe	0.118
ˈe	-	0.118
s	ʃ	0.1
t	j_t	0.095
ˈɛ	ˈɛ	0.085
j	ʎː	0.077
v	w	0.071
n	ɲ	0.067
