Slovenian	Lower Sorbian	probability
ʧ	ʦ	1.0
ʦ	ʦ	1.0
ʒ	ʐ	1.0
ʃ	ʂ	1.0
ɡ	ɡ	1.0
ə́	ˈa	1.0
ə̀	ˈa	1.0
ɔ	ɔ	1.0
z	z	1.0
úː	ˈu	1.0
t_i	ɕ	1.0
s_ə	s	1.0
s_#>	s_#>	1.0
s	s	1.0
o	ˈɛ	1.0
íː	ˈi	1.0
áː	ˈɔ	1.0
a	a	1.0
<#_t	<#_ɕ	1.0
<#_r	<#_r	1.0
<#_l	<#_l	1.0
#>	ɨ_#>	0.857
k	k	0.833
d	d	0.733
n	n	0.647
x	x	0.625
t	t	0.625
p	p	0.615
j	j	0.6
ìː	ˈi	0.6
èː	ˈɪ	0.6
b	b	0.6
ʋ	vʲ	0.579
ɔ̀ː	ˈɔ	0.571
m	m	0.571
àː	ˈa	0.571
ə	-	0.556
r	r	0.545
éː	ˈɪ	0.533
ɛ̀ː	ˈɪ	0.5
ɛ̀ː	ˈe	0.5
i	i	0.5
i	-	0.5
e	ˈɪ	0.5
e	ˈe	0.5
l	l	0.444
ɛ	ɔ	0.429
ɔ̀ː	ˈɛ	0.429
m	mʲ	0.429
àː	ˈɔ	0.429
ʋ	v	0.421
óː	ˈɔ	0.4
j	-	0.4
ìː	ˈɨ	0.4
b	bʲ	0.4
p	pʲ	0.385
x	k	0.375
n	ɲ	0.353
w	w_ɨ	0.333
w	w	0.333
w	l	0.333
óː	ɔ	0.333
r	rʲ	0.318
ɛ	ɛ	0.286
ɛ	e	0.286
l	w	0.278
d	ʑ	0.267
t	ɕ	0.25
ə	ɨ	0.222
ə	kʲ	0.222
éː	e	0.2
èː	ˈe	0.2
èː	ɛ	0.2
l	-	0.167
#>	i_#>	0.143
r	ʂ	0.136
óː	ˈɛ	0.133
óː	ˈu	0.133
éː	ˈa	0.133
éː	ɛ	0.133
t	ʨ	0.125
l	d_w	0.111
k	kʲ	0.083
k	i	0.083
