Western Lombard	Neapolitan	probability
w	w	1.0
y	u	1.0
z	ʃ	1.0
ˈaː	ˈa	1.0
ˈeː	ˈe	1.0
ˈẽː	ˈɛ_n	1.0
ˈĩː	ˈi_n	1.0
ˈɛ̃ː	ˈɛ	1.0
d	-	0.191
f	ʃ	0.081
i	i	0.21
l	lː_ə	0.191
p	k	0.121
s	sː_ə	0.081
t	tː_ə	0.1
u	ə	0.051
ʋ	v_j	0.091
ʦ	ʃ	0.221
ʧ	k_j	0.061
ˈe	ˈi	0.51
ˈu	ˈo	0.21
ˈũː	ˈɔ	0.111
ˈy	ˈu	0.931
ˈøː	ˈɔ	0.721
d	d	0.42
n	o_#>	0.082
r	r	0.2
ɡ	ɡ	0.832
ʋ	-	0.202
ʤ	j	0.462
ˈɛ	ˈe	0.162
p	p	0.823
r	ɾ_ə	0.263
t	tː	0.083
t	t	0.603
ɲ	n	0.563
ʤ	ʤ	0.483
ˈe	ˈe	0.263
ˈi	ˈu	0.143
ˈũː	ˈu_n	0.193
ˈyː	ˈu	0.373
j	j	0.264
k	k_ə	0.184
l	l_ə	0.124
m	mː_ə	0.184
ʧ	tː_ə	0.194
ˈãː	ˈa	0.404
ˈi	ˈi	0.74
ˈø	w_ˈɔ	0.304
ˈɔ	ˈɔ	0.444
a	a	0.225
a	ə	0.775
b	b	0.235
b	-	0.405
s	ʃː_ə	0.125
u	o	0.275
ʤ	-	0.055
ˈu	ˈɔ	0.095
ˈu	ˈu	0.695
ˈɛ	j_ˈɛ	0.445
b	v	0.36
e	-	0.146
f	v_ə	0.206
j	-	0.606
k	kː	0.086
m	m	0.816
p	p_ə	0.056
r	ɾ	0.476
u	u	0.346
ʧ	kː_j_ə	0.346
ˈa	ˈa	0.956
ˈãː	ˈa_n	0.596
ˈũː	ˈo_n	0.696
ˈø	ˈu	0.206
ˈɔ	w_ˈɔ	0.556
e	ə	0.757
f	f	0.677
j	ʎː	0.097
n	n	0.907
s	s	0.507
t	t_ə	0.157
u	a	0.057
u	-	0.27
ɲ	ɲː	0.07
ɲ	ɲː_ə	0.367
ʋ	v	0.707
ˈe	ˈɛ	0.227
ˈi	ˈi_ʎː	0.117
ˈyː	ˈo	0.627
ˈɛ	ˈɛ	0.357
e	i	0.098
k	k	0.718
l	l	0.528
s	-	0.118
ɡ	v	0.168
d	t	0.389
i	ə	0.79
l	-	0.089
s	ʃ_ə	0.169
ʦ	ʦː_ə	0.779
ʧ	ʃ	0.399
ˈy	ˈi	0.069
ˈø	ˈɔ	0.49
ˈøː	w_ˈɔ	0.279
