German	Saterland Frisian	probability
ˈʏ	ˈɛː	1.0
ˈʊ_ɐ	ˈɔː_r	1.0
ˈɪ_n	ˈiː_n	1.0
ˈɛː	ˈɔː	1.0
ˈɛ_l	ˈɛ_l	1.0
ˈɔ_ɐ	ˈoːu̯_d	1.0
ˈɔ_l	ˈoːu̯_l	1.0
ˈøː	ˈeː	1.0
ˈoː_n	ˈuː_n	1.0
ˈiː_ɐ_#>	ˈi_#>	1.0
ˈeː_#>	ˈeː_#>	1.0
ˈaɪ̯_s	ˈi_t	1.0
ˈaɪ̯_#>	ˈɛɪ̯_#>	1.0
ˈa_n	ˈoːu̯_n	1.0
ˈa_l	ˈoː_l	1.0
ʦ	t	1.0
ʃ_#>	s_k_#>	1.0
ʃ	s_k	1.0
ʁ	r	1.0
ɪ	ɪ	1.0
ə_#>	ə_#>	1.0
ə	-	1.0
ɐ_#>	r_#>	1.0
ŋ_#>	ŋ_#>	1.0
ç_t	x_t	1.0
ç	k	1.0
z_ə	z_ə	1.0
x_#>	k_#>	1.0
v	v	1.0
s_t	s_t	1.0
p͡f	p	1.0
m_#>	m_#>	1.0
m	m	1.0
l_ˈuː	l_ˈoːu̯	1.0
l_#>	l_#>	1.0
l	l	1.0
kʰ	-	1.0
k_n	x	1.0
k_#>	k_#>	1.0
j	-	1.0
f_n	p_ə	1.0
f_#>	p_#>	1.0
d̥_#>	d_#>	1.0
d̥	ə	1.0
b̥_#>	f_#>	1.0
<#_ˈa	<#_ˈɔː	1.0
<#_ʦ	<#_t	1.0
<#_ʃ	<#_s	1.0
<#_ʁ	<#_r	1.0
<#_z	<#_s	1.0
<#_v	<#_v	1.0
<#_tʰ	<#_d	1.0
<#_p͡f	<#_p	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_k	1.0
<#_h	<#_h	1.0
<#_f	<#_f	1.0
<#_b	<#_b	1.0
n	n	0.84
t_#>	d_#>	0.8
ŋ	ŋ	0.75
ˈoː	ˈoː	0.727
ˈɪ	ˈɪ	0.684
ˈʊ	ˈʊ	0.667
ˈyː	ˈɛɪ̯	0.667
ˈiː	j_ˈoː	0.667
ˈeː	-	0.667
ɐ	r	0.667
ç_#>	k_#>	0.667
k	k	0.667
#>	x_#>	0.667
n_#>	ə_#>	0.632
ɡ	ɣ	0.625
x	x	0.625
ɡ̊	-	0.6
ˈaʊ̯	ˈuː	0.571
s	t	0.571
d	d_ə	0.571
<#_d	<#_t	0.571
ˈuː	ˈoːu̯	0.556
<#_ɡ	<#_ɣ	0.538
s_#>	s_#>	0.529
b	v_ə	0.5
b	v	0.5
s_#>	t_#>	0.471
ˈaɪ̯	ˈeː	0.45
ˈɔʏ̯	ˈuː	0.429
ˈaʊ̯	ˈoː	0.429
s	t_ə	0.429
d	d	0.429
<#_d	<#_d	0.429
<#	<#_j	0.429
ɡ̊	ˈaːi̯	0.4
t	t	0.4
ɡ	ɣ_j	0.375
x	k	0.375
n_#>	n_#>	0.368
ˈʊ	ˈuː	0.333
ˈɔ	ˈɔ	0.333
ˈyː	j	0.333
ˈiː	ˈi	0.333
ˈeː	j	0.333
ç_#>	x_#>	0.333
k	k_ə	0.333
#>	n_#>	0.333
<#_ɡ	<#_j	0.308
ˈɔʏ̯	ˈyː	0.286
ˈɔʏ̯	j_ˈuː	0.286
ˈa	ˈɔː	0.286
<#	<#_t	0.286
<#	<#_s	0.286
ˈoː	ˈoːu̯	0.273
t	d	0.267
ˈɛ	ˈeː	0.25
ˈɛ	ˈa	0.25
ˈɔ	ˈʊ	0.25
ˈɔ	ˈuː	0.25
ˈaɪ̯	ˈi	0.25
ŋ	ŋ_ə	0.25
ˈaː	ˈɔː	0.235
ˈuː	ˈɛɪ̯	0.222
ˈuː	ˈuː	0.222
ˈɪ	ˈiː	0.211
t_#>	t_#>	0.2
t	t_ə	0.2
ˈa	ˈɛː	0.19
ˈaː	ˈɛɪ̯	0.176
ˈaː	ˈɛ	0.176
ˈaː	-	0.176
ˈɛ	ˈʊ	0.167
ˈɛ	ˈɛ	0.167
ˈɛ	ˈiː	0.167
ˈɔ	-	0.167
<#_ɡ	<#_ɡ	0.154
ˈa	ˈɔ	0.143
ˈa	ˈaː	0.143
ˈa	ˈa	0.143
t	-	0.133
ˈaː	ˈoː	0.118
ˈaː	ˈiː	0.118
ɐ	ˈɛɪ̯	0.111
ɐ	ˈoːu̯	0.111
ɐ	-	0.111
ˈɪ	j_ˈʊ	0.105
ˈaɪ̯	ˈɛ	0.1
ˈaɪ̯	ˈiː	0.1
ˈaɪ̯	ˈaː	0.1
ˈa	ˈɛɪ̯	0.095
n	ə_n	0.08
n	-	0.08
