Bellunese	Bellunese	probability
ˈɛ_r	ˈæ_r	1.0
ˈu	ˈu	1.0
ˈo_n	ˈɒ_n	1.0
ˈi_ŋ_#>	ˈi_#>	1.0
ˈi	ˈi	1.0
ˈa_ŋ_#>	ˈa_#>	1.0
ʧ_o	ʎ	1.0
ʤ	ɡ_l	1.0
ɲ	ɲ	1.0
ɡ_o_#>	k_#>	1.0
ŋ_t	n	1.0
ŋ_#>	#>	1.0
z_e	w	1.0
v_e	w	1.0
r_ˈi	ɾ_ˈi	1.0
r_o	ɾ_ɜ	1.0
r_e	ɾ	1.0
p	p	1.0
m	m	1.0
l_#>	l_#>	1.0
k_o	k_o	1.0
k	k	1.0
j_ˈe	ˈæ	1.0
e_r	ɾ_e	1.0
d_e	w	1.0
<#_θ	<#_s	1.0
<#_ˈɔ	<#_ˈɒ	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_k_l	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_ʎ	1.0
t	t	0.939
ˈa	ˈa	0.913
f	f	0.9
s	s	0.875
b	b	0.875
θ	s	0.75
ˈe	ˈæ	0.741
ˈɔ	ˈɒ	0.733
v	v	0.704
ð	ʤ	0.7
z	-	0.7
n	n	0.682
ˈɛ	ˈe	0.652
l	ʎ	0.652
#>	w_#>	0.625
r	r	0.621
ˈe_ŋ	ˈe_n	0.6
e_#>	#>	0.6
e	e	0.579
ɡ	ɡ	0.571
w	w	0.571
j	l	0.571
o	-	0.531
<#	<#_ɡ	0.5
<#	<#_a	0.5
d	d	0.478
ˈo	ˈo	0.444
ɡ	ɣ	0.429
w	-	0.429
i	i	0.429
ŋ	ŋ	0.412
ˈe_ŋ	ˈe	0.4
e_#>	e_#>	0.4
#>	s_#>	0.375
ˈo	ˈɒ	0.361
l	l	0.348
a	ɐ	0.343
o	o	0.312
d	ð	0.304
ð	-	0.3
z	z	0.3
ŋ	n	0.294
j	-	0.286
i	e	0.286
i	-	0.286
r	ɾ	0.273
e	-	0.263
ˈe	ˈe	0.259
a	ɜ	0.257
θ	-	0.25
d	-	0.217
a	a	0.214
n	-	0.182
ŋ	m	0.176
e	ɞ	0.158
a	ɞ	0.157
o	e	0.156
v	β	0.148
j	ʤ	0.143
n	ɲ	0.136
ˈɔ	ˈo	0.133
ˈɔ	ˈi	0.133
ˈɛ	ˈi	0.13
ˈɛ	-	0.13
s	ʃ	0.125
b	-	0.125
ŋ	-	0.118
ˈo	ˈu	0.111
f	-	0.1
ˈɛ	ˈæ	0.087
ˈa	ˈe	0.087
ˈo	ˈæ	0.083
v	w	0.074
v	-	0.074
t	ð	0.061
r	ɾ_ɜ	0.061
