Megleno-Romanian	Campidanese	probability
f	f	1.0
m	m	1.0
o̯ˈa	ˈo	1.0
s	s	1.0
v	b	1.0
z	d	1.0
ŋ	ŋ	1.0
ɡ	ɡ	1.0
ʧ	-	1.0
ˈɔ	ˈa	1.0
j	j	0.651
ˈo	ˈo	0.681
ʃ	s	0.512
b	b	0.743
e̯ˈa	ˈe	0.363
i	e	0.123
i	i	0.83
k	ɣ	0.083
l	u_#>	0.183
p	k	0.3
r	rː	0.163
ə	i	0.073
ʦ	ʒ	0.33
ˈa	ˈe	0.293
d	-	0.104
k	k	0.804
l	r	0.104
t	t	0.814
u	a	0.074
ʎ	-	0.294
ʦ	-	0.334
ˈi	ˈe	0.584
ˈu	ˈu	0.654
w	j	0.185
w	-	0.815
ə	ˈi	0.065
ə	a	0.745
ˈe	ˈi	0.315
ˈe	ˈe	0.685
d	d	0.896
l	-	0.296
n	n_u	0.056
ə	u	0.076
ʦ	ʧ	0.246
ˈu	ˈo	0.346
b	-	0.257
e̯ˈa	ˈi	0.637
l	l	0.417
n	-	0.127
n	n	0.797
p	p	0.7
r	-	0.057
r	r	0.717
u	o	0.097
ˈa	ˈa	0.677
k	ɣ_u	0.098
t	-	0.058
ʃ	-	0.488
ʎ	ʣ	0.588
ˈi	-	0.08
ˈi	ˈi	0.318
j	-	0.349
t	ð	0.129
u	u	0.829
ʎ	l	0.119
ʦ	t	0.09
ˈo	ˈu	0.319
