Mecklenburgisch-Vorpommersch	Mecklenburgisch-Vorpommersch	probability
ˈʊ	ˈu	1.0
ˈɛɪ̯	ˈɘ̟	1.0
ˈøː	ˈɘ̟	1.0
ˈyː	ˈɑi̯_ɛ	1.0
ˈuː	ˈɑi̯	1.0
ˈoː	ˈʏ	1.0
ˈiː_æ	ˈɑ	1.0
ˈaɪ̯	ˈi	1.0
ˈae̯_#>	#>	1.0
ˈa_l	ˈɔ_w	1.0
ɪ	ɪ	1.0
ɣ̊	ɡ̊	1.0
ɣ	ˈɑi̯	1.0
ɡ̊	ɡ̊	1.0
z̥	s	1.0
z	z	1.0
x	x	1.0
w	v	1.0
v̥_#>	#>	1.0
v	v	1.0
tʰ	ʦ	1.0
t_n	s_a	1.0
t_#>	ʦ_#>	1.0
r	r	1.0
pʰ	f	1.0
p_#>	f_#>	1.0
p	f	1.0
n_ɪ	ŋ	1.0
kʰ	k	1.0
h	h	1.0
f	f	1.0
d̥_#>	t_#>	1.0
d̥	d̥	1.0
b_m	n	1.0
b	b	1.0
ae̯_n	ɑ	1.0
<#_z	<#	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
ʃ	ʃ	0.955
l	w	0.857
ɡ	ɡ	0.833
ˈiː	ˈai̯	0.818
ˈa	ˈɑ	0.722
s	s	0.714
ˈɔʏ̯	ˈi	0.667
ˈœ	-	0.667
m	m	0.652
ˈɛ	-	0.636
d	t	0.632
ˈɛː	-	0.625
n	n	0.614
ˈœː	-	0.6
ˈaː	-	0.6
ɾ	ɛ	0.6
ˈɪ	ˈɘ̟	0.571
ŋ	ŋ	0.556
t	t	0.545
k	x	0.533
ˈʏ	ˈɘ̟	0.5
ˈʏ	-	0.5
ˈɔ	ˈu	0.5
ˈaʊ̯	ˈʏ	0.5
ç	ɡ̊	0.5
v̥	b̥	0.5
v̥	-	0.5
j	ɡ	0.5
j	j	0.5
ˈae̯	ˈa	0.444
ŋ	ɟ	0.444
ˈɒː	ˈø	0.438
æ	r	0.429
ˈœː	ˈei̯	0.4
ˈaː	ˈi̯ø	0.4
ɾ	t_ɛ	0.4
æ	ɛ_r	0.393
#>	a_#>	0.385
ˈɛː	ˈɔ	0.375
d	d	0.368
ˈɛ	ˈa	0.364
ˈɔʏ̯	ˈɑi̯	0.333
ˈœ	ˈoi̯	0.333
ˈae̯	ˈi	0.333
t	s	0.318
#>	t_#>	0.308
ˈɔ	-	0.3
ç	k	0.286
s	k_s	0.286
ˈa	ˈɔ	0.278
k	ç	0.267
ˈaʊ̯	ˈu	0.25
n	a	0.228
ç	x	0.214
ˈɔ	ˈɑ	0.2
ˈɒː	ˈɔ	0.188
ˈiː	-	0.182
m	m_a	0.174
ɡ	-	0.167
#>	n_#>	0.154
#>	f_#>	0.154
ˈaʊ̯	ˈɑ	0.15
l	l	0.143
t	ʦ	0.136
k	-	0.133
ˈɒː	ˈu	0.125
ˈɒː	ˈi̯ø	0.125
ˈɒː	-	0.125
ˈae̯	ˈɑ	0.111
ˈae̯	ˈai̯	0.111
æ	ə	0.107
ˈaʊ̯	ˈɑi̯	0.1
ˈɪ	ˈɛ	0.095
ˈɪ	ˈɘ̟_ŋ	0.095
ˈɪ	ˈei̯	0.095
ˈɪ	-	0.095
n	n_d	0.088
m	v_a	0.087
m	n	0.087
æ	ˈi_r	0.071
k	c	0.067
