Ladin	Ladin	probability
ˈɛ_n	ã	1.0
ˈɛ_l	oʊ̯	1.0
ˈɛ_k	øʏ̯	1.0
ˈɔ_s	o	1.0
ˈɔ_n	ɒ̃ʊ̯̃	1.0
ˈo_w	aœ̯	1.0
ˈo_s	u	1.0
ˈo_n	ɒ̃ʊ̯̃	1.0
ˈi_n	ẽɪ̯̃	1.0
ˈe_#>	e_#>	1.0
ˈa_ŋ_k_#>	ã_#>	1.0
ˈa_w	oʊ̯	1.0
ˈa_n	ẽɪ̯̃	1.0
ʧ	s	1.0
ʦ_a	s	1.0
ʦ_#>	#>	1.0
ʤ	-	1.0
ʒ_ɡ	v	1.0
ʃ	-	1.0
ɲ	ɲ	1.0
ŋ	-	1.0
w_ˈɛ	œ	1.0
w_ʃ	ɛ	1.0
v_e	ʁ	1.0
u	-	1.0
t_e	t	1.0
t_a_#>	t_#>	1.0
t_#>	#>	1.0
s_ˈɛ	s_ɛ	1.0
s_t	t	1.0
s_e	s	1.0
r_ˈe	ʁ_w	1.0
r_t	ʁ	1.0
r_a	ʁ	1.0
p_#>	#>	1.0
p	p	1.0
n_a_#>	#>	1.0
n_#>	#>	1.0
m_a_#>	m_#>	1.0
m_#>	#>	1.0
l_ˈɛ	l	1.0
l_#>	#>	1.0
k	k	1.0
j_ˈɛ	i	1.0
j_t	ɛ	1.0
i	-	1.0
e_r	ʁ	1.0
e_#>	#>	1.0
d_l	j	1.0
d_e	d	1.0
b	b	1.0
a_r	a_ʁ	1.0
a_n	ã	1.0
a_#>	#>	1.0
<#_ʃ	<#_e	1.0
<#_t	<#_t	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#	1.0
<#_a	<#_a	1.0
r	ʁ	0.895
m	m	0.88
v	v	0.875
f	f	0.867
l	l	0.857
s	s	0.85
ˈɛ_r	æɛ̯_ʁ	0.833
t	t	0.8
w	-	0.727
ʨ	ʃ	0.72
ɡ	ɡ	0.692
s_#>	s_#>	0.667
n	n	0.63
#>	e_#>	0.556
ˈɔ	ɑɔ̯	0.538
ʒ	ʒ	0.533
ˈi	ɪ	0.5
ʥ	ʒ	0.5
ʥ	ʃ	0.5
d	-	0.5
a	a	0.5
<#	<#_ʁ	0.5
<#	<#_e	0.5
ˈu	y	0.455
e	-	0.45
ˈa	æɛ̯	0.37
ˈu	-	0.364
o	ɔ	0.364
d	d	0.364
e	ʁ	0.35
ˈo	-	0.333
s_#>	#>	0.333
j	j	0.333
ˈe	w	0.314
ˈe	-	0.314
a	-	0.312
ˈɔ	ɔ	0.308
ɡ	-	0.308
ˈa	a	0.296
j	ɛ	0.296
ˈo	u	0.278
w	ɥ	0.273
o	u	0.273
ʒ	-	0.267
ˈi	i	0.25
ˈo	w	0.222
#>	ʁ_#>	0.222
#>	n_#>	0.222
ˈɛ	ɛ	0.211
ˈɛ	j	0.211
ˈɛ	-	0.211
ʨ	s	0.2
ʒ	z	0.2
t	-	0.2
e	œ	0.2
a	œ	0.188
ˈu	ʏ	0.182
o	ɑɔ̯	0.182
o	-	0.182
ˈɛ_r	ʁ	0.167
ˈo	ʊ	0.167
ˈɛ	æɛ̯	0.158
ˈɔ	-	0.154
ˈi	i_ʁ	0.15
s	-	0.15
n	ẽɪ̯̃	0.148
ˈe	ɛ	0.143
ˈe	w_ɛ	0.143
l	-	0.143
d	ʣ	0.136
f	-	0.133
v	-	0.125
m	-	0.12
ˈa	ã	0.111
j	ɛ_ʁ	0.111
j	i	0.111
ˈɛ	øʏ̯	0.105
ˈɛ	i	0.105
r	æɛ̯	0.105
ˈi	-	0.1
ˈe	æɛ̯	0.086
ʨ	-	0.08
ˈa	ɑ	0.074
ˈa	oʊ̯	0.074
ˈa	ẽɪ̯̃	0.074
n	ɒ̃ʊ̯̃	0.074
n	ã	0.074
n	-	0.074
j	æɛ̯	0.074
j	-	0.074
