Saterland Frisian	Saterland Frisian	probability
ˈɛɪ̯_t	ˈiɐ̯_s	1.0
ˈɛɪ̯_#>	ˈai̯_#>	1.0
ˈœː	ˈi	1.0
ˈøː	ˈau̯	1.0
ˈyː	ˈai̯	1.0
ˈu	ˈuɐ̯	1.0
ˈiːu̯	ˈeː	1.0
ˈiː_d	ˈai̯_d̥	1.0
ˈeːu̯	ɡ̊_ˈeː	1.0
ˈaːu̯	-	1.0
ˈaːi̯	-	1.0
ˈaː	-	1.0
ɪ	-	1.0
ɣ_j	ŋ	1.0
ɡ	ɡ̊	1.0
ə_r	a	1.0
ə_n	n	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
z	s	1.0
x_t	x_d̥	1.0
x_#>	#>	1.0
w	m	1.0
t_ˈɔː	d̥_ˈu	1.0
t_ə	s_n	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
s_#>	s_#>	1.0
p_#>	f_#>	1.0
n_ə	n_a	1.0
n_#>	#>	1.0
m	m	1.0
l_ˈaː	l	1.0
l_d	j_d̥	1.0
j_ˈuː	ˈai̯	1.0
j_ˈoː	ˈiɐ̯	1.0
i	eɐ̯	1.0
h	h	1.0
f_#>	b̥_#>	1.0
f	f	1.0
d_r	d̥_r	1.0
d	d̥	1.0
b	b̥	1.0
<#_ˈoː	<#_ˈo	1.0
<#_ɣ	<#_ɡ̊	1.0
<#_t	<#_ʦ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_k	<#_kʰ	1.0
<#	<#_d̥	1.0
n	n	0.917
v	ʋ	0.778
x	ɡ̊	0.75
ˈɪ	ˈi	0.692
ˈɛ	ˈe	0.6
ˈiː	ˈi	0.6
ˈi	ˈai̯	0.6
ɣ	ɡ̊	0.6
k_#>	#>	0.6
#>	ɡ̊_#>	0.6
k	ɡ̊	0.583
j	-	0.571
ˈɔ	-	0.556
l	l	0.538
s	s	0.516
ˈʊ	ˈu	0.5
ˈɛɪ̯	-	0.5
ˈeː	ˈoɐ̯	0.5
p	f	0.5
p	b̥͡v̥	0.5
<#_j	<#_j	0.5
<#_j	<#	0.5
s	ʃ	0.484
ə	a	0.455
ˈɔ	ˈo	0.444
r	r	0.441
ˈa	-	0.429
j	ˈeː	0.429
ˈuː	ˈu	0.412
t	s	0.407
ˈɛː	-	0.4
ˈɛ	ˈɒː	0.4
ˈi	-	0.4
ɣ	ŋ	0.4
k_#>	x_#>	0.4
#>	b̥_#>	0.4
l	j	0.385
ˈuː	ˈau̯	0.353
ə	n	0.333
t	d̥	0.333
ˈɛː	ˈu	0.3
ˈɛː	ˈi	0.3
r	ɐ	0.294
ˈɔː	ˈɒː	0.286
ˈoːu̯	ˈuɐ̯	0.286
ˈoːu̯	ˈo	0.286
ˈoːu̯	-	0.286
ˈa	ˈɑ	0.286
ˈa	ˈe	0.286
ˈʊ	ˈo	0.25
ˈʊ	-	0.25
ˈɛɪ̯	ˈuɐ̯	0.25
ˈɛɪ̯	ˈe_ɐ	0.25
ˈoː	ˈou̯	0.25
ˈoː	-	0.25
ˈeː	ˈeː	0.25
ˈeː	ˈe	0.25
x	x	0.25
k	x	0.25
v	-	0.222
ˈɔː	ˈɑː	0.214
ˈɔː	ˈɑ	0.214
r	a	0.206
ˈoː	ˈaː	0.2
ˈiː	ˈo	0.2
ˈiː	ˈe	0.2
t	ʦ	0.185
k	ç	0.167
ˈɪ	ˈiː	0.154
ˈɪ	-	0.154
ə	ə	0.152
ˈɔː	ˈi	0.143
ˈɔː	ˈe	0.143
ˈoːu̯	ˈo_ɐ	0.143
ˈuː	ˈuɐ̯_d̥	0.118
ˈuː	-	0.118
ˈoː	ˈoɐ̯	0.1
ˈoː	ˈo	0.1
ˈoː	ˈa	0.1
n	-	0.083
l	l_ˈɑ	0.077
t	ɐ_ʦ	0.074
ə	ŋ	0.061
r	d̥_a	0.059
