Gallurese	Nuorese	probability
ˈɛ_r	ˈɛ_ɾ	1.0
ˈɔ_l	ˈɔ_ɾ	1.0
ˈa_l	z	1.0
ʧː	-	1.0
ʧ_i	k_ɛ	1.0
ʦː	t	1.0
ʦ	ʦ	1.0
ʤ	e	1.0
ʣ	z	1.0
ʒ	z	1.0
ʃː	s	1.0
z	z	1.0
w	ɣ_u	1.0
v	b	1.0
tː	t	1.0
t_i	ɔ̆	1.0
t	t	1.0
sː	s	1.0
s_ˈa	s_ˈa	1.0
s	s	1.0
rː	r	1.0
r_u	ɾ	1.0
p_j	p_ɾ	1.0
p_a	p_ɛ	1.0
p	p	1.0
nː	nː	1.0
mː	m	1.0
m	m	1.0
l_ʧ	ɾ_k	1.0
l_i	l_ɛ	1.0
l_b	ɾ_b	1.0
l_a	l_a	1.0
kː	k	1.0
k_ˈa	ˈa	1.0
k	k	1.0
i_k	i_k	1.0
fː	f	1.0
f	f	1.0
e	ă	1.0
cː	k_ɾ	1.0
c	k_ɾ	1.0
b	b	1.0
a_p	k	1.0
a	a	0.967
ˈa	ˈa	0.961
ˈu	ˈu	0.951
n	n	0.927
r	ɾ	0.899
ʧ	k	0.89
ˈi	ˈi	0.859
ˈo	ˈɔ	0.852
ɟ	ɡ	0.832
u	u	0.797
ˈɛ	ˈe	0.792
ŋ	m	0.787
ˈe	ˈɛ	0.666
j	j	0.613
a_r	ɛ_ɾ	0.599
ɲː	n_ʣ	0.537
ɟː	ʣ	0.527
ˈɔ	ˈɔ	0.49
l	l	0.475
ɟː	ɣ_ɛ	0.473
ɲː	ŋ_ɡ	0.463
i	ɛ	0.461
ɖː	ɖː	0.459
d	d	0.407
ˈɔ	ˈo	0.404
d	ð	0.401
a_r	ɾ	0.401
ɡ	ɡ	0.39
o	ˈɔ	0.388
j	ɾ	0.387
l	ɾ	0.358
o	u	0.313
i	i	0.306
o	ɔ	0.299
ɡ	k	0.295
ɖː	ʣ	0.238
ɡ	-	0.216
ŋ	ŋ	0.213
ˈɛ	ˈɛ	0.208
d	-	0.193
ɖː	l	0.189
ɟ	ʣ	0.168
l	-	0.167
ˈo	ˈo	0.148
ˈe	ɛ	0.122
ɖː	-	0.115
ˈi	ɛ	0.112
ʧ	ʣ	0.11
ˈɔ	ˈu	0.106
r	r	0.101
ɡ	ɣ	0.099
i	β_ɛ	0.088
n	nː	0.073
u	ɔ	0.072
ˈe	ˈe	0.055
ˈe	-	0.055
ˈe	ˈɛ_ɣ	0.054
i	-	0.052
