Zeelandic	Zeelandic	probability
ˈʊə̯	ˈʊə̯	1.0
ˈɛː	ˈɑː	1.0
ˈɒː	ˈɑː	1.0
ˈɑu̯	ˈœu̯	1.0
ˈæi̯	ˈəɪ̯	1.0
ˈuːə̯	ˈu	1.0
ˈuː	ˈu	1.0
ˈoː_v	ˈʊə̯	1.0
ˈiːə̯	ˈi	1.0
ˈi_ə	ˈəɪ̯	1.0
ˈeː	ˈɪə̯	1.0
ʋ	v	1.0
ɾ	r	1.0
ɫ	ɫ	1.0
ɪ	ə	1.0
ŋ_k	ŋ	1.0
ŋ	ŋ	1.0
z̥	s	1.0
z	s	1.0
x_ɾ	χ_r	1.0
x_t	χ	1.0
v̥	v̥	1.0
t	t	1.0
s_t	s	1.0
s	s	1.0
p	p	1.0
m	m	1.0
l	ɫ	1.0
k	k	1.0
j	j	1.0
iː	i	1.0
i	ə	1.0
d_ə	d̥	1.0
d	d	1.0
b	b	1.0
<#_ɾ	<#_r	1.0
n	n	0.95
d̥	d̥	0.926
v	v̥	0.923
ˈɑ	ˈa	0.917
<#	<#_ɦ	0.889
ˈiː	ˈi	0.875
x	χ	0.848
ˈɪə̯	ˈɪə̯	0.833
ˈyː	ˈœɪ̯	0.833
ˈɔ	ˈɔ	0.818
ˈɪ	ˈə	0.812
ə	-	0.789
w	-	0.667
ˈi	ˈəɪ̯	0.643
ˈøː	ˈɪø̯	0.571
ˈu	ˈɔ	0.5
ˈu	ˈu	0.5
ə_n	ə_ŋ	0.5
ə_n	ə	0.5
ˈøː	ˈʊə̯	0.429
ˈæ	ˈæ	0.417
ˈʏ	ˈɔ	0.375
ˈʏ	ˈœ	0.375
ˈi	ˈə	0.357
ˈæ	ˈæː	0.333
w	w	0.333
ˈʏ	-	0.25
ˈæ	ˈɛ	0.25
ə	ə	0.211
ˈɪ	-	0.188
ˈɔ	-	0.182
ˈɪə̯	ˈi	0.167
ˈyː	ˈəɪ̯	0.167
x	k	0.152
ˈiː	ˈyː	0.125
<#	<#_ˈæ	0.111
ˈɑ	-	0.083
v	-	0.077
d̥	-	0.074
