Bavarian	Dutch	probability
#>	#>	0.863
#>	n_#>	0.068
#>	ɾ_#>	0.063
<#	<#	1.0
a	ə	0.772
a	ɾ	0.173
a	-	0.059
a_#>	#>	0.521
b̥	b	0.688
b̥	v	0.135
b̥	f	0.124
b̥	-	0.053
d	d	0.142
d̥	t	0.539
d̥	d	0.422
d̥_a	ɾ	1.0
f	v	0.694
f	p	0.182
f	f	0.062
f	ə_f	0.054
h	ɦ	0.972
i	ˈɑu̯	0.425
i	ə	0.255
i	ɪ	0.152
j	ɫ	0.713
j	j	0.139
j	ɫ_ə	0.08
j	-	0.067
k	k	0.784
k	-	0.141
kʰ	k	1.0
l	ɫ	0.831
l	ə_ɫ	0.081
l	-	0.062
m	m	0.798
m	ə_n	0.125
m	-	0.065
n	n	0.953
p	p	0.454
p	f	0.123
p͡f	p	1.0
r	ɾ	0.921
s	t	0.32
s	s	0.305
s	z	0.277
s	t_ə	0.086
t	t	0.842
t	-	0.08
t	d	0.072
x	χ	0.625
x	k	0.37
ç	k	1.0
ŋ	ŋ	0.743
ŋ	n	0.157
ŋ	-	0.085
ɐ	ɾ	0.873
ɐ	ə	0.075
ɐ	-	0.062
ə	ə	0.521
ə_#>	#>	1.0
ɡ̊	χ	0.872
ɡ̊	-	0.12
ɪ	ə	0.142
ʃ	s	0.562
ʃ	s_χ	0.235
ʃ	z	0.2
ʋ	ʋ	0.941
ʋ	-	0.059
ʦ	t	0.816
ʦ	t_ə	0.178
ˈa	ˈɑ	0.542
ˈa	ˈɪ	0.117
ˈa	ˈaː	0.113
ˈa	ˈɛ	0.113
ˈa	ˈoː	0.087
ˈai̯	ˈɛi̯	0.508
ˈai̯	ˈyː	0.111
ˈai̯	ˈœy̯	0.111
ˈai̯	ˈi	0.081
ˈai̯	ˈeː	0.075
ˈai̯	ˈɪ	0.061
ˈai̯	w	0.057
ˈau̯	ˈœy̯	0.648
ˈau̯	ˈɑu̯	0.174
ˈau̯	ˈoː	0.093
ˈau̯	ˈɔ	0.07
ˈaː	ˈoː	0.839
ˈaː	ˈɔ	0.075
ˈaː	ˈaː	0.069
ˈe	ˈɛ	0.426
ˈe	ˈeː	0.208
ˈe	ˈoː	0.137
ˈe	ˈaː	0.094
ˈe	ˈi	0.075
ˈe	ˈɑ	0.059
ˈeɐ̯	ˈu	0.683
ˈeɐ̯	ˈɛi̯	0.152
ˈeɐ̯	ˈɪ	0.059
ˈeː	ˈeː	0.743
ˈeː	ˈoː	0.121
ˈeː	ˈi	0.117
ˈi	ˈɪ	0.558
ˈi	ˈɛi̯	0.12
ˈi	ˈi	0.084
ˈi	ˈɛ	0.084
ˈi	ˈeː	0.063
ˈi	-	0.055
ˈiɐ̯	ˈi	0.416
ˈiɐ̯	ˈu	0.354
ˈiɐ̯	ˈɪ	0.203
ˈiː	ˈi	0.392
ˈiː	ˈeː	0.341
ˈiː	ˈɪ	0.204
ˈo	ˈɔ	0.423
ˈo	ˈɑ	0.4
ˈo	-	0.136
ˈo_j	ˈɑu̯	1.0
ˈou̯	ˈoː	1.0
ˈoɐ̯	ˈeː	0.351
ˈoɐ̯	ˈɛi̯	0.231
ˈoɐ̯	ˈoː_ɾ	0.13
ˈoɐ̯	ˈoː	0.12
ˈoɐ̯	ˈɑ	0.091
ˈoɐ̯	ˈaː	0.061
ˈoː	ˈaː	0.458
ˈoː	ˈoː	0.172
ˈoː	ˈɑ	0.163
ˈoː	ˈɛ	0.127
ˈu	ˈɔ	0.518
ˈu	ˈʏ	0.148
ˈu	ˈoː	0.098
ˈu	ˈu	0.098
ˈu	ˈi	0.077
ˈu	ˈɛ	0.064
ˈuɐ̯	ˈu	1.0
ˈy	ˈoː	1.0
ˈɑː	ˈaː	0.521
ˈɒ	ˈɑ	0.653
ˈɒ	ˈaː	0.346
ˈɒː	ˈaː	0.561
ˈɒː	ˈɑ	0.425
ˈɔ	ˈɑ	0.351
ˈɔ	ˈɔ	0.351
ˈɔ	ˈaː	0.282
ˈɛ	ˈɛ	0.296
ˈɛ	ˈaː	0.238
ˈɛ	ˈeː	0.207
ˈɛ	ˈʏ	0.136
ˈɛ	ˈoː	0.102
ˈɛː	w	0.276
ˈɛː	ˈaː	0.276
ˈɛː	ˈeː	0.165
ˈʏ	ˈɛ	1.0
