Ladin	Lombard	probability
a	a	0.869
a	-	0.089
b	b	1.0
d	d	0.767
d	-	0.162
d_l	ʧ	0.627
d_l	ʤ	0.364
e	e	0.385
e	-	0.37
f	f	0.978
i	ĩ	0.326
i	-	0.215
i	i	0.201
i	e	0.141
j	j	0.411
j	-	0.319
j	ˈɛ	0.186
j	e	0.075
j_ˈɛ	ˈe	1.0
k	k	0.966
k_l	ʧ	1.0
l	l	0.82
l	j	0.096
l	-	0.079
m	m	0.913
m	-	0.051
n	n	0.69
n	-	0.151
n_t	t	0.495
o	u	0.642
o	y	0.074
o	ˈyː	0.074
o	o	0.072
o	-	0.068
o	e	0.068
p	p	1.0
r	r	0.951
s	s	0.966
t	t	0.796
t	ʧ	0.134
t	-	0.063
u	y	0.415
u	o	0.206
u	u	0.206
v	ʋ	0.866
v	f	0.055
w	-	0.499
w	l	0.289
w	ˈu	0.209
w_f	f	1.0
w_ˈɛ	ˈø	0.422
w_ˈɛ	ˈøː	0.381
w_ˈɛ	ˈɔ	0.193
z	-	0.495
ŋ	-	0.631
ŋ	n	0.268
ŋ	ˈẽː	0.067
ɡ	ɡ	0.668
ɡ	ʤ	0.139
ɡ	w	0.105
ɡ	-	0.079
ɲ	ɲ	0.89
ɲ	n	0.099
ʃ	s	0.926
ʃ	ʃ	0.073
ʒ	ʤ	0.49
ʒ	z	0.217
ʒ	-	0.085
ʒ	ʃ	0.07
ʒ	ʧ	0.068
ʒ	s	0.067
ʤ	ʤ	0.495
ʥ	ʤ	0.388
ʥ	k	0.256
ʦ	ʦ	0.792
ʦ	s	0.16
ʧ	ʧ	0.478
ʧ	ʃ	0.375
ʧ	-	0.122
ʨ	k	0.668
ʨ	ʧ	0.148
ʨ	-	0.09
ʨ	ʦ	0.078
ˈa	ˈa	0.853
ˈa	ˈaː	0.069
ˈa_n	ˈãː	1.0
ˈa_w	ˈɔ	1.0
ˈa_ŋ	ˈãː	1.0
ˈe	ˈe	0.339
ˈe	ˈa	0.289
ˈe	-	0.209
ˈi	ˈi	0.884
ˈi	ˈiː	0.06
ˈi	ˈĩː	0.06
ˈi_n	ˈĩː	1.0
ˈo	ˈu	0.588
ˈo	ʋ	0.128
ˈo	-	0.064
ˈo	ˈũː	0.064
ˈo	ˈy	0.064
ˈo	ˈuː	0.055
ˈo_n	ˈũː	1.0
ˈo_w	ˈyː	0.495
ˈu	ˈy	0.744
ˈu	ˈyː	0.165
ˈu	ˈu	0.071
ˈɔ	ˈɔ	0.663
ˈɔ	ˈu	0.178
ˈɔ	-	0.07
ˈɔ	ˈo	0.07
ˈɛ	ˈɛ	0.45
ˈɛ	ˈa	0.227
ˈɛ	ˈaː	0.098
ˈɛ	ˈe	0.075
ˈɛ	ˈɛ̃ː	0.05
ˈɛ_n	ˈẽː	1.0
