Pennsylvania German	Northern Low Saxon	probability
b	b	1.0
d	d	0.883
d	l	0.079
f	f	0.76
f	b	0.198
h	h	0.981
j	ʒ	0.487
j	ˈeɪ̯	0.353
j	-	0.083
j	ɡ	0.077
k	ɡ	0.381
k	ç	0.284
k	k	0.251
k	x	0.084
kʰ	kʰ	1.0
l	l	0.99
m	m	0.865
m	-	0.135
n	n	0.942
n	-	0.058
p	f	0.693
p	b	0.231
p	p	0.076
s	d	0.368
s	z	0.323
s	s	0.283
t	d	0.847
t	t	0.153
v	m	0.768
v	v	0.232
x	x	0.672
x	ɡ	0.328
ç	ç	0.496
ç	ɡ	0.396
ç	t	0.108
ŋ	ŋ	1.0
ɑ	ɐ	0.809
ɑ	-	0.124
ə	n	0.711
ə	m	0.109
ə	ŋ	0.084
ə	-	0.064
ɡ	ɡ	0.876
ɡ	j	0.066
ɡ	kʰ	0.059
ɣ	ɡ	0.566
ɣ	-	0.217
ɣ	ŋ	0.217
ɪ	-	0.466
ɪ	ɪ	0.374
ɪ	i	0.159
ɾ	r	0.83
ɾ	-	0.11
ɾ	ɐ	0.06
ʃ	ʃ	0.717
ʃ	s	0.283
ʋ	v	0.938
ʋ	-	0.062
ʦ	tʰ	0.791
ʦ	d	0.209
ˈa	ˈa	0.587
ˈa	ˈɪ	0.128
ˈa	ˈaʊ̯	0.095
ˈa	ˈoː	0.084
ˈa	ˈaʊ̯_ɐ	0.067
ˈaɪ̯	ˈiː	0.473
ˈaɪ̯	ˈyː	0.15
ˈaɪ̯	ˈʏ	0.129
ˈaɪ̯	ˈɪ	0.118
ˈaɪ̯	ˈeː	0.06
ˈaʊ̯	ˈuː	0.735
ˈaʊ̯	ˈaʊ̯	0.115
ˈaʊ̯	ˈøː	0.112
ˈaː	ˈaː	0.369
ˈaː	ˈaʊ̯_ɐ	0.278
ˈaː	ˈɔ	0.157
ˈaː	ˈa	0.134
ˈaː	ˈɔː	0.062
ˈeː	ˈaɪ̯	0.326
ˈeː	ˈɔʏ̯	0.215
ˈeː	ˈeɪ̯	0.114
ˈeː	ˈaɪ̯_n	0.101
ˈeː	ˈeː	0.091
ˈeː	ˈɪ	0.091
ˈiː	ˈaɪ̯	0.613
ˈiː	ˈɔʏ̯	0.226
ˈiː	ˈiː	0.084
ˈiː	ˈeɪ̯	0.077
ˈoː	ˈaʊ̯	0.531
ˈoː	ˈoː	0.431
ˈuː	ˈaʊ̯	0.791
ˈuː	ˈuː	0.209
ˈɔ	ˈʊ	0.593
ˈɔ	ˈɔ	0.282
ˈɔ	ˈoː	0.124
ˈɔɪ̯	ˈaɪ̯	1.0
ˈɔː	ˈoː	0.402
ˈɔː	ˈaʊ̯	0.183
ˈɔː	ˈɔʏ̯	0.09
ˈɔː	ˈa	0.081
ˈɛ	ˈœː	0.209
ˈɛ	ˈɛ	0.204
ˈɛ	ˈeː	0.159
ˈɛ	-	0.119
ˈɛ	ˈɪ	0.066
ˈɛ	ˈœ	0.059
ˈɛ	ˈʏ	0.059
ˈɛː	ˈa	0.385
ˈɛː	ˈoː	0.233
ˈɛː	ˈɛɪ̯	0.203
ˈɛː	ˈeː	0.126
ˈɛː	r	0.053
ˈɪ	ˈɪ	0.596
ˈɪ	ˈʏ	0.173
ˈɪ	ˈiː	0.076
ˈɪ	ˈø	0.056
ˈɪ	ˈøː	0.051
ˈʊ	ˈʊ	0.727
ˈʊ	ˈaʊ̯	0.136
ˈʊ	ˈʏ	0.067
