Eastern Lombard	Bellunese	probability
ˈɛ_s	ˈɛ_ð	1.0
ˈɛ_r	ˈɛ_r	1.0
ˈɔ	ˈɔ	1.0
ˈy	ˈu	1.0
ˈu	ˈo	1.0
ˈo_s	ˈo_s	1.0
ˈe_r	ˈe_r	1.0
ʧ	ʧ	1.0
ʋ	v	1.0
ɲ	ɲ	1.0
ø	-	1.0
y	u	1.0
w	w	1.0
u	o	1.0
s_ˈa	s_ˈa	1.0
r_ˈɛ	r_ˈe	1.0
r_ˈa	r_ˈa	1.0
p	p	1.0
m	m	1.0
l	l	1.0
b	b	1.0
a	a	1.0
k	k	0.969
f	f	0.892
t	t	0.854
o	o	0.838
ɡ	ɡ	0.837
r	r	0.829
d	d	0.815
n	n	0.799
ʤ	-	0.749
ŋ	ŋ	0.736
j	j	0.713
ˈa	ˈa	0.693
e	e	0.655
i	e	0.614
s	s	0.577
ˈi	ˈi	0.529
z	ð	0.511
ˈɛ	ˈɛ	0.5
z	z	0.489
e_r	r_e	0.465
ˈo	ˈɔ	0.435
ˈo	ˈo	0.429
ˈɛ	ˈe	0.428
s	θ	0.423
i	i	0.386
ˈe	ˈe	0.379
ˈe	j_ˈe	0.358
ˈø	ˈo	0.291
j	-	0.287
ˈø	ˈɔ	0.281
e_r	r_o	0.267
e_r	e	0.267
ŋ	n	0.264
ˈe	ˈe_ŋ	0.263
ˈø	ˈu	0.259
ʤ	ʤ	0.251
ˈa	ˈa_r	0.231
n	ŋ	0.201
d	r	0.185
ˈø	-	0.169
ɡ	-	0.163
ˈi	ˈe	0.162
o	-	0.162
ˈi	ˈi_ŋ	0.141
e	i	0.14
ˈo	ˈa	0.136
f	v	0.108
e	o	0.106
ˈi	e_r	0.103
e	v_e	0.099
r	-	0.089
r	r_o	0.083
ˈɛ	ˈa	0.072
ˈi	-	0.064
t	t_o	0.058
