Insular North Frisian	Limburgish	probability
ˈʊ_k	k	1.0
ˈɛː	-	1.0
ˈɛ_ð	ˈeː	1.0
ˈɛ_ç	ˈœ_k	1.0
ˈua̯_l	ˈaː	1.0
ˈiː_n	ˈɛː_n	1.0
ˈaʊ̯	-	1.0
ˈaɪ̯	-	1.0
ʃ	ʃ	1.0
ʁ̥_t	ʀ_d̥	1.0
ʁ̥	ʀ	1.0
ɣ̥	ɣ̊	1.0
ɡ	ɣ	1.0
ə	ə	1.0
ɐ_n	ʀ_ə	1.0
ç_t	x	1.0
x	x	1.0
tʲ	d_ˈɪ	1.0
tʰ	d	1.0
s_t	s	1.0
r_ˈœ	ʀ	1.0
p	p	1.0
m	m	1.0
lʲ	l	1.0
kʰ	k	1.0
j	j	1.0
h	ɦ	1.0
f	v	1.0
e	-	1.0
b	b	1.0
aɪ̯	i	1.0
r	ʀ	0.935
v	β	0.929
l	l	0.894
n	n	0.852
t	t	0.831
d	d	0.75
ŋ	ŋ	0.747
ˈɔː	ˈaː	0.74
ˈa	ˈɑ	0.69
k	k	0.687
ç	ɣ̊	0.65
ð	-	0.641
ɾ	d̥	0.611
ˈua̯	ˈu	0.588
ɐ	ʀ	0.565
s_k	s	0.555
ɪ	ə	0.515
s	z	0.506
nʲ	n_d̥	0.5
nʲ	n_d	0.5
ɪ	ɪ	0.485
ˈeː	-	0.453
ˈɔ	-	0.452
s_k	ʃ	0.445
s	s	0.441
ɐ	ə_ʀ	0.435
ˈyː	-	0.426
ˈøː	ˈeː	0.423
ˈʊ	ˈʊː	0.412
ˈua̯	-	0.412
ˈʏ	-	0.39
ˈɛ	-	0.388
ˈoː	-	0.385
ˈoː	ˈɔː	0.376
ˈuː	ˈʊː	0.359
ð	j	0.359
ˈɔ	ˈoː	0.357
ˈœ	ˈʊː	0.352
ç	ɣ	0.35
ˈiː	ˈeː	0.34
ˈʏ	ˈuː	0.333
ˈə	ˈɪː	0.327
ˈyː	ˈuː	0.302
ˈuː	-	0.29
ˈøː	ˈʊː	0.288
ˈøː	-	0.288
ˈyː	ˈeː	0.272
ˈiː	ˈiː	0.271
ˈɔː	ˈɒː	0.26
ŋ	ŋ_k	0.253
ˈə	ˈiː	0.251
d	t	0.25
ˈoː	ˈɒː	0.238
ˈuː	ˈɒː	0.228
ɾ	j	0.222
ˈeː	ˈɛː	0.213
ˈeː	ˈeː	0.213
ˈʊ	ˈɪː	0.193
ˈʊ	-	0.193
ˈə	-	0.192
ˈɔ	ˈɔ	0.19
ˈa	ˈæː	0.183
ˈœ	ˈɑː	0.18
k	ə_k	0.177
ˈiː	ˈi	0.176
ˈœ	-	0.172
ˈɛ	ˈɪ	0.169
ɾ	j_ə	0.168
ˈœ	ˈɔ	0.148
ˈœ	ˈøː	0.148
ˈɛ	ˈɛ	0.146
ˈɛ	ˈɛː	0.141
ˈʊ	ˈɔː	0.14
k	-	0.136
t	-	0.129
ˈa	ˈɑː	0.128
ˈuː	ˈaː_j	0.123
ˈeː	ˈʊː	0.121
ˈʏ	ˈɔu̯	0.113
ˈiː	ˈɒː	0.108
ˈə	ˈeː	0.106
ˈiː	ˈɛːi̯	0.105
ˈɛ	ˈeː	0.101
n	n_d	0.088
ˈʏ	ˈoː	0.084
ˈʏ	ˈɔ	0.08
ˈə	ˈɛ	0.073
v	-	0.071
r	ˈœː_ʀ	0.065
ˈʊ	ˈʊ	0.062
n	-	0.06
ˈɛ	ˈi	0.055
s	-	0.053
ˈə	ˈi	0.051
l	l_ˈaː	0.051
