North Frisian	Bavarian	probability
b	b̥	0.943
b	-	0.058
d	d̥	0.544
d	t	0.313
d	s	0.087
d	-	0.045
dʲ	d̥	0.708
dʲ	t	0.187
dʲ	d	0.081
f	f	0.867
f	b̥	0.096
f	-	0.042
h	h	1.0
i	i	0.474
i	-	0.412
i	ɪ	0.078
j	ɡ̊	0.344
j	-	0.344
j	j	0.098
j	l	0.097
j	r	0.058
k	kʰ	0.309
k	x	0.199
k	ç	0.188
k	-	0.121
k	k	0.121
l	l	0.503
l	j	0.432
l	-	0.061
lʲ	j_d̥	0.488
lʲ	a	0.195
lʲ	i	0.18
m	m	1.0
n	n	0.688
n	-	0.278
n	ŋ	0.038
nʲ	n_d̥	0.57
nʲ	n	0.389
p	f	0.733
p	p	0.117
p	p͡f	0.112
r	r	0.633
r	ɐ	0.32
r	-	0.034
r	a	0.031
r_s	s	1.0
s	s	0.609
s	ʃ	0.305
s	d̥	0.033
s	l	0.033
s	kʰ	0.031
t	ʦ	0.369
t	t	0.308
t	s	0.178
t	d̥	0.139
tʲ	s	0.896
tʲ	d̥	0.081
v	ʋ	0.721
v	-	0.104
v	b̥	0.079
v	m	0.077
v_ə	m	0.538
v_ə	f	0.457
w	ɡ̊	0.74
w	ˈai̯	0.133
x	x	1.0
z	s	0.583
z	d̥	0.229
z	r	0.147
ŋ	ŋ	0.764
ŋ	-	0.231
ə	n	0.466
ə	-	0.291
ə	a	0.124
ə	ə	0.057
ə	ŋ	0.05
ə_r	a	1.0
ə_v	f	0.486
ɡ	ɡ̊	1.0
ʃ	ʃ	0.821
ʃ	s	0.101
ʃ	kʰ	0.074
ˈa	ˈe	0.257
ˈa	ˈi	0.175
ˈa	ˈɛ	0.135
ˈa	ˈu	0.078
ˈa	ˈɒ	0.076
ˈai̯	ˈi	0.74
ˈai̯	ˈai̯	0.191
ˈaː	ˈi	0.723
ˈaː	ˈu	0.202
ˈeː	ˈe	0.205
ˈeː	ˈi	0.169
ˈeː	ˈa	0.118
ˈeː	ˈeː	0.118
ˈeː	ˈoː	0.089
ˈi	ˈai̯	0.533
ˈi	ˈi	0.276
ˈi	ˈeː	0.117
ˈi	ˈoɐ̯	0.061
ˈiː	ˈoɐ̯	0.167
ˈiː	ˈai̯	0.146
ˈiː	ˈe	0.124
ˈiː	ˈiː	0.124
ˈiː	ˈeː	0.093
ˈiː_nʲ	ˈoɐ̯	1.0
ˈuː	ˈaː	0.295
ˈuː	ˈa	0.218
ˈuː	ˈou̯	0.165
ˈuː	ˈoɐ̯	0.165
ˈuː	ˈau̯	0.125
ˈyː	ˈau̯	0.339
ˈyː	ˈai̯	0.115
ˈyː	ˈou̯	0.115
ˈyː	ˈu	0.115
ˈyː	ˈoɐ̯	0.066
ˈøː	ˈau̯	0.315
ˈøː	ˈoː	0.315
ˈøː	ˈe	0.191
ˈøː	ˈai̯	0.07
ˈœ	ˈuɐ̯	0.38
ˈœ	ˈo	0.257
ˈœ	ˈi	0.132
ˈœ	ˈa	0.076
ˈœ	ˈɔ	0.058
ˈɒ	ˈo	0.307
ˈɒ	ˈai̯	0.15
ˈɒ	ˈiɐ̯	0.15
ˈɒ	ˈoɐ̯	0.15
ˈɒ	ˈɔ	0.142
ˈɒː	ˈɒ	0.284
ˈɒː	ˈai̯	0.187
ˈɒː	ˈɒː	0.187
ˈɒː	ˈoː	0.187
ˈɒː	ˈo	0.12
ˈɔ	ˈo	0.574
ˈɔ	ˈu	0.279
ˈɔ_r	ˈoɐ̯	1.0
ˈɔi̯	ˈoɐ̯	0.236
ˈɔu̯	ˈy	0.222
ˈɔu̯	ˈuɐ̯	0.222
ˈɔu̯	ˈɔ	0.222
ˈɔu̯	ˈi	0.134
ˈɔu̯	ˈoɐ̯	0.134
ˈɔː	ˈɔ	0.214
ˈɔː	ˈu	0.214
ˈɔː	ˈaː	0.134
ˈɔː	ˈɒ	0.123
ˈɔː	ˈɒː	0.123
ˈɛ	ˈiɐ̯	0.53
ˈɛ	ˈi	0.184
ˈɛ	ˈɛ	0.17
ˈɛi̯	ˈoː	0.315
ˈɛi̯	ˈeɐ̯	0.181
ˈɛi̯	ˈu	0.126
ˈɛi̯	ˈiɐ̯	0.116
ˈɛi̯	ˈɑː	0.081
ˈɛː	ˈeː	0.266
ˈɛː	ˈɛ	0.244
ˈɛː	ˈɒː	0.149
ˈɛː	ˈe	0.149
ˈɛː_r	ˈoɐ̯	1.0
ˈʊ	ˈu	0.248
ˈʊ	ˈa	0.229
ˈʊ	ʋ_ˈo	0.199
ˈʊ	ˈi	0.199
ˈʊ	ˈɒ	0.084
ˈʏ	ˈɛ	0.425
ˈʏ	ˈo	0.237
ˈʏ	ˈai̯	0.133
